code,short,pos,neg
002069,ST獐岛,168.375,24.5
002029,七匹狼,198.05,41.0
002085,万丰奥威,170.25,32.5
002543,万和电气,230.5,26.0
300482,万孚生物,113.45,14.399999999999999
002590,万安科技,55.0,14.0
002654,万润科技,91.5,5.0
002643,万润股份,188.25,28.0
300268,万福生科,56.0,17.2
000002,万科A,365.025,44.5
300168,万达信息,220.0,43.0
002739,万达院线,724.25,108.0
300055,万邦达,161.5,25.0
002434,万里扬,205.0,28.0
002785,万里石,143.125,5.0
300591,万里马,369.625,45.5
300552,万集科技,279.75,18.5
300057,万顺股份,231.875,26.0
002276,万马股份,142.75,28.0
002555,三七互娱,375.75,50.25
300276,三丰智能,62.0,10.5
300051,三五互联,104.5,23.0
002417,三元达,184.75,48.0
002216,三全食品,239.0,32.0
300295,三六五网,127.775,33.5
002224,三力士,27.0,14.0
002112,三变科技,50.0,12.625
002621,三垒股份,136.75,13.0
002780,三夫户外,173.75,31.0
300066,三川智慧,182.5,14.0
300515,三德科技,228.5,31.75
002857,三晖电气,117.75,18.75
002312,三泰控股,201.5,27.4
002159,三特索道,156.0,16.0
300408,三环集团,156.875,5.0
300056,三维丝,226.2,60.2
002469,三维工程,175.9,19.5
002115,三维通信,202.0,29.0
300384,三联虹普,217.0,24.0
300072,三聚环保,462.4375,87.2
002050,三花智控,101.25,13.0
300298,三诺生物,193.0,33.0
002110,三钢闽光,140.0,20.5
300236,上海新阳,307.45,37.0
002252,上海莱士,258.75,20.0
300226,上海钢联,198.5,28.0
300522,世名科技,197.75,26.5
002796,世嘉科技,277.75,8.0
002558,世纪游轮,177.25,30.625
300150,世纪瑞尔,154.5,13.0
300050,世纪鼎利,170.0,10.0
002285,世联行,172.5,29.75
002016,世荣兆业,57.0,2.0
002748,世龙实业,120.5,11.0
002017,东信和平,56.0,14.0
300354,东华测试,163.15,28.5
002140,东华科技,254.0,55.0
002221,东华能源,457.45,59.25
002065,东华软件,303.25,41.5
300353,东土科技,90.0,8.75
300239,东宝生物,285.0,21.0
300171,东富龙,225.75,22.0
002384,东山精密,290.5,36.0
002819,东方中科,111.75,20.0
002310,东方园林,252.5,39.0
300166,东方国信,400.2625,38.0
002755,东方新星,53.0,9.75
300118,东方日升,504.25,74.5
002086,东方海洋,241.0,26.0
300217,东方电热,111.0,15.0
002611,东方精工,133.5,17.0
300367,东方网力,439.2625,34.0
002175,东方网络,155.25,9.0
300059,东方财富,346.75,37.5
300379,东方通,180.0,11.75
002545,东方铁塔,191.5,15.2
002167,东方锆业,350.0,59.5
002271,东方雨虹,333.0,33.5
002713,东易日盛,174.25,17.0
002199,东晶电子,184.5,26.0
300486,东杰智能,130.5,19.0
002672,东江环保,537.3,83.0
002117,东港股份,115.0,17.0
002675,东诚药业,180.75,22.0
300183,东软载波,292.625,34.0
