code,short,pos,neg
002069,ST獐岛,104.0,29.25
002029,七匹狼,46.95,13.0
002085,万丰奥威,51.75,16.0
002543,万和电气,64.5,16.5
300482,万孚生物,64.75,21.5
002590,万安科技,42.5,17.5
002654,万润科技,25.0,5.5
002643,万润股份,57.0,23.0
300268,万福生科,39.75,10.5
000002,万科A,95.0,49.0
300168,万达信息,91.625,37.7
002739,万达院线,175.875,90.525
300055,万邦达,59.0,10.5
002434,万里扬,44.25,11.325
002785,万里石,55.0,7.0
300591,万里马,65.0,16.5
300552,万集科技,84.75,25.25
300057,万顺股份,105.75,19.5
002276,万马股份,54.75,31.0
002555,三七互娱,89.25,22.7
300276,三丰智能,56.0,9.5
300051,三五互联,62.0,13.5
002417,三元达,63.0,13.0
002216,三全食品,73.75,21.95
300295,三六五网,64.5,25.75
002224,三力士,67.5,20.0
002112,三变科技,46.0,7.5
002621,三垒股份,72.15,21.7
002780,三夫户外,60.0,12.0
300066,三川智慧,50.75,11.0
300515,三德科技,70.0,13.0
002857,三晖电气,85.0,25.75
002312,三泰控股,58.5,9.0
002159,三特索道,88.75,14.0
300408,三环集团,41.5,8.0
300056,三维丝,75.95,44.0
002469,三维工程,34.0,15.5
002115,三维通信,47.5,10.0
300384,三联虹普,57.0,8.0
300072,三聚环保,229.0,46.2
002050,三花智控,41.0,2.0
300298,三诺生物,64.0,20.5
002110,三钢闽光,55.0,11.0
300236,上海新阳,97.5,26.5
002252,上海莱士,74.875,8.5
300226,上海钢联,97.5,20.5
300522,世名科技,69.0,21.2
002796,世嘉科技,21.25,1.0
002558,世纪游轮,47.5,16.0
300150,世纪瑞尔,61.5,37.75
300050,世纪鼎利,44.0,3.0
002285,世联行,73.0,16.7
002016,世荣兆业,51.25,12.0
002748,世龙实业,55.0,12.5
002017,东信和平,53.0,11.5
300354,东华测试,92.25,16.0
002140,东华科技,75.5,26.0
002221,东华能源,186.95,72.95
002065,东华软件,71.75,21.0
300353,东土科技,75.5,14.2
300239,东宝生物,54.5,18.2
300171,东富龙,62.75,12.2
002384,东山精密,55.0,17.7
002819,东方中科,47.0,13.0
002310,东方园林,276.9,74.0
300166,东方国信,86.4,25.75
002755,东方新星,44.0,11.0
300118,东方日升,79.0,27.75
002086,东方海洋,77.2,13.0
300217,东方电热,47.0,15.2
002611,东方精工,56.0,11.2
300367,东方网力,101.5,9.0
002175,东方网络,48.5,8.0
300059,东方财富,48.25,8.75
300379,东方通,86.25,14.0
002545,东方铁塔,71.25,14.0
002167,东方锆业,63.5,24.2
002271,东方雨虹,48.2,15.0
002713,东易日盛,55.5,12.0
002199,东晶电子,63.75,26.7
300486,东杰智能,39.75,17.2
002672,东江环保,93.0,20.0
002117,东港股份,54.0,18.5
002675,东诚药业,66.5,29.0
300183,东软载波,95.5,32.5
002793,东音股份,37.0,13.75
002793,东音股份,53.5,10.5
300512,中亚股份,35.5,5.0
002579,中京电子,55.25,22.75
300018,中元股份,50.5,13.0
300414,中光防雷,70.0,21.0
002309,中利集团,67.0,14.0
002542,中化岩土,65.0,18.7
002445,中南文化,51.75,30.0
601985,中国核电,35.5,4.0
002116,中国海诚,46.125,15.95
002779,中坚科技,36.5,8.0
300270,中威电子,42.75,10.0
300560,中富通,70.75,15.5
002051,中工国际,199.75,56.2
002364,中恒电气,45.0,15.5
