,Question,Answer
0,截至4月30日，“国家队”即中金、证金、汇金合计持有贵司多大股份呢？,您好！股东名单请参阅一季报，谢谢！
1,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,您好！募投项目建设已结束，谢谢！
2,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,您好！股价下跌也是公司所不愿看到的。公司只有脚踏实地做大做强双主业，寻找合适的扩张机会。谢谢！
3,公司在2017年有哪些经营目标？,您好，公司已制定2017年度财务预算相关指标，公司管理团队为实现目标全力以赴，谢谢！
4,目前公司享有的国家优惠政策有哪些？,您好，公司每年享受高新技术企业的税收优惠等，谢谢！
5,公司如何进行投资者关系管理，如何规划进行投资者回报的？,您好！互动易是一个良好的和投资者沟通平台，我们会及时关注并回复。做好信息的公正，和及时披露信息，是对投资者的重要回报之一。谢谢！
6,如果公司进行定增，那大股东及高管们会考虑参与、进行增持吗？,您好！重大事项要根据实际情况做相应选择。谢谢！
7,公司的前三大客户是哪些公司？,您好，2016年年报前3大客户分别是北京中邮致鼎科技有限公司、山东天马信息工程有限公司、河北德冠隆电子科技有限公司，相关信息可参阅公司年报，谢谢！
8,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？,您好，一季度销售情况一般。公司营销人员一直在努力中！谢谢！
9,请问公司以后每年会用什么形式回馈股东？,您好！在公司自身条件容许的情况下，回报股东是我们应该做的。也请对我们有信心！谢谢！
10,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,您好，相关数据请参考公司16年年报的营业收入构成，谢谢！
11,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,您好，重大事项还请以公告为准，谢谢！
12,公司2016年度的业务经营情况符合公司预期吗？,您好，公司2016年度的经营业绩由主客观各方因素造成，未达公司预期，谢谢！
13,公司在经营活动中主要对哪些环节进行质量控制？,您好！公司对原材料供应商有严谨的评估考核流程，原材料入库也有独立检测流程。对出厂的成品每一道工序都建立了相关检验标准。谢谢！
14,近几年的固定资产，技术改造的投资效果如何，是否达到了预期的目标，不考虑市场因素，简单考虑毛利情况是否合理？,您好！公司对内部挖潜力降低成本的措施一直专注执行，希望对公司产品的毛利率有所贡献，谢谢！
15,贵司目前有哪些销售渠道？是否存在大客户依赖？,您好！目前产品销售有经销和直销两种模式，不存在大客户依赖，谢谢！
16,雄安新区的设立，对公司存在哪些机遇？,您好！我司会关注和发掘相关产品的市场机遇，积极寻找各方业务合作机会。谢谢！
17,公司是否在考虑开拓新的领域？取得初步进展没有？,您好，公司今年大力发展AR-VIS，将AR技术与主业融合，升级专业视讯的整体解决方案，谢谢！
18,公司领导怎么看现在公司的股价，对我们小散有什么忠告？谢谢,您好！公司去年的业绩让大家失望了，主客观因素导致股价下跌，股市有风险。
19,公司有没有哪些项目创新模式？,您好，公司今年将主业专业视讯与AR结合，推出AR-VIS，将更多的开发行业深度应用，谢谢！
20,公司所处行业有没有周期性？,您好，公司所处行业周期性影响较小，谢谢！
21,请问公司如何看待上市公司的并购和市值管理？,您好！并购合适的好标的有助于企业做大做强，市值管理也是水到渠成的事！谢谢！
22,您好！2017年至今，有多少家机构对贵司进行了调研呢？,您好！2017年截至到4月，暂无机构调研，谢谢！
23,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,您好，截至17年3月31日，公司负债总额5552万，无短期借款及长期借款，具体可参考公司2017年一季度业绩报告，谢谢！
24,公司2017年一季度经营业绩如何？,您好！2017年一季度经营业绩可参考公司2017年第一季度的业绩报告，谢谢！
25,公司每次投资项目的可行性报告是否有详细说明公告？,您好，公司近年投资META、JIBO等项目有同时公告项目可行性研究报告，谢谢！
26,今年以来，原材料都迎来涨价潮，对公司会有什么影响？,您好！公司通过供应链工艺管理，严格把控原材料采购价格，预计今年较去年有一定幅度的下降。谢谢！
27,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,您好，公司兼并收购属重大事项，将以公告为准。谢谢！
28,您好,您好
29,公司17年半年度业绩预计如何？,您好！公司17年半年度业绩将于7月发布业绩预告，请届时予以参阅！
