,Question,Answer
0,投资者诉*ST墨龙证券虚假陈述一事被立案了，是否有可能败诉？,您好！目前已经开庭审理9起，但尚未出具判决结果，公司将根据相关进展及时进行信息披露，谢谢！
1,是否因为主营业务构成太过单一，造成了市场波动对经营业绩的风险？,您好！公司主要产品包括油气开采用管、流体及结构用管、抽油机、抽油泵、抽油杆、钻机用缸套、阀门散件及大型铸锻件等。能够用于石油、天然气、煤层气、页岩气等能源的钻采，机械加工，城市管网等行业。其中管类产品的销售超过80%以上，是公司收入和利润的主要来源。原材料价格和市场需求的波动都会对经营业绩产生影响，谢谢！
2,公司财务费用居高不下，成为继懋隆新材料亏损外另外一个主要亏损，公司是否考虑通过定增引进战略投资者来改善公司财务状况？,您好！非常感谢您所提建议，公司将根据实际情况具体考虑，如有相关信息，公司将及时进行信息披露，谢谢！
3,懋隆新材料是造成亏损主要原因之一，根据公司网站显示懋隆新材料现已经生产高纯生铁，在中国制造2025上，公司有何规划？比如深耕铸造行业、或者公司是否有能力成为高纯生铁国内龙头企业？,您好！懋隆新材料产品已经逐步推向市场，客户反映良好，后期公司将着力推动市场销售和相关铸锻产品的开发，具体情况请参阅公司披露的定期报告，谢谢！
4,中美贸易战开打，对公司的经营业绩是否会产生不利影响？,您好！自美国2009年对中国出口的石油管材发起反补贴和反倾销调查以来，涉及税率问题，公司出口美国钢管产品较少，因此本次贸易战对公司经营业绩影响不大。谢谢！
5,近日，特朗普正式签署了对进口钢铁产品征收25%关税，这对公司出口有什么影响？公司将采取何种应对措施？,您好！美国政府对进口钢铁产品全面征税，总体来说，对中国出口钢铁产品可能会受到较大影响。但是对于公司来说，自美国2009年对中国出口的石油管材发起反补贴和反倾销调查以来，涉及税率问题，公司出口美国钢管产品较少，因此本次征税对公司影响不大。谢谢！
6,目前油价波动幅度趋势如何？,您好！从目前情况看，原油价格趋于稳定，市场需求回升，谢谢！
7,预计第一季度公司经营业绩情况如何？,您好！公司第一季度经营业绩预测已经在2017年度报告摘要中进行了披露，请参阅报告内容，谢谢！
8,"公司2017年净利润3804万元,同比增长106.21%，是不是可以摘帽了？公司在新的一年里有什么生产经营方面的战略布局和规划？",您好！公司已经向深交所申请撤销退市风险警示，并已于2018年3月30日在巨潮资讯网进行了披露，目前正在等待深交所的审核。2018年公司将集中精力研发油田市场用管及其他产品，将石油、天然气市场作为开发重点，同时兼顾其他类型产品销售。谢谢！
9,请问贵公司的主营业务是什么？核心竞争力提现在哪些业务板块？,您好！公司主要从事能源装备行业所需产品的研发、生产与销售，主要产品包括油气开采用管、流体及结构用管、抽油机、抽油泵、抽油杆、钻机用缸套、阀门散件及大型铸锻件等。公司产品主要用于石油、天然气、煤层气、页岩气等能源的钻采，机械加工，城市管网等行业。管类产品的销售超过80%以上，是公司收入和利润的主要来源。谢谢！
10,懋隆新材料今年能否盈亏平衡？或者今年预计亏损多少？,您好！涉及营收等数据请参阅公司发布的定期报告，谢谢！
11,懋隆新材料去年是试生产，请问：1、具体在今年什么时间能转为正常生产？2、今年的生产规划能达到多少营收？,您好！目前项目运行正常，营业收入等相关指标请参阅公司发布的定期报告，谢谢！
12,请问今年懋隆新材料还准备投入多少资金，或者说在去年的基础上准备增加多少投入？,您好！懋隆新材料目前运行正常，尚无计划较大投入，谢谢！
13,请问懋隆新材料2007年至2016年经营都正常，为什么2017年突然亏损了1.7个亿？能否请谈一下具体原因。,您好！懋隆新材料公司自2013年开始进行铸锻搬迁及时改造项目建设，至2016年底项目完成。在项目运行初期，受设备、工人技能等因素影响，运行成本较高，谢谢！
14,请问公司面临的市场风险是什么？公司的业务模式和盈利模式是怎样的？,您好！公司目前主要面临原材料价格波动和市场需求波动影响。公司业务模式为根据客户订单要求进行生产计划的安排，公司产品尤其是管类产品，分为API标准产品和非标产品（即特殊个性化需求产品），一般都是客户根据自己的需求来确定产品规格、型号和订单数量，公司生产系统根据客户订单组织生产交货。谢谢！
15,请问公司的主要合作客户分布在哪些行业？都有哪些知名的合作商？中石油、中石化、中海油、中化集团都是合作伙伴吗？,您好！公司产品主要用于石油、天然气、煤层气、页岩气等能源的钻采，机械加工，城市管网等行业。公司是中石油、中石化、中海油和延长石油的合资格供应商，谢谢！
16,去年扭亏有望保壳，除了经营业绩提升外，是否还有其他因素？,您好！2017年下半年以来管类产品市场趋好，产品需求和产品价格都较去年同期均有不同程度的提高，再加上政府补贴等因素影响，年度业绩能够扭亏为盈。谢谢！
17,张恩荣先生、张云三先生退出董事会后，是否会对公司的经营管理产生实际影响？,您好！张云三先生已经于2017年8月份离职，并未对公司经营管理产生重要影响；张恩荣先生尚未离任，公司将根据实际情况及时进行披露，谢谢！
18,目前公司研发哪些高端产品？研发投入费用占比是多少？,您好！2018年，公司将加强对整体接头油管、双钢级膨胀套管及连接管、海洋工程类的大口径大壁厚海洋钻井平台用桩腿管、大口径高韧性海洋工程用管、冷拔高强韧性油缸用无缝管，欧标低温用结构管等新产品的开发，以满足国内外各类客户对石油、天然气、页岩气、煤层气等开发的特殊需求。研发投入情况请参阅公司发布的定期报告，谢谢！
19,作为个人投资者，是否可以预约调研？如何预约？是否可以到懋隆新材料实地调研？,您好！公司非常欢迎投资者及机构到公司进行现场调研，如有意向请联系公司董事会办公室（电子邮件：dsh@molonggroup.com），谢谢！
20,今年公司有哪些募投项目？运营情况如何？,您好！公司今年并无募投项目计划，如有项目投入，公司将根据实际情况及时进行信息披露，谢谢！
21,公司今年在海外市场拓展情况如何？有哪些新项目落定？,您好！近几年受原油价格及市场环境影响，海外市场产品需求下降，订单减少。自2017年下半年起，市场需求回暖，目前公司已经取得康菲石油的产品认证， 正在进行阿曼PDO、英国石油公司、泰国石油公司等石油公司的产品认证，谢谢！
