,Question,Answer
0,公司现阶段发展过程中面临的最大挑战是什么？,您好！感谢关注一品红药业！公司发展过程中的风险因素已在招股说明书和2017年年度报告进行披露，请您查阅相关公告文件。
1,公司目前有并购重组的计划吗？,您好！感谢关注一品红药业！公司2018年的经营计划是以稳增长、增效益为总体要求，以市场为导向，以产品为中心，使公司在实现稳健增长的同时，增强持续盈利能力。在业绩增长的基础上，实现公司和产品品牌美誉度的提升，促使企业发展再上新台阶。在经营策略上，以核心产品创品牌、增效益，以潜力产品增规模、助推广，以未来产品快研发、谋发展。如有并购重组事项，将按照证监会、交易所的相关规定履行信息披露义务。
2,近期有券商、公募、私募等机构到公司进行调研吗？,您好！感谢关注一品红药业！由于公司刚披露完年报，券商、公募、私募等机构可能尚在解读中。如有机构调研，我们会按照交易所要求及时进行披露，请您关注相关公告信息。
3,公司在互联网医疗方面有何布局？,您好！感谢关注一品红药业！公司专注于药品研发生产和销售主营业务，不断夯实以儿童药为核心的产品线，打造公司在儿童药领域持续领先的市场地位，提升公司品牌知名度和影响力，积极追求可持续发展能力，回报员工、股东和社会，努力实现“中华一品红，福泽千万家”企业愿景。目前尚未在互联网医疗方面进行布局。
4,公司在美国投资子公司，目前运营状况如何？,您好！感谢您对公司的关注！设立美国分公司，是公司既定发展战略步骤，目前公司正按照国家相关法律法规办理相关手续。关于美国公司的进展，我们会及时发布公告，请您关注巨潮资讯网相关消息！
5,净资产增长率为什么是-1.39呢,您好！感谢您对公司的关注！不知道您问的是不是加权平均净资产收益率的问题？报告期内，加权平均净资产收益率降低原因主要是2017年公司IPO成功，募集资金到位使得净资产增加较多所致。
6,请介绍下公司高管持股详细情况,您好！感谢您对公司的关注！公司董事长、总经理李捍雄先生直接持有公司股份5.75%，其他高管未直接持有公司股份。详细情况请您查阅公司招股说明书披露的相关内容。
7,公司产品有哪些进入医保目录？,您好！感谢您对公司的关注！公司进入国家医保目录品种58个；2017年新进入医保目录产品包括芩香清解口服液等7个产品，具体详见公司于巨潮资讯网披露的2017年年度报告。
8,核心产品是什么呢？未来的价值会怎样呢？有没有定价权呢？,您好！感谢关注一品红药业！公司生产的产品以儿童药为核心，主要包括盐酸克林霉素棕榈酸酯分散片、芩香清解口服液、馥感啉口服液、益气健脾口服液、参柏洗液和复方香薷水等独家品种；与此同时，公司还研发生产部分特色慢性病药，主要包括注射用促肝细胞生长素、注射用脑蛋白水解物（Ⅲ）、注射用乙酰谷酰胺、康肾颗粒、尿清舒颗粒等产品。谢谢！
9,为什么少数股东损益只有0.09呢,您好！感谢关注一品红药业！广州市品瑞医药科技有限公司目前主要业务是产品研发，所以2018年第一季度，少数股东损益只有877.56元。谢谢！
