,Question,Answer
0,公司近年来“长期股权投资”大幅增长，2015、2016、2017年末分别为335.03、617.02和812.24亿元，但2017年“权益法核算的长期股权投资收益”却只有45.69亿元，比2016年的49.31亿元还要少。请问原因是什么？,感谢您的关注，2017年公司新增的长投主要是对联合营房地产项目公司投资，房地产项目从获取到结算有2-3年周期，2017年新增联合营房地产项目尚未进入结算期；公司坚持广泛合作的策略，近年来合作规模在不断扩大，随着公司城乡建设与生活服务商的推进，投资布局也不止限于房地产开发领域。
1,除了房地产和物业之外，万科旗下还有商业地产、物流地产、养老、教育等业务板块，能否其他业务板块的营收或租金收入情况？,感谢您的关注。万科积极布局商业地产、物流地产、养老、教育等业务板块，新动能业务是构建完善公司城乡建设与生活服务生态链的重要环节，是否为社会创造真实价值，是否为人民美好生活做出贡献是万科发展新业务更多的关注点。目前新动能业务最重要的是形成成熟经营模式，服务好客户。
2,泊寓的收入是否达到预期？,感谢您的关注！租赁住宅行业目前仍处于发展初期，现阶段公司对于业务的关注重点在于管理能力和服务能力的提升，打造核心竞争力，坚持服务更多客户、坚持在更多方面服务客户、坚持更好服务客户，在更广阔的客户服务场景中创造真实价值。
3,请问祝总，在上海现在新的供地都采取招标拍卖，只有在2家参拍的情况下才会有竞价，3家以上就是要评分，这对公司不太有利。对此你如何看？另外，现在上海城中村项目较多，公司是否有介入，是何种方式，谢谢,感谢您的关注！每个城市都会选择适合自己情况的供地方式，我们会按照当地要求积极参与，万科在上海有着优秀的业绩，在过去一年中也获取了满足未来业务发展需要的项目。对于第二个问题，我们在多个城市积极参与了城中村改造，在上海我们也会积极参与其城中村改造，具体参与方式会按照当地的城中村改造政策来进行。
4,孙总好，请问贵公司几时开始采用新的会计收入确认准则？,感谢您的关注，公司按照财政部要求，从2018年1月1日采用新收入准则。我们持续关注财政部门、监管机构对新准则的最新指引，并将及时落地。
5,祝总您好，请问前10大房企的市场占有率长期而言天花板是多少个百分比？支持集中度不断上升的原因是什么？,您好，从发达国家经验来看，龙头房企的市场占有率可以达到6-8%。长期来看，业务能力全面、管理完善、客户口碑好的品牌企业，市场份额仍有继续提升空间。
6,结算面积与竣工面积是怎么回事呀？不同在哪里？,感谢您的关注。结算面积是指当期交付的已售产品的面积，竣工面积是当期完成竣工备案的面积。完成竣工是结算的前提之一，但并非所有竣工面积均在当期结算。
7,请问祝总， 昨日，郁亮先生 讲话认为 中国房地产价格单边上涨的阶段已经结束， 请问公司确凿得出这一结论的主要依据是什么？ 谢谢。,"感谢您的关注。作为行业从业者，我们一直认为房价的过快上涨并不利于行业的长远发展。从政策层面来看，政府差别化调控措施已经取得明显成效，此前部分热点城市的房价也已经得到有效控制；未来长效机制的加快建立也将进一步推动市场的健康稳定发展。
从行业层面来看，过去二十年中国房地产行业繁荣的根本原因，是人类历史上前所未有的一次城市化，带来了前所未有的住房短缺和旺盛需求。这个短缺，过去主要靠商品房来解决。到今天，我国城镇地区现在的套户比已经超过1，全面短缺时代已经结束了。房地产行业的主要矛盾已经不是“短缺”，而是“不平衡”和“不充分”。从这个意义上来说，房价单边上涨的时代也已经结束了。
"
8,请谈谈万科是怎么进行销售管理的？,我们的销售策略是紧跟市场脚步，坚持响应政策顺势而为，积极销售，始终保持良好的销售速度，成为每个城市实体经济的生力军。
9,请问，权益利润大概占营业收入的比例是多少？,感谢您的关注，权益净利润占营业收入的比例是11.6%。
10,请问祝总，万科物业是否有单独上市的打算？,对于物业业务分拆上市，我们目前尚没有明确的时间表。我们考虑的重点是如何做好业务布局，夯实领先优势，服务更多客户，为客户提供更好的服务。
11,今年万科营收增长1%，净利增长30%多，这是为什么？这种增利不增收的情况会不会延续？,感谢您的关注，净利润增长主要是本期结算产品毛利率同比有所一定幅度提升，其中部分是受结算结构影响；另外，市场在短期内是存在波动的，某个时段下会出现毛利率上升的情形。
12,对2018年我国房地产市场情况怎么判断？房价走势会如何？能分别按照一二线和三四线来说说吗,"感谢您的关注。2017年全国商品房销售面积为16.94亿平米，同比增长7.7%，销售金额13.37万亿元，同比增长13.7%，销售规模创历史高位。但分季度来看，销售面积的单季增速分别为19.5%、14.1%、1.1%和2.4%，三、四季度销售增速已经出现明显下降，预计18年整体销售会面临压力。
调控有利于促进房地产市场平稳健康发展，在差别化调控的指导原则下，相信未来的价格将趋于稳定。
"
13,请展望一下2018年毛利率情况？,感谢您的关注。万科始终以“创造真实价值”为基本经营方针，我们会认真当好农民种好地，努力提升经营效率与质量。
14,恒大前两天表示要在战略上探索高科技产业，虽然没有说明具体的产业。万科在这方面有什么战略布局或者探索吗？,每个企业会有自己的发展战略和定位，我们会沿着“城乡建设和生活服务商”的战略定位持续发展和推进相关的业务。
15,万科物业简直是行业标杆，有什么秘诀吗？,感谢您对公司物业服务的认可！公司物业服务始终坚持以客户为中心，希望能有更多客户体验物业服务之美好。在这样的理念指导下，公司物业服务客户满意度稳步提升，“口碑与效益”领跑行业。未来公司将加强科技赋能与组织管理，开展智慧物业云建设，希望巩固并提升服务水平。如果您有意见和建议，也欢迎给我们提出来，帮助我们进一步提高。谢谢！
16,"公司实现营业收入2,429亿元，销售金额5,299亿元，为什么差距会这么大？",感谢您的提问，房地产收入从预售到结算存在时间差，公司房地产销售收入为按照会计政策结算的已达到交付条件的产品金额。5299亿则为2017年当年签约销售的金额。
