,Question,Answer
0,公司未来发展前景如何?对目前这个行业的市场潜力有多大？,未来，公司将紧紧围绕“绿色能源传输专家，环保新材领跑者”的愿景目标，坚持立足于电线电缆主业，加大新材料、新能源业务的投资力度，并通过外延式发展助推公司转型。公司所涉及三大行业的发展前景，详见公司2016年度报告发展战略之行业分析相关内容。谢谢。
1,除了在巨潮网上查看公司公告，还可以在哪里了解公司的日常经营情况？,公司官网。欢迎到公司实地考察。如果距离较远，可以就近到公司在全国各地的充电站考察。谢谢提问！
2,公司的规模优势具体会体现在哪些方面？公司的品牌如何管理？互相间的市场是否有重合以及竞争关系？如何增强各品牌间的凝聚力？,公司具备独特的产业链优势，形成从电缆料到电力电缆、通信电缆、新能源的行业独特的产业链布局，公司能为客户提供更全面、多样化的产品选择与增值服务，有力地体现公司的核心竞争力。万马高分子是国内交联绝缘料行业的龙头企业，其长期稳定提供的高品质绝缘料为公司良好的产品质量奠定了基础，是国内电缆行业独特的具有该产业链优势的公司。公司是国内极少数能提供全系列广电行业所需线缆的企业之一，通信线缆产品涵盖广电网络传输所需的全部线缆，能够满足客户“一站式”采购需求。谢谢！
3,去年公司经营遇到的最大困难是什么?今年有望改善吗？,您好！最大困难是新能源汽车发展未达预期，存在行业不确定性。我们将积极应对行业发展。谢谢提问！
4,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,您好！可详见公司年报第四节“经营情况讨论与分析”的“营业收入构成”。谢谢！
5,今年公司人力成本的大幅度上升？对公司产品价格影响有多大？,您好！报告期内，公司原业务板块业务量增加，新业务板块快速拓展导致员工人数增加，职工薪酬相应增加；由于增加人员主要是销售及研发人员，故对产品价格影响不大。谢谢！
6,万马股价从股灾前45元左右跌倒现在11元多，屡创新低，请问公司市值管理是怎么管理的？管理层是否考虑增持给二级市场投资者信心！,您好。首先我非常理解股民的阶段性损失。公司董事会非常关注公司股价走势，正在积极考虑相关合理的措施。谢谢
7,今年如何分红，是否高送转，有计划吗？,"按照公司章程及公司《未来三年（2015-2017）股东回报规划》，公司2016年度具备现金分红条件。但为抓住新能源投资的市场机遇，推动非公项目顺利实施，优先保证本次非公开发行股票发行工作实施完成，符合公司及全体股东的利益，因此公司董事会决定2016年度利润分配预案不派发现金红利、股票股利，不实施资本公积金转增资本。公司将该议案提交2016年度股东大会审议。
此外，公司将根据2016年度和 2017年上半年的盈利情况制定2017年度中期利润分配方案并提交公司董事会、股东大会审议。
"
8,公司今年有没有新产品和新业务拓展？,您好！公司始终坚持“一体两翼”战略，大力发展电线电缆、新材料、新能源三大业务，公司设有研发部门，持续不断开发相关新产品。谢谢！
9,星星充电在新能源充电桩行业做的很不错！不知道贵公司和他们有没有合作？与他相比，你觉得差距在哪里，贵公司的优势是？,您好，星星充电是我们的同行业公司。目前，我们双手没有合作。我们的优势在于：1、全国布局城市快充网络；2、相对资金优势等。谢谢
10,今年预计能享受多少充电桩国家补贴,您好。目前，全国各地充电补贴政策不一，就目前掌握的信息难于测算，抱歉。
11,请问公司全部安置了多少残疾人，预计今年能享受多少税收优惠？,您好！公司有三家福利企业，为789名残疾员工提供了就业岗位，为社会福利事业贡献了自己的力量。预计今年增值税退税达5700多万元。谢谢！
12,按公司预测今年第二季度利润将达到八千多万，而去年同期只有5千多万，请问第二季度利润大增的原因是什么，是否存在一二季度利润调节问题？,感谢您的提问，本年二季度预计订单情况良好，故我司预计半年度归属于上市公司股东的净利润为5166万元至8265.6万元。
13,就我所知道的，贵公司在市值管理，企业宣传方面不足，很少看到关于万马的新闻，对此有什么看发,谢谢您的宝贵意见，近几年，公司通过微信公众号等媒介宣传公司产品及服务还是比较活跃的，欢迎大家关注公司相关公众号。当然，我们也会认真听取来自市场的声音，认真分析总结，继续加大宣传力度，以期在今后的工作中全面展示公司形象，更加贴近市场需求。谢谢！
14,股价腰斩了，董事们无动于衷吗？,您好！公司目前经营正常，订单情况良好。股价走势受多方面影响，与公司实际经营情况不一定成正相关关系。董事会一直关注公司股价走势，并正在考虑相关措施。谢谢！
15,公司营业收入微增，但净利润确实同比-215.93%。这是为什么？,感谢您的提问，由于同行业市场竞争加剧，公司毛利率有所下降；另我司对新能源板块加大投入，故一季度归属于上市公司股东的净利润为-3154.79万元，我司预计半年度归属于上市公司股东的净利润为5166万元至8265.6万元。
16,自去年减持3000W股，公司股价一路狂跌，跌破股灾低点！请问是不是公司经营出问题？对此公司有没有举措来稳定股价,您好，公司目前经营正常，订单情况良好。对于股民阶段性损失表示理解，同时董事会一直关注公司股价走势，并正在考虑相关措施。谢谢
17,股价一路下跌70%多，是不是贵公司经营出现什么问题？小股民损失严重！！,您好，公司目前经营正常，订单情况良好。对于股民阶段性损失表示理解，谢谢。
18,自去年贵公司三月份减持3000万股以后，股价一路狂泻，至今天跌幅70%多，对此公司管理层一直无动于衷，是公司内部出问题？还是经营出问题？另外基金基本都走完，是不是对公司失去信心！？低位定增是不是涉及内部认购！,您好，公司经营正常，股价走势与公司实际经营情况不一定成正相关关系。公司对未来发展充满信心。公司执行中的非公开发行项目不存在内部认购问题。谢谢！
19,自5178点以来，公司股价跌幅达70%之多，请问究竟是什么原因？,你好。目前，公司经营正常。股价受多方面因素影响，其实我也很想找到原因。
20,请问董事长目前市场上公司主要的竞争对手都有哪些公司？在细分行业公司处于行业处于什么排名？谢谢,2016年，经中国电器工业协会线缆分会和线缆信息研究院联合评比，万马股份被评为 “中国线缆行业最具竞争力企业10强”。公司产品种类齐全，具备电力传输一体化解决能力， 超高压电缆、防火电缆、风能电缆等线缆产品处于国内领先地位。公司子公司万马高分子是国内领先的新材料企业，已发展成为行业内规模最大、品类最全的综合材料服务商，竞争优势明显。公司以电缆材料为主导作产业延伸，其中35kV及以下中低压电缆绝缘料已连续多年位居行业龙头地位。万马新能源在2016中国充电桩创新峰会上，被工业和信息化部赛迪研究院评选为“2016中国充电桩十大品牌”，在2016中国电动汽车充电技术与产业联盟年会上，万马新能源及新能源投资公司同时获得“2016年充电设施行业杰出贡献企业”。在充电设备全国投资布局方面，万马新能源板块走在行业前列。
21,请问定增价格？什么时候公布？定增基准日是哪日？,"您好，本次非公开发行股票的定价基准日为本次发行的发行期首日，发行价格不低于定价基准日前二十个交易日公司股票交易均价的 90%（注：定价基准日前二十个交易日股票交易均价=定价基准日前二十个交易日股票交易总额/定价基准日前二十个交易日股票交易总量）。公司将根据本次非公开发行股票的进展及相关信息披露要求，持续履行信息披露义务。谢谢！
"
22,2015年非公开募集资金，到实施下来！是不是那个项目已经过时了？那还有必要去募集资金进行非公开吗？,"感谢您的关心，本次非公相关的项目是公司未来长期坚持投资的领域。公司对I-ChargeNet 智能充电网络建设项目（一期）和年产 56,000 吨新型环保高分子材料项目长期看好，同时募集资金将对公司发展以上项目长期有利，十分必要，谢谢。"
23,爱充APP现在做得怎样了？,"2016年，爱充网研发升级了安卓、IOSAPP迭代4个大版本，已支持一卡多充、信用卡、APP、VIN码优惠、第三方运营合作等多种方式，可实现全国各地充电桩实时监控，解决充电桩故障、网络运营问题，粘性用户数发展4,000余个，实现充电度数110余万度。同时，万马爱充网获颁“浙江省内首个电动汽车充电技术研究院”。谢谢。"
24,请问定增价格？定增基准日,"您好，公司本次非公开发行股票的定价基准日为本次发行的发行期首日，发行价格不低于定价基准日前二十个交易日公司股票交易均价的 90%（注：定价基准日前
二十个交易日股票交易均价=定价基准日前二十个交易日股票交易总额/定价基准日前二十个交易日股票交易总量）。谢谢！
"
25,股价一路下跌！是不是公司内部出问题？低位现在的非公开是不是涉及内幕交易？,您好，目前，公司经营正常，非公开项目也正常推进。具体情况请关注公司相关公告。谢谢
26,2017年有重组计划吗？,"公司将视业务发展需要及市场情况而进行。感谢提问！
"
27,请问公司如何看待市值管理的？近期管理层新出的增发新规对公司以后资本运作有何影响？,您好，最好的市值管理是做好企业经营。近期新出的增发新规对公司影响不大。公司本次非公开发行项目完全符合增发新规。谢谢
28,我对贵公司是长期投资的，请问预计今年一季度会盈利多少？,感谢您的提问，由于行业季节性因素影响，同行业市场竞争加剧，新能源板块加大投入等原因，我司一季度归属于上市公司股东的净利润为-3154.79万元，我司预计半年度归属于上市公司股东的净利润为5166万元至8265.6万元。
29,请问公司公司的核心竞争力是什么？,您好，我们认为，公司的核心竞争力主要体现在：管理手段的信息化、产品及服务定制化、持续创新及技术研发能力、产业链协同力、职业经理人管理团队建设等方面。谢谢！
30,建议公司在做好业绩的同时也要积极邀请各家机构前来调研，让更多人关注。,谢谢您的建议，我们会努力的。
31,您好，请问截止到目前股东人数,您好，截止4月底股东人数11.3万人，谢谢。
32,请问，今年会否考虑请问，今年会否考虑收购一些公司或者扩展新的领域?收购一些公司或者扩展新的领域?,公司始终坚持“一体两翼”战略，大力发展电线电缆、新材料、新能源三大业务，视合适时机向与主业关联的领域并购或投资。感谢提问！
33,公司管理层怎么看待去年的业绩，满意么？能说下今年有什么目标吗？,2016年公司经营业绩受新能源投入增加以及材料板块毛利下降影响，比预期有所下降。总体符合公司经营实际。2017年考虑新能源的继续投入等因素，预测业绩目标为：营业收入65亿元，利润与2016年基本持平。
