,Question,Answer
0,请问净利润的增长率和销售收入增长同步吗？,您好，感谢关注三德科技。截至目前，公司净利润的增长率和销售收入增长基本保持同步。受公司产品结构调整的影响，未来可能存在不同步情况。谢谢。
1,公司每次投资项目的可行性报告是否有详细说明公告？,您好，感谢关注三德科技（300515）。相关信息敬请关注公司招股说明书和定期报告披露内容。谢谢。
2,目前有多少家火电厂在采用公司的智能化系统？,"您好，感谢关注三德科技（300515）。2016年，公司系统产品基本覆盖各区域（东北、西北、西南、华东、中南）、各集团（华电、国电、华能、国家电投等大型火力发电企业）、各煤种（水分、黏性等），已交付项目运行正常、真正做到了无人值守，获得市场认可。报告期内，公司燃料智能化管控系统产品实现营收39,284,060.41元，同比大幅增长125.06%。谢谢。"
3,煤价走高，对公司利弊如何？,您好，感谢关注三德科技（300515）。公司下游客户覆盖行业较广泛，包括电力生产、第三方检测、矿产采掘、水泥生产、金属冶炼、石油化工等煤炭生产、检测和应用行业，以及相关的监测和科研单位。其中部分行业的经营情况总体与宏观经济同向变动，并受全社会固定资产投资增长的影响，但不同行业的经营情况对公司的影响存在“同频不共振”的现象。以煤炭和电力行业为例：2012年下半年开始、至2016年上半年，我国煤炭价格持续下行、行业性亏损严重、投资收缩；与之形成鲜明对比的是，以煤炭为主要生产成本的火电企业得益于低煤价，盈利能力良好，同期投资活跃度高。与之相对应，煤价走高，有利于煤炭行业内企业，但对电力等用煤单位形成成本压力。谢谢。
4,如果我想对贵公司长期投资，能给我一个长期持有的理由吗？,您好，感谢关注三德科技（300515）。“一千个人眼中有一千个哈姆雷特”，由于角度、出发点等的不同，每个人做出某一选择的理由各异。您选择长期持有三德科技自有您的内在逻辑，他人事实上无法给您理由。从我个人而言，将尽己所能，经营好这番事业，以回报股东。但这并不构成投资建议，谢谢。
5,公司今年有新投资的项目吗？如果有，当年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,您好，感谢关注三德科技（300515）。截至目前，公司暂无新的投资项目。若有，公司将按照相关规则要求履行信息披露义务。谢谢。
6,请描述一下公司未来的发展前景，谢谢！,您好，感谢关注三德科技（300515）。未来，公司将紧紧围绕“致力于成为全球一流分析检测及燃料智能化管控整体解决方案供应商”的愿景，在已有产业基础上，利用资本市场优势，通过内生外延相结合的方式“纵延横拓”。谢谢！
7,将来公司的下属公司会有上市的打算吗?,您好，感谢关注三德科技（300515）。公司暂无下属公司。谢谢。
8,请问普通投资者想来公司参观，应该走怎样的程序？证券代表可否带领参观？公司是否有制度安排？谢谢！,您好，感谢关注三德科技（300515）。欢迎您来公司考察、调研，为便于妥善安排，按照相关规则和公司制度要求，敬请先行联系公司证券部（0731-89864008）。谢谢。
9,自燃料智能化推出以后，公司参与了多少招标？有多少中招？与开元仪器，摩恩电气，远头软件，科远股份等其它公司在此领域竞争，优势如何？,您好，感谢关注三德科技（300515）。燃料智能化管控系统是将工业 4.0“智能生产”理念全面应用于火力企业发电燃料全生命周期管理的智能化管理系统。近年来，以中国国电集团为代表的国有大型火力发电企业先后开展燃料智能化管理建设，蔚然成势。公司积极响应市场需求，凭借在行业内长期的技术和经验积累，推出了优势®系列燃料智能化管控系统产品，符合行业发展趋势和市场需求，逐步获得客户认同，连续两年销售收入保持大幅增长态势。谢谢。
10,公司有没有股权激励计划？,您好，感谢关注三德科技（300515）。公司视员工为最宝贵的财富，基于公司经营和未来发展的需要，公司仍将选择股权激励等方式作为员工激励的重要措施之一，目前暂无具体的时间表。谢谢。
11,请问伍女士，三德科技为什么一上市经营业绩就下降了？请给出令人信服的解释。2015和2016宏观经济差不多的情况下，公司作为是一家高成长性的创业板公众公司，为什么没有体现成长？,"您好，感谢关注三德科技（300515）。企业经营有一定的业绩波动属于正常现象。2016年，受宏观调控影响，处于产业链下游的煤炭、钢铁等产能过剩行业内企业经营压力大、投资削减或放缓，对检测用仪器设备的采购需求受到压缩，且购买力下降，由此引致市场竞争加剧，公司存在相关产品订单减少、收入与利润下滑的风险。针对此，公司在稳固煤质分析检测仪器设备已有竞争优势和市场地位的基础上，完善优势®系列燃料智能化管控系统产品线，积极开拓市场并完成市场战略布局，产品优势获得用户广泛认可。2016年，燃料智能化管控系统产品营业收入同比增长125.06%。
针对公司相关产品订单减少、收入与利润下滑的风险，我们已在公司招股说明书及相关定期报告中充分披露。敬请留意，投资有风险，入市需谨慎。谢谢。"
12,今天的业绩说明会的汇总要点能否在公司网站进行公示？谢谢！,您好，感谢关注三德科技（300515）。本次业绩说明会由全景网提供平台支持，所有问题及答案会在该网络平台留存、呈现。谢谢。
13,公司股东主要为自然人投资者，股价波动幅度大，请问管理层对此种情况怎么看？是否有利于公司公众形象的提升？,您好，感谢关注三德科技（300515）。“路遥知马力，日久见人心”。公司管理层对未来发展充满信心，并理解价格围绕价值波动的经济规律。谢谢。
