,Question,Answer
0,2017年公司研发投入金额大概是1871万，今年会持平还是有所增加？,你好，公司一贯重视产品的研发创新，加大研发投入，开发新产品是公司发展的核心，未来公司将积极加强对研发的投入。
1,您好，我看到贵公司“专用设备箱体系统”这块业务表现还不错，收入同比增长59.46%，销量更是同比增长89.36%，而且毛利率也比“电梯箱体系统”要高。我想请问一下，贵公司对于这块业务的未来是怎么判断的？对于这块业务2018年的资本开支占比，预计会有多少？,你好，公司未来会进一步加大对专用设备箱体系统的市场开拓力度。
2,并购波发特后，公司与波发特将如何发挥产业协同效应，公司在这方面是否已经有一些具体措施？,你好，波发特注入公司体内后，公司拥有了移动通信设备所需的研发、采购、生产、销售、服务完整业务链。未来，公司与波发特双方将在技术工艺、研发积累、渠道资源等方面开展深入产业整合，充分发挥双方的产业协同效应，一方面实现研发、生产、渠道等资源的共享，有效提高公司整体生产效率，降低生产成本；另一方面打通钣金、压铸、机加工等金属加工制造工序的完整产业链，加快产业整合。
3,公司大股东股权质押情况如何？估计长期低迷大股东是否需要追加质押股权,"你好，公司大股东目前质押股份15,070,000股，占其所持有公司股份总数的33.02%。"
4,请问董秘，公司合并波发特后，在“工业+互联网”方面有什么新的规划？后续有什么新产品推出吗？,你好，这个问题我们王董前面已经回复过。
5,请问王董，公司合并波发特后，在工业互联网领域有什么新的规划？后续有什么新产品推出吗？,你好，波发特主要为客户提供射频器件、天线等产品，产品 主要应用在移动通信设备领域，未来公司会积极关注工业互联网的发展。
6,从年报中看到，专用设备箱体系统销售在公司营收中所占的比例逐渐增加，请问这部分主要销售的是什么类型的产品，未来增长空间如何？,你好。公司专用设备箱体系统主要包括新能源及节能设备、医疗设备、半导体设备、安检设备等专用设备，该等专用设备应用领域较广。未来，公司仍将积极开拓该等专用设备市场，进一步增加其在公司的业务占比。
7,公司准备如何履行上市时作出的相关分红方面的承诺？,"你好，公司重视对股东的合理回报，形成了持续、稳定的利润分配政策，有效保障了股东的合法权益。公司上市以来，每个会计年度均进行了现金分红，且相关比例高于承诺上的比例。公司经董事会审议，2017年度利润分配预案为：以 102,506,483 股为基数，向全体股东每 10 股派发现金红利 2 元（含税），不送红股，不以公积金转增股本。该预案尚需公司股东大会审议。"
8,请问世嘉科技发展战略是什么？,你好，报告期内，公司实施了重大资产重组事项，以发行股份及支付现金的方式收购波发特100%股权，通过并购波发特，公司拥有了移动通信设备所需的研发、采购、生产、销售、服务完整业务链，加快推动公司在5G领域的业务布局。未来，电梯和专用设备业务仍将作为公司可持续发展的重要支柱，移动通信设备业务将作为公司持续增长的有力支撑。公司将凭借金属加工制造工序链完整性的优势，夯实精密箱体系统在电梯领域内的行业优势，加强在专用设备领域内的布局，加快移动通信领域内的业务整合，形成精密箱体系统领域和移动通信领域双发展的核心，进一步拓展核心技术和品牌效应，进一步分散公司的经营风险。
9,精密箱体系统具体概念是什么？,你好，精密箱体系统是在系统集成设计的基础上，运用现代机械加工的先进工艺方法对金属或非金属材料进行处理而制成的各类厢体、柜体系统。
