,Question,Answer
0,大湾区对公司的利好是否已经开始？近来公司的销售量环比是否有所增长？,近来公司的销售量有所增长，谢谢提问！
1,贵司股价近日有所回暖，有什么利好消息吗？,您好，感谢您的关注。
2,粤港澳大湾区为世荣兆业发展带来哪些影响？,您好，粤港澳大湾区政策的提出，可能为珠海经济及房地产市场带来新的活力和机遇，相信将对公司发展产生积极影响。
3,请问世荣兆业2018年具体的经营目标及计划？,我公司已在2017年度报告详细描述了相关内容，具体请参阅2017年度报告，谢谢提问！
4,请问世荣兆业今年发展重点,您好。公司今年发展重点请参阅2017年度报告第四节第九小节“公司未来发展的展望”。感谢您的关注。
5,请介绍下世荣兆业有关关联交易的情况？,您好。公司关联交易情况请参阅公司2017年度报告第五节重要事项及公司2017年度审计报告。
6,中美贸易摩擦对贵世荣兆业业务有何影响？,您好。中美贸易摩擦目前对公司业务没有影响。
7,公司业务未来考虑拓展到外省吗,我公司已在外省设立子公司，具体请参加公司2017年度报告，谢谢提问！
8,你对世荣兆业的现状和发展如何看？,我们对公司的现状及发展充满信心，谢谢您的提问！
9,世荣兆业今年有没有新产品和新业务拓展？,您好，请查阅公司2017年度报告，感谢您的关注。
10,请问管理层认为目前世荣兆业股价是否反应世荣兆业价值？,您好。股票二级市场价格受多重因素影响。感谢您的关注。
11,世荣兆业的“市值管理”是哪个部门负责的？平时都是怎么进行市值管理的？,市值管理是由董事会统筹负责管理的。日常管理请查阅公司年报，谢谢提问！
12,除了在巨潮网上查看世荣兆业公告，还可以在哪里了解世荣兆业的日常经营情况？,您好，公司指定信息披露媒体为巨潮资讯网、证券时报、证券日报、中国证券报。您还可拨打公司投资者热线：0756-5888899 了解公司情况。感谢您的关注。
13,世荣兆业去年经营上遇到的主要问题或困难是什么？,去年经营上遇到的主要问题困难是限购限贷政策。
14,预计今年会有多少新盘开盘？,2018年我公司翠湖苑二期的部分楼盘及蓝湾半岛11期二个新楼盘开盘。
