,Question,Answer
0,与竞争对手相比，公司具有什么优势？,您好！公司的竞争优势请查看2017年年度报告“核心竞争力分析”章节。感谢关注！
1,目前公司面对最大的挑战是什么？,您好！公司面对的最大的挑战请查看公司2017年度报告全文中披露的重大风险提示部分。感谢关注！
2,公司的分配预案达到承诺的分红比例吗？,您好！公司的分配预案通过了独立董事的同意，同时也是按照公司章程以及公司发展规划作出，是达到承诺的分红比例的。感谢关注！
3,公司如何吸引并留住人才？,您好！公司将进一步加强人才储备，引进科学的人力资源评测体系及管理模型，完善人力资源引进、开发、使用与退出管理机制；公司重视研发人员的培养和研发团队的建设，通过与高校合作进行培养人才，来进一步巩固核心研发团队。感谢关注！
4,公司股价长期低迷，公司有何感想？,您好！股票交易价格波动受很多因素的影响，敬请投资者理性投资，注意投资风险。感谢关注！
5,公司一季度亏损412万，请问主要原因是什么？2季报业绩会有所改善吗,你好！一季度的亏损主要是因为公司销售收入存在季节性不均衡的特点，第一季度的销售收入在全年中占比较小，运营费用、折旧摊销费用仍需正常支出。二季度随着销售占比增加故业绩应该会有所改善。感谢关注！
6,对目前二级市场股价如何看待？能否反映贵公司的现有价值？,您好！公司具有良好的发展前景，公司将持续努力开拓业务，提升业绩，创造更好的长期投资价值。感谢关注！
7,请问公司如何预期未来三年的营业收入的增长速度？,您好！公司目前各项业务经营正常，后续经营情况请您关注公司定期报告。感谢关注！
8,"公司2017年度发生研发投入1530.64万元,能介绍下都用在了哪些项目上吗？",您好！请关注2017年年度报告中“研发投入”章节。感谢关注！
9,请问目前公司业绩受哪方面影响较大？公司有什么应对计划？,您好！公司经营正常，各项业务保持稳定发展。感谢关注！
10,一季度是否有哪方面有比较大的投入，对管理费用有多大影响？,您好！一季度的管理费用与去同期相比下降2.1%，无较大的投入。感谢关注！
11,军民融合政策给公司带来了哪些机遇？公司进行了哪些布局,您好！公司已具备军民融合的相关资质，给公司生产的武器装备PHM系统推广应用带来了机遇。公司组织了专门的团队研发相关产品，产品性能指标得到了用户的认可。感谢关注！
12,公司的毛利率水平如何？是否有进一步提升的空间？,2017年度公司的毛利率为58.83%。公司正加强生产管理，采购时严格比价，力争进一步提高毛利率。
13,公司预计2018年投入多少研发资金？预计占营业收入多少比例,您好！公司预计2018年投入研发资金占比与2017年相当。预计占营业收入12%左右。感谢关注！
14,公司及管理层是否鼓励员工长期持股？会不会任由员工和大小非减持？,您好！公司可持续发展前景良好并努力创造更好的长期价值，公司的股权激励还在进行中，目前并无员工持股计划。感谢关注！
15,请简要介绍下公司现金流情况如何？,"您好！公司现金流较好，2017年期末现金及现金等价物余额78,503,676.79元，期初现金及现金等价物余额102,105,509.90元；经营活动产生的现金流量净额26,046,401.54元；投资活动产生的现金流量净额-44,144,207.15；筹资活动产生的现金流量净额-5,161,707.73。感谢关注！"
16,公司前五大客户有哪些？,公司的主要客户请见2017年年度报告中“品牌和客户优势”章节
17,一季度军用在线测试需求情况如何？,您好！一季度公司已有若干军用在线监测项目正在现场调试中。感谢关注！
18,今年的订单情况怎么样？与去年相比如何？,您好！公司目前订单情况稳定。公司销售有季节性特点，一季度占全年比重较低。感谢关注！
19,公司在发展中都积累了哪些稳定客户，未来还有哪些优质目标客户,您好！公司目前在土木工程、机械制造、国防工业、交通运输等领域有较稳定的客户，未来将重点开发机械设备和武器装备PHM系统（在线监测和健康管理系统）及电化学工作站市场。感谢关注！
20,公司是否具备长期投资的价值？,您好！公司所有产品都是自主开发，拥有自主知识产权，涉及工业互联网、装备健康管理等战略性新兴产业；公司致力于保护股东和中小投资者利益，不断强化管理、提高效益。投资者还请根据公司公开信息谨慎判断投资风险。感谢关注！
21,去年净利润都大幅增长，主要是由于什么原因促成的？,您好！公司净利润大幅增长的主要原因为：股权激励计划在本报告期内确认的费用下降，美国子公司注销减亏，以及上海子公司业绩好转等多种原因。感谢关注！
22,目前省内和省外那块业务发展更好，或者说投入更多的人力物力去深耕？,您好！公司在全国设立11个办事处，均衡投入人力物力去耕耘。感谢关注！
23,公司目前在国内自主品牌中是否占有优势？,您好！公司目前在国内自主品牌中占有优势。感谢关注！
24,当前航空发动机测试存量有多少市场？与公司市值规模是否相当？,您好！航空发动机测试仪已在某型号成功完成挂机实验，形成巨大市场还需一段时间。公司市值规模由多种因素决定。感谢关注！
25,今年预计主要产品的销售目标是多少？净利润是多少？,您好！请及时关注我公司的定期报告。感谢关注！
26,目前军用产品列装进度怎么样？是否达到预期呢？,您好！公司产品多年来一直用于国防工业科学研究，一些科研机构已采购武器装备PHM系统样机，正在进一步推广中，推广后可以进入列装；符合发展预期。感谢关注！
27,公司现在的主要竞争对手是谁？如何把握他们的动态？,您好！国外产品依然是公司的主要竞争对手，国内新兴企业的产品不断出现，对公司也形成了新的竞争。公司成立了专门团队，研究国内外竞争对手产品的最新动态（技术、市场、服务等），及时采取应对措施。感谢关注！
28,请问2017年公司主营业务有什么变化？,您好！公司2017年度主营业务未发生重大变化。感谢关注！
29,您认为目前公司面临的最大问题是什么,您好！市场竞争依然是公司面临的最大问题，特别是机械设备和武器装备PHM系统（状态监测与故障诊断系统）如何被用户接受，形成新的市场。感谢关注！
30,公司今年有没有收到政府补助？,您好！请关注公司已发布的定期报告。感谢关注！
31,中美贸易战开打，对公司的经营业绩是否会产生不利影响？,您好！公司出口收入在总收入中占比很少，因此中美贸易战对公司的经营业绩不会产生不利影响。感谢关注！
32,去年有哪些机构投资者去公司调研？,您好！2017年没有机构投资者到公司调研，2018年，我们将积极加强与投资者沟通交流。感谢关注！
33,公司如何布局工业互联网？,您好！相同问题已回复。感谢关注！
34,独立董事的履职情况如何，是否能真正保护中小股东利益？,您好！我们严格按照证监会相关规定履行独立董事职责，述职报告已随公司2017年度报告同时发布，对相关事项均已发表独立意见。感谢关注！
35,公司新的利润增长点在哪里？,您好！公司传统产品结构力学性能测试和分析系统一直与国外产品竞争，近期外部环境的变化有利于公司产品在国防工业的应用；在工业互联网应用方面，随着中国制造2025的启动，机械设备和武器装备PHM系统需求明显增加；经过多年的研发投入，全资子公司的电化学工作站已形成销售，打破了国外产品在该行业的技术垄断。感谢关注！
36,公司目前股东人数是多少？,您好！股东人数请见公司已披露的定期报告。感谢关注！
37,请问公司高管对公司所处行业的未来发展怎么看,您好！本公司所处行业符合国家的创新战略，服务于高端制造、科研教学，故对所处行业的未来发展长期看好！感谢关注！
38,公司在在技术创新方面都进行了哪些努力，目前都有哪些创新技术,公司一直以自主创新为核心竞争力，公司的研发人员在人员结构中占很大比例，研发费用占公司销售额12%以上。目前公司在工业互联网、装备健康管理（PHM）方面都积累了系列创新技术。
39,公司控股股东及其一致人拟减持不超4.99%股份，请问减持对公司各方面是否有影响,您好！公司控股股东及其一致行动人减持对公司各方面不存在影响。感谢关注！
40,公司是如何布局工业互联网的，目前成效如何,您好！公司已抢先布局工业互联网，特别在工业互联网感知系统（传感器、数据采集系统、控制分析软件），公司已掌握完整的核心技术，重点研发了机械设备和武器装备PHM系统（在线监测和健康管理系统），已有部分用户投入使用，公司已组织专门的团队开拓相关市场，将有较大的市场空间。感谢关注！
41,目前公司的科研成果转化怎样？是否符合预期？,您好！公司的研发项目都是针对所在行业实际需求来进行评审立项开发的，因此科研成果基本都能转化成市场需要的产品推广，达到预期效益。感谢关注！
42,美国商务部芯片禁令对公司有无影响？,您好！公司目前生产经营一切正常，产品元器件“自主可控”，美国商务部芯片禁令对公司无影响。感谢关注！
43,公司什么时候进行利润分配？,您好！公司将在5月16日股东大会审议通过利润分配的议案后2个月之内完成利润分配。感谢关注！
44,公司的募集资金项目的投入进度如何？,您好！具体请关注公司披露的《2017年度募集资金年度使用情况的专项报告》。感谢关注！
