,Question,Answer
0,请问董事长，张家港宁波二期有开工预期不？是否要等待丙烯销售顺畅后考虑开个建设，两套装置按照1:1.2的比例基本很少外销丙烯，还有氢气目前两套装置销售情况怎么样，有多少销售比例？关于去年张家港装置销售收入29亿，除去检修加上更换催化剂，按照去年的PP均价，销售29亿这个8千万的利润确实是偏少了，今年两套装置是否会一如既往存在去年张家港装置的同样问题，谢谢！,您好，宁波福基项目（二期）将根据前期已投项目进展及公司整体规划择情开展。目前扬子江氢气外销量约二分之一左右，外销量增长有待于下游客户装置负荷提升，同时将努力推进宁波福基项目氢气外销的商务洽谈工作，公司也将积极探索氢气的利用价值，积极探索氢燃料领域和化学合成领域的商业价值，为公司持续发展增长动力。公司扬子江项目2016年度因临时停车检修未达到全年满负荷生产，产能在2016年度未完全释放。扬子江石化2016年净利润数仅为该公司单体报表财务数据。2017年，扬子江石化项目和宁波福基石化项目负荷与销售情况均表现良好，公司将在2017年全面做好生产经营和项目建设，争取实现整体合并财务报表有良好的业绩表现，感谢您对公司的关注与支持！
1,请问宁波项目一期与张家港扬子江项目一期相比，是否效益要比张家港项目好？谢谢！,您好，目前两个项目整体装置运行水平良好，宁波福基及扬子江石化将继续深化项目生产管理，全面提升项目技术管理水平，综合提高项目赢利水平，加强节能降耗工作，减少装置的能耗水平，实现单位成本效益最大化。 具体业绩贡献敬请关注公司定期报告，谢谢！
2,"如果曹妃甸项目一直不能开工。什么时候会变更项目。     最近公司的lpg进口价格是多少。

公司为什么只产拉丝料 是否有共聚料生产， 怎么可以扩宽pp销售途径和提高价格  出口大概占多少",您好，曹妃甸项目码头项目仍处在报批阶段，已经获得码头项目前期工作函、节能评估批复等，争取尽早完成码头项目的核准手续，推进相关项目建设进程。最近CFR5月底/6月远东到岸价在390-410美元/吨左右。公司聚丙烯销售将采取销售多元化、扩大出口、努力发展高端品牌等经营方式形成竞争优势。谢谢！
3,去年年中的时候，市场对贵司的预期是17年1.1-1.3元每股，去年年底时，已经到了17年0.9-1元每股，到现在是0.6-0.8元每股，公司是所有化工股中单位潜在产能最大的一家，也是去年市场表现最弱的化工股，请问公司业绩何时可以超预期。,您好，公司扬子江项目2016年度因临时停车检修未达到全年满负荷生产，产能在2016年度未完全释放。扬子江石化2016年净利润数仅为该公司单体报表财务数据。2017年，扬子江石化项目和宁波福基石化项目负荷与销售情况均表现良好，公司将在2017年全面做好生产经营和项目建设，争取实现整体合并财务报表有良好的业绩表现，感谢您对公司的关注与支持！ 
4,公司如何看待现在很多行业中产业政策主导下，偏向国企（国进民退）的现象。对未来民企的经营环境怎么看,您好，新材料产业已列入国家十三五规划，公司将结合国家政策、行业发展方向等因素，将高端聚丙烯产品列为公司未来发展方向之一。公司利用世界优质烷烃资源和引进先进的气化工艺技术生产大宗石化商品聚丙烯，为石油能源危机下中国石化产业发展之路带来新的出路和活力，公司的发展战略与国家的发展战略高度契合，民营企业必定会创造应有的社会价值。谢谢您的理解与支持。
5,其实公司在曹妃甸有码头以后，完全可以在雄安新区设厂生产，充分享受“千年大计”的政策红利，虽然会增加一定运输距离，但肯定是利大于弊，董事长要有政治敏感性和觉悟，这样上市公司才能收到投资者青睐而发展壮大,您好，非常感谢您的建议，谢谢！
6,请问董事长，张家港宁波二期预期有开工时间吗？两套装置氢气外销比例多少？谢谢！,您好，宁波福基项目（二期）将根据前期已投项目进展及公司整体规划择情开展。目前扬子江氢气外销量约二分之一左右，外销量增长有待于下游客户装置负荷提升，同时将努力推进宁波福基项目氢气外销的商务洽谈工作，公司也将积极探索氢气的利用价值，积极探索氢燃料领域和化学合成领域的商业价值，为公司持续发展增长动力。感谢您对公司的关注与支持！
7,请问，未来十年预估市场规模多大。谢谢,您好，公司将努力做好各项生产经营管理，以实际业绩回报给广大股东。谢谢您对公司的支持！
8,建议公司就去年张家港项目盈利情况作个详细说明，挽回投资者的信心,您好，有关张家港项目相关数据请查阅2016年年度报告，公司扬子江项目2016年度因临时停车检修未达到全年满负荷生产，产能在2016年度未完全释放。扬子江石化2016年净利润数仅为该公司单体报表财务数据。公司将在2017年全面做好生产经营和项目建设，争取实现整体合并财务报表有良好的业绩表现，感谢您对公司的关注与支持！ 
9,在2017年半年报的预估中，贸易占比大致多少，扬子石化项目和宁波项目分别占比多少？,您好，半年报预告是基于目前市场的一个大概整体预测，因为相关市场均在不停变动，具体数据请以披露报告为准。
10,策略我都帮你们想好了，趁着曹妃甸评估通过，设个北方分公司，宣布将河北作为未来重点开发区域，积极支持雄安新区建设，遵循党中央和习总书记，举全公司之力支援，规划利用雄安政策红利，投资设厂，并和曹妃甸码头形成联动，为京津冀一体化做出贡献，为化工类上市公司做出表率,非常感谢您的关注肯建议，我们会有所研究考虑。
11,一句话，公司要将利润做出来，将利润做大，这才符合各个股东利益，谢谢,感谢您的建议和关注，相信公司一定会以良好的业绩回馈投资者。
12,周董好！请问这次说明会上提出的问题都有回复吗？当时没有回复的是否在结束后也给投资者一个回复？谢谢！,您好，今天说明会的问题均会回复，谢谢。
13,当前扬子江一期和宁波福基石化一期的产能利用率是多少？,您好，目前负张家港和宁波PDH负荷率均达85%到90%左右，PP满负荷。谢谢。
14,今年扬子江和宁波福基石化的装置有检修计划么？预计会有多长时间？,您好，2017年暂无检修计划，谢谢。
15,近两年公司管理层变动频繁，早期的股权激励是否达到目的？,您好，股权激励计划是为进一步建立、健全公司长效激励机制，吸引和留住优秀人才，充分调动东华能源董 事、高管、中层管理人员及核心业务（技术）人员的积极性，有效地将股东利益、公司利 益和激励对象个人利益结合在一起，使各方共同关注公司的长远发展，在充分保障股东利 益的前提下，促进公司长远发展。谢谢
16,请问董事长，30.15万吨聚丙烯销售就带来了5千多万的利润，确实有点少了吧。,"您好，公司扬子江项目2016年度因临时停车检修未达到全年满负荷生产，产能在2016年度未完全释放。扬子江石化2016年净利润数仅为该公司单体报表财务数据。2017年，扬子江石化项目和宁波福基石化项目负荷与销售情况均表现良好，公司将在2017年全面做好生产经营和项目建设，争取实现整体合并财务报表有良好的业绩表现，感谢您对公司的关注与支持！
"
17,公司今年有没有新产品和新业务拓展？,您好，公司2017年重点工作是实现扬子江石化项目和宁波福基项目“加强成本控制力度，提升装置运行水平，实现稳定持续运行”的经营目标，公司围绕烷烃资源贸易、储存加工、零售终端和深加工产业等业务努力提升整体经营业绩水平。如有重大业务拓展等相关事项将及时 披露，谢谢！
18,回答都是受市场环境因素影响导致今年PDH业绩贡献不佳，那怎么同行业的其他公司都还是很不错呢？难道他们不受市场影响？希望公司在信息披露方面多多加强，给予投资者更明确的信息！,扬子江项目2016年度因临时停车检修未达到全年满负荷生产，产能在2016年度未完全释放。扬子江石化2016年净利润数仅为该公司单体报表财务数据。2017年会有改善。
19,请介绍一下公司的行业地位？,您好，公司由LPG分销成功发展为集LPG贸易、存储加工、终端分销、深加工为一体的全产业链格局。目前已成为中国最大的烷烃资源综合运营商，拥有中国最具规模的烷烃资源深加工工厂，液化石油气进口量和贸易量连续四年蝉联国内排名第一。谢谢！
20,公司股价大幅下跌的根本原因是投资者看不到希望，新项目上了但利润不见涨，所以要制止股价下跌最根本的办法是树立投资信心，对公司项目盈利前景的信心，请公司制定投资者信心恢复计划，谢谢董事长了！,您好，非常感谢您的建议和对公司发展的支持，公司将努力做好各项生产经营管理，以实际业绩回报给广大股东。谢谢！
21,现在那接投资者电话的男的小伙，也代我感谢他,您好，感谢您的关注与支持，我们将继续为广大投资者做好沟通的桥梁。
22,行业有没有周期性？,您好，公司相关行业无明显周期性。谢谢。
