,Question,Answer
0,"这几年社会道德严重滑坡,不讲诚信，为了个人利益突破道德底线的行为屡屡发生，你作为企业高管如何看待？","尊敬的投资者您好：
东宝生物管理团队以及广大员工始终秉持“诚信自律、依法经营”的原则，各项工作都规范运行。公司也始终把诚信经营作为企业发展的基础和保障，不断强化。公司所处的经营环境和合作相关方合作关系健康稳固，始终保持和谐良好的合作关系。我们也深信随着国家各项法律法规的不断完善和社会的不断进步，生产经营环境会越来越好。"
1,今年人工费用是否还会出现阶段性上涨？,"尊敬的投资者您好！
公司所处地区用工情况能够满足企业生产经营需要，人工成本相对稳定。"
2,请问公司上一季生产经营状况如何？与去年同期相比如何呢？,"尊敬的投资者您好！
公司2017年一季度生产经营状况较好，经营业绩较上年同期有较大幅度的增长，详细情况请查阅公司已披露定期报告。"
3,希望公司在适当的时侯推出激励计划来聚集和挽留人才，保持公司的竞争力！,"尊敬的投资者，您好！
公司于2016年积极推行了第一期员工持股计划，效果良好，公司全员凝聚力有了 更好的提升。2017年，公司将择机积极推行第二期员工持股计划，对公司核心成员进行激励，创造更好的业绩回报股东。"
4,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,"尊敬的投资者您好：
公司高度重视舆情管理工作，建立了完整系统的红黄线管理制度，对舆情风险有完整的管理制度和风险防控预案，并设有专人实时进行舆情监控，按流程及时反馈控制。"
5,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,"尊敬的投资者您好：
关于公司经营可能存在的风险及应对措施已经在2016年度报告中详细说明。"
6,请问公司在财务结构上有什么不足，打算采取哪些举措。,"尊敬的投资者您好！
目前公司的财务状况和资产结构良好，根据公司所处行业特点，我们将进一步加强财务管理，不断优化资产结构，提升资产使用效率，满足公司不断发展的需要。"
7,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,"尊敬的投资者您好：
根据目前市场情况，结合公司生产经营，我们预计2017年业绩会呈上升趋势。 公司还将紧密围绕战略目标开展各项经营活动，确保战略目标实现。"
8,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,"尊敬的投资者您好：
公司管理层及全体员工上下一致、共同努力，致力于公司战略目标的实现。2016年，公司加大市场营销推广力度，聚焦用户增值服务，一切工作都以用户需求为根本，以用户对产品质量和服务的满意为宗旨。全力做好销售、用户服务、质量控制等工作，市场呈现出快速提升的新局面。2016年，公司主营产品销售有了新的突破，销量增加、明胶产品单位成本下降，毛利率较上年同期有所提升，营业利润较上年同期大幅度增长。公司将不断努力，以产品质量优势、管理优势、品牌优势、服务优势等保持公司行业领先地位，进一步稳固客户 。"
9,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,"尊敬的投资者您好：
公司的明胶生产始于1960年，一直专业从事明胶、胶原蛋白及其延伸品的研发、生产和销售工作，目前是国内明胶行业领先企业，企业规模位居内资第一。公司募投项目正式投产后，将进一步巩固公司在明胶行业中的领先地位、提高公司在行业中的竞争力。"
10,"国家要求实行经济节约型政策,公司具体是怎么做的?","尊敬的投资者您好：
公司高度重视企业管理，不断提升管理能力，2016年，公司荣获自治区主席质量奖，目前，正在全面贯彻落实绩效管理，在精益生产、清洁生产、制度化、流程化、标准化、食品安全管理等领域不断完善，努力实现更好的效益。"
11,公司未来五年的目标是多少？能够实现吗？,"尊敬的投资者您好：
公司战略目标为：利用中国北方丰富的动物骨资源，以生产骨明胶和骨胶原蛋白等生物制品为主营业务，持续改进经营模式，加强研发创新力度，强化信息系统建设，依托资本市场，搭建拓展平台，积极整合产业链上下游或行业优质资源，加强外延式增长，并通过全面实施精益生产管理、持续的技术创新、立体化销售渠道开拓、长效激励措施等方式，提升内涵式增长，在“十三五末”将公司发展成为世界级现代胶原生物技术企业”。实施路径：公司战略目标达成的路径是打造优质的、差异化的“品牌竞争力”和可控的“资源整合力”，全面提升公司核心竞争力。优质的、差异化的“品牌竞争力”，重点在于站在用户的角度以及未来拓展高技术成果应用领域业务的角度，对主营业务提出全面超用户需求的质量控制标准，并以持续的技术研发、精益生产管理、严格的采购标准、流程和生产过程控制共同推动产品品质提升和成本下降，针对以明胶和胶原蛋白为基础原料的产品进行各类复配产品的研究，打造多样化、差异化的产品；可控的“资源整合力”重点在于对公司所处行业宏观环境进行充分研判，以广阔的视角掌握行业的发展趋势，对以明胶和胶原蛋白为主要基础原料的产品，围绕其进行下游延伸产品的产业化推进工作，并依托资本市场的融资渠道和资源平台，多样化整合企业发展所需的各类资源，全面提升“硬实力”和“软实力”，最终实现“世界级现代胶原生物技术企业”的发展战略目标，在标准、技术、生产装备、管理、品质、品牌、服务等领域做到行业领先。"
12,今年公司人力成本的大幅度上升？对公司产品价格影响有多大？,"尊敬的投资者您好！
公司2016年度管理费用中的职工薪酬较上年同期具有一定的增长，主要是2016年度员工持股计划中对员工业绩考评的激励资金。"
13,请问公司会进入新的细分领域吗？这一领域与公司现有业务的相关性？,"尊敬的投资者您好：
公司在研项目均以“胶原”为基础原材料进行的下游衍生品研究开发项目。其中，公司主要在研项目未来将要主攻的方向为生物止血产品市场、抑制肿瘤保健品市场、改善骨质疏松产品市场、代血浆明胶市场等，未来具有良好的发展前景。"
14,公司截止至今的产品有多少个种类？,"尊敬的投资者您好：
公司专业从事明胶和胶原蛋白及其延伸产品的研发、设计、生产、销售，为下游用户药用空心胶囊及食品生产制造商提供全面系统的供应及服务方案。
公司主营产品为“金鹿”牌明胶、“圆素”牌胶原蛋白及“白云”牌磷酸氢钙。其中，明胶主要用于药用空心胶囊和食品添加剂的生产，胶原蛋白主要用于食品、化妆品、保健品等行业，磷酸氢钙主要用于饲料添加剂。"
15,公司募投项目，预期如何？,"尊敬的投资者，您好！
目前公司募投项目3500吨新工艺明胶已经进入带料调试阶段，进展顺利。公司将进一步加强项目管理工作，加快推进项目工作进度，实现二季度中期项目全线试生产。待项目正式投产后，将进一步释放产能，扩大规模，有效提升公司核心竞争力和行业地位。随着大健康产业的快速发展，下游市场容量快速增长，明胶市场出现上升趋势。公司将紧跟市场变化，深入研究下游市场的容量变化趋势，择机适时进一步扩大明胶生产规模，提升行业集中度，实现更好规模优势。
请关注后续公司在创业板指定信息披露网站上发布的公告。
"
16,公司的前5大客户是哪些？,"尊敬的投资者，您好！
公司的前5大客户是下游胶囊和胶原蛋白用户。
"
17,公司的前5名供应商是什么，与公司存不存在关联关系？,"尊敬的投资者您好！
公司的前5名供应商主要是骨料供应商，与公司不存在关联关系。"
18,请问今年预计主要产品的销售目标是多少？净利润是多少？,"尊敬的投资者您好：
根据目前市场情况，结合公司生产经营，我们预计2017年业绩会呈上升趋势。"
19,请问公司公司的核心竞争力是什么？,"尊敬的投资者，您好！
公司明胶生产历史始于1960年，是专业的生物制品国家级高新技术企业，积累了丰富的管理经验，并经过多年技术改造和优化，将世界一流的专业生产装置成功应用于明胶生产，产品品质、生产成本、生产效率等在行业内处于领先地位。公司高度重视技术开发工作，研发投入在行业位居前列。公司已在定期报告中详细披露了公司核心竞争力，请关注！



"
20,公司在税收方面有没有相关的优惠政策？具体税率是多少？,"尊敬的投资者您好！
公司属于国家级高新技术企业，享受企业所得税优惠政策，所得税税率为15%；根据（内国税流字【2000】56号）文件之规定，本公司销售磷酸氢钙产品免征增值税。"
21,请问开完股东会后，如果送股通过几日内会送股？,"尊敬的投资者您好：
公司利润分配方案将在股东大会审议通过后2个月内完成实施。具体的利润分配预案敬请关注公司在巨潮网发布的公告。"
22,公司生产经营的季节性如何?哪个季节是旺季?,"尊敬的投资者您好：
公司全年均衡生产，不受季节性影响。"
23,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,"尊敬的投资者您好：
公司战略目标为：利用中国北方丰富的动物骨资源，以生产骨明胶和骨胶原蛋白等生物制品为主营业务，持续改进经营模式，加强研发创新力度，强化信息系统建设，依托资本市场，搭建拓展平台，积极整合产业链上下游或行业优质资源，加强外延式增长，并通过全面实施精益生产管理、持续的技术创新、立体化销售渠道开拓、长效激励措施等方式，提升内涵式增长，在“十三五末”将公司发展成为世界级现代胶原生物技术企业”。"
24,公司今年的财务费用会有多少？,"尊敬的投资者您好！
公司2016年度未发生融资业务，未产生相关的财务费用，具体情况请查阅公司已披露的定期报告。"
25,2017年公司是否考虑对高管实行股权激励，如果有的话大概什么时候实行？,"尊敬的投资者您好：
公司于2016年积极推行了第一期员工持股计划，效果良好，公司全员凝聚力有了 更好的提升。2017年，公司将择机积极推行第二期员工持股计划，对公司核心成员进行激励，创造更好的业绩回报股东。"
26,请问老总公司今年净利润同比增长多少？,"尊敬的投资者您好！
公司2016年度净利润同比有所增长，具体数据请查看公司已披露定期报告的相关内容。"
27,公司截止目前的股东总人数是多少？,"尊敬的投资者您好：
截止到2017年4月15日，公司股东人数为18616人。"
28,公司预计2017年业绩较去年同期是上升还是下降？若上升，则增幅是多少？,"尊敬的投资者您好！
根据目前市场情况，结合公司生产经营，我们预计2017年业绩会呈上升趋势。我们将抓住市场机遇，积极拓展市场，内部挖潜增效、降低成本，不断提升业绩，回报广大投资者。"
29,我是公司的一名小股东，请问我想现场参加股东大会，不知道应该怎么做？需要什么样的程序？,"尊敬的投资者您好：
公司股东大会通知已经在巨潮网发布，详细的参会程序敬请关注。"
30,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,尊敬的投资者您好：公司将根据发展需要，通过多种渠道融资，解决企业发展所需资金，公司也积极考虑，选择合适时机设立基金，加快企业发展步伐。 
31,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,"尊敬的投资者您好：
公司将根据发展需要，通过多种渠道融资，解决企业发展所需资金，公司也积极考虑，选择合适时机设立基金，加快企业发展步伐。"
