,Question,Answer
0,很高兴能看到同信证券更名，建议公司以东方财富证券这名称进一步加强推广！,尊敬的投资者：非常感谢您对公司的关注和宝贵建议，我们会努力做好相关工作，争取实现证券服务业务的健康快速发展。
1,东方财富的赢利主要体现在哪？ 竞争情况如何？2016年展望如何？,尊敬的投资者：非常感谢您的提问，公司主要业务有金融电子商务服务业务、金融数据服务业务、互联网广告服务业务及2015年12月份完成同信证券收购后新增的证券服务业务等，公司2015年度经营及财务等相关情况，已在2016年3月19日发布的2015年年度报告中进行了详细披露，敬请查阅。2016年度，公司将紧紧围绕一站式互联网金融服务的整体战略定位，积极抓住发展机遇，努力克服困难，进一步加强战略投入，进一步加强研发创新工作，持续优化和完善公司互联网金融服务大平台，进一步推进互联网金融电子商务基金第三方销售服务业务的健康快速发展，全面做好同信证券、东财国际的业务整合工作，实现证券服务业务快速发展，进一步探索互联网金融服务新业务，拓展和完善服务链条，积极挖掘互联网金融服务海量数据巨大价值，实现向金融大数据服务延伸，进一步做好金融数据服务业务和互联网广告服务业务等，为公司实现长期可持续健康发展，夯牢坚实的基础。
2,"天天基金网面临竞争,费率现都降为1折,是否会大幅影响公司的营业收入和利润,公司如何应对?","尊敬的投资者：非常感谢您的提问。在2015年成功实现流量变现后，从公司长远战略出发，为拓展更大用户规模，公司采取了主动降低基金第三方销售申购费率等措施，2016年第一季度金融电子商务服务业务收入同比预计出现一定幅度下降。
未来，公司立足于一站式互联网金融服务大平台的战略定位，基于拥有的海量用户的核心优势，积极抓住互联网金融发展的历史机遇，坚持以用户需求为中心，进一步做好基金第三方销售服务业务，进一步加强互联网金融服务创新工作，进一步丰富产品线，拓展服务范围，提高市场覆盖面，提升服务能力和水平，提升用户体验，进一步巩固和强化行业领先地位，促进互联网金融电子商务基金第三方销售服务业务的健康快速发展。"
3,东方财富证券市场份额最新排名多少,尊敬的投资者：非常感谢您的提问。根据上交所上证统计月报2月刊披露的相关数据，东方财富证券（原西藏同信证券）沪深两市股票交易量占比0.57%，市场排名第45位。
4,请问公司，是否有成立网上银行的计划？,尊敬的投资者：非常感谢您的提问，公司的整体战略目标是实现一站式的互联网金融服务，公司会以用户需求为中心，根据市场发展情况，在政策允许和条件成熟时，做好公司一站式互联网金融服务大平台产品和服务的拓展和完善工作。
5,公司非公开发行价格和对象确定了吗？,"尊敬的投资者，非常感谢您的提问。本次发行股份募集配套资金的定价基准日为该等股份的发行期首日。发行对象不超过5名投资者。本次募集配套资金的发行价格，按照以下方式之一进行询价确定：（1）不低于发行期首日前一个交易日公司股票均价；（2）低于发行期首日前二十个交易日公司股票均价但不低于百分之九十， 或者发行价格低于发行期首日前一个交易日公司股票均价但不低于百分之九十。
最终发行价格将根据询价结果由公司董事会根据股东大会的授权与本次交易的独立财务顾问协商确定。"
6,东方财富作为创业板的龙头，为什么股票还涨不过同花顺呢,尊敬的投资者：非常感谢您的提问。截止目前，创业板上市公司已超过500家，每家上市公司的经营和发展情况都各不相同。二级市场股票价格是受市场波动等多种因素综合影响的结果。
7,介绍一下公司彩票业务的进展情况,尊敬的投资者：您好，非常感谢您的提问，目前公司正在积极推进相关工作。
8,请问东方财富十转八以及派现，什么时候实施？,"尊敬的投资者：非常感谢您的提问。公司第三届董事会第三十次会议审议通过了2015年度资本公积金转增股本及利润分配预案为：1、以总股本1,853,892,052股为基数，用资本公积金向全体股东每10股转增8股，共转增1,483,113,641股, 转增后公司总股本变更为3,337,005,693股。2、以总股本1,853,892,052股为基数，向全体股东每10股派发现金股利人民币1.00元（含税），合计派发现金185,389,205.20元。上述方案尚需股东大会审议通过，公司会在股东大会审议通过后的两个月内完成权益分派工作。"
9,公司高管六个月内有没有减持计划,尊敬的投资者：您好，非常感谢您的提问。关于公司高管减持，如有需要披露的信息，公司会按照相关法律法规及监管部门的相关规定，及时进行披露。
10,面对理财炒股软件从桌面端向移动端的转移，公司在网页端的优势是否会受到影响？2016年公司计划怎样补强在移动端的占有率。,尊敬的投资者：非常感谢您的提问。公司将进一步加强研发创新工作，加强网站平台、互动社区平台、金融数据终端平台和移动端平台升级和优化工作，加强互联网金融电子商务平台服务创新和完善工作，持续加强核心海量数据库的升级和完善工作，进一步提升整个大平台的海量数据处理和响应能力，为整个大平台的服务提供强大的数据支持，实现各平台底层海量数据的共享覆盖，充分发挥各平台的整体协同效应，提升用户体验，提高用户粘性，为海量用户提供更大范围的一站式互联网金融服务，打下大平台基础，进一步巩固和强化公司核心竞争力。
11,股东大会安排在什么时候呢？,尊敬的投资者：非常感谢您的提问，公司已于2016年3月19日发布了召开2015年年度股东大会的通知，将于2016年4月8日召开2015年年度股东大会。
