,Question,Answer
0,新投资的项目今年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,您好！本次非公开发行股票的募集资金用于收购微智信业100%股权和补充流动资金。微智信业2017年度业绩承诺为实现扣除非经常性损益后的净利润不低于7000万元。谢谢！
1,要实现公司的发展目标，请问信心来自哪里。,您好！一是公司坚持“自主、可控、安全”的核心发展理念，国家产业政策的支持给公司的发展带来机遇；二是公司将进一步聚合和培养优秀人才，努力技术创新，积极拓展市场。谢谢！
2,请问老总公司今年净利润同比增长多少？而管理费用去用比去年同期的增长了多少呢？,您好！2016年度归属于上市公司股东的净利润同比增长57.55%，管理费用同比增长37.63%。谢谢！
3,公司2016年管理费用较上年同期相比如何，原因是什么？2017年会下降吗？,您好！2016年公司管理费用较2015年增加37.63%，一方面是因为研发支出资本化同比下降，另一方面是因为报告期内合并报表范围新增北京微智信业科技有限公司。谢谢！
4,公司是否会计划多元化发展？,您好！多元化发展有很多种含义，公司上市后通过内生和外延，由中间件专业厂商向软件基础设施及创新应用提供商进行升级也可以理解为多元化。今后仍将专注现有业务板块的内生发展，结合符合公司发展战略的新技术领域积极探索。谢谢您的关注！
5,公司未来五年的目标是多少？能够实现吗？,您好！公司将继续秉承责任、信任、创新、共赢的核心价值观，坚持“自主、可控、安全”的核心发展理念，保持公司在国产基础软件领域的领先地位，努力提高在信息安全业领域的市场覆盖率，开拓军工等涉密领域市场，进一步打开市场空间；依托现有核心技术作为软件基础设施，构建云计算、大数据、物联网、人工智能等方向的创新应用，积极探索企业级软件服务的运营商业模式。采用内生与外延并举的方式，聚合和培养优秀人才，引进创新先进技术，优化集团管理能力，提高公司核心竞争力，以获得持续快速发展。谢谢！
6,公司去年主打产品的销量是多少？,您好！请详见公司2016年度报告第四节之“二、主营业务分析”部分相关内容。谢谢！
7,请问公司的分配预案达到承诺的分红比例吗？,您好！公司近年来持续按照章程的规定进行分红派息。谢谢！
8,小军叔叔好，2014年上市的公司就是好，哈哈，公司的主营业务是什么？,您好！公司创始业务是为企业级用户提供基础软件中的中间件产品及相关技术服务，截止目前公司已经开展的主要业务包括基础软件、大数据信息安全、企业移动互联网、网优测试、政务大数据、军工信息化等。谢谢！
9,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,尊敬的投资者您好！请参阅2016年度报告第四节的相关内容，谢谢！
10,从年报上看到，年底增加的基金有近40家，请问一下，2017年的基金前往公司的调研情况，谢谢！,您好！公司2017年2月20日的调研记录请前往深交所互动易平台投资者关系板块查阅。谢谢！
11,"公司提及会积极寻找外延式并购发展的机会，但鉴于证监会于2月中发布了新的""上市公司非公开发行新规”，当中提及的两次非公开发行时间间隔不得少于18个月。请问该新规对公司的并购计划影响几何？ 若严格遵循18个月规定，公司是否在18年1月前都不会有任何并购行为？",您好！我们的理解是新规是证监会发行部门制定的，主要规范非公开发行股票的情况，而重大资产重组（发行股票购买资产）由上市部受理，则不受大的影响。谢谢！
12,公司募投项目，预期如何？是否谨慎？,您好！公司以非公开发行的方式发行股份，募集资金主要用于收购微智信业 100%股权及补充上市公司流动资金。目前收购微智信业股权部分已支付完毕。谢谢！ 
13,请问老总， 2016年存货是多少，存货增加的内容是哪些？,"您好！公司2016年存货16,079,020.04，主要原因是报告期内合并报表范围新增北京微智信业科技有限公司。谢谢！"
14,公司高管对解禁股减持进行了新的承诺，承诺半年内不减持，市场上也对此言论进行了一定的正面反应。个人认为这是非常正面消息，体现了公司高管对公司未来的信息，但是市场上也有很多的质疑的声音，公司是否近期会明确的对这些质疑做出相应的回应？,您好！实际控制人与高管承诺不减持，彰显对公司发展的信心和增强股票流动性、回馈股东的诚意。本次送转与公司业绩增长相匹配，并有每股较高的公积金水平给予支持，而且，公司近年来根据公司章程的规定连续分红回报股东，真想不出质疑何来。感谢您的关注！
15,能简单的介绍下新项目的情况吗？,您好！您问的是什么？
16,公司截至目前为止都有哪些子公司和参股公司？,您好！公司目前拥有成都东方通、东方通泰、东方通宇、惠捷朗、数字天堂和微智信业六家全资子公司。谢谢！
17,请问微智将承诺期延长的主要考虑是什么？微智公司为业绩的完成做了哪些准备呢？,您好！近年来国家高度重视信息安全，行业发展迅速，市场规模处于持续快速增长的态势。随着用户对信息安全需求的不断增加，国内信息安全市场未来潜力巨大。由上海社会科学院信息研究所、中国信息通信研究院安全研究所发布的《网络空间安全蓝皮书：中国网络空间安全发展报告2016》预计，2019年我国信息安全市场总体规模有望达到48.22亿美元，约合人民币331.89亿元人民币。基于公司与相关业绩承诺人（管理团队）对大数据信息安全业务发展的充分信心，决定延长业绩承诺期。微智信业在市场和产品两个层面积极布局，一方面积极挖掘传统运营商优势市场并积极拓展政府领域客户需求，另一方面，通过科技创新以深度学习算法等方式不断优化产品和解决方案。谢谢您的关注！
18,公司截止至今的产品有多少个种类？,您好！目前公司产品主要分6大块内容：标准中间件产品线，平台中间件产品线，网络优化，大数据信息安全，企业移动互联网及政务大数据。谢谢！
19,未来几年， 公司如何定位， 哪些市场更适合公司产品的长远发展？,您好！东方通将坚持“自主、可控、安全”的核心发展理念，保持公司在国产基础软件领域的领先地位，努力提高在信息安全业领域的市场覆盖率，开拓军工等涉密领域市场，进一步打开市场空间；依托现有核心技术作为软件基础设施，构建云计算、大数据、物联网、人工智能等方向的创新应用，积极探索企业级软件服务的运营商业模式。
20,请问公司拟进入的什么新的细分领域吗？这一领域与公司现有业务的相关性？,您好！5G移动通信技术的发展，将在移动通信技术领域掀起了新一轮的热潮，在万物互联的物联网环境下，为无线网络优化测试行业带来新的发展机遇。公司未来有望突破传统的电信设备商、运营商市场，进入更多的细分领域。谢谢！
