,Question,Answer
0,请站在独立董事的角度 评价一下这家公司。您的专业态度对我很重要！,您好！公司按照内部控制的各项制度的规定进行，内外部控制严格、充分、有效，保证了公司经营管理的正常进行，符合公司的实际情况，具有合理性和有效性。谢谢！
1,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么打算吗？,投资者您好！我们将会关注新三板的发展情况，谢谢!
2,李叔叔好，什么是谐振器？,你好，谐振器是指产生谐振频率的电子元件，具有产生频率的作用，性能稳定，抗干扰性能良好，广泛应用于各种电子产品中。谐振器常用的分为石英晶体谐振器和陶瓷谐振器，公司的主要产品为石英晶体谐振器。谢谢！
3,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?",投资者您好！主营石英晶体元器件的公司均是公司的竞争对手；公司在主营业务领域坚持贯彻实施业务集中战略，不断加大市场开发力度，按照客户需求积极开发新的产品，同时公司进行人员及部门的优化整合等多种举措来提升公司的整体盈利水平，提升持续经营能力。
4,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,你好，目前公司产品销售趋势目前较为平稳，公司将采取加快新产品研发、构建专业销售团队等措施保持公司产品销量的可持续增长。
5,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,您好！公司坚持规范稳健经营，按照公司内控制度和上市公司规范指引，控制和化解经营风险，谢谢！
6,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,公司一直致力于为客户持续提供优质的产品和专业的服务，公司采取了提升产品品质、加强产品售后服务、与客户持续沟通需求等措施与原有客户保持长期合作，并通过积极参加行业会议等途径拓展新客户。
7,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,公司目前的不足是行业增速放缓，市场竞争激烈，价格下降。面临的主要风险：产品下降风险、汇率波动风险及人力资源风险。公司措施：公司将加强于客户的深入沟通合作，积极配合客户开发新产品，并在符合相关法律法规规定且符合资本市场发展情况的前提下，开展多元化发展，增加公司新业务增长点。
8,李叔叔好，公司的主营业务是什么？在哪儿能看到公司的宣传片？,你好，公司目前的主营业务为石英晶体元器件相关产品的研发、生产和销售，公司产品和业务情况在公司官网有较为详尽的介绍，谢谢关注！
9,请问独立董事，您的履职情况如何，是否能真正保护了中小股东利益？,"本人作为公司的独立董事,在任职期间严格按照相关规定，认真行权，依法履职，积极出席公司相关会议，认真履行独立董事应尽的义务和职责，充分地发挥了独立董事的作用，维护了公司的规范化运作及全体股东尤其是公众股东的利益。"
10,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,"公司作为国家重点高新技术企业，行业的引领者，具有丰富的生产经营管理经验，始终站在科技前沿，快速消化吸收国内外行业先进技术，在市场营销、产品研发、科学管理和产品结构的调整升级中，显示了公司可持续发展的核心能力和行业地位。
公司拥有领先的研发能力、居前的规模优势、稳定的客户资源、高端的专业团队、和谐的企业文化，以上这些均保障公司健康稳定发展。"
11,去年监管层要求现金分红，各交易所也发布了现金分红指引，公司怎么看，有这个打算吗？,"您好！2016年，公司虽然扭亏为盈，但因为2014、 2015年度亏损较大，公司2016年度弥补以前年度亏损后可分配利润为-33,046.42万元，不满足《上市公司监管指引第3号——上市公司现金分红》及公司章程等相关对现金分红条件的具体规定。因此，经研究，公司2016年度不派发现金红利。谢谢！"
12,请问公司里是否有专人负责回答全景网投资者关系互动平台里股民的问题？股民的问题是否会传到公司的高层？,投资者您好！公司将及时关注互动平台投资者咨询并及时进行回复，投资者关注问题我们也会及时传达给公司管理层，谢谢！
13,您好，公司能否保证业绩实现扭亏为盈？,"您好！公司2016年度实现归属于母公司净利润1,619.67万元。谢谢！"
14,公司募集资金投向项目进展如何，是否顺利?预计多久可以收回投资?,您好！公司募集资金已经按照公告用途使用完毕。谢谢！
15,"国家要求实行经济节约型政策,公司具体是怎么做的?",公司属于传统制造业，公司将积极采用先进技术改造传统制造方式，淘汰高消耗落后技术、工艺和产品，谢谢！
16,"公司的持续良性发展是投资者投资信心的有力保证,愿公司的发展能为投资者带来良好的回报!请问公司领导对今年有信心吗？",投资者您好！公司管理层将努力经营公司，努力以更好的业绩回报投资者！感谢您对公司的关注！
17,三费占到贵公司的营业收入的44.8%，对降低三费有没有什么措施？,您好！公司进行人员及部门的优化整合，提升人力资源管理水平，降低管理成本；通过进一步优化财务结构，降低财务成本。谢谢！
18,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,投资者您好！公司管理层将努力经营主营业务，努力以更好的业绩回报投资者，谢谢！
19,股价升等于做免费广告，有助于公司产品销量升、业绩升，形成良性循环。建议公司配合将股价做上去。,投资者您好！公司将继续保持国内公司在石英晶体元器件研发、生产、销售业务领域的优势，持续提升公司产品的市场占有率和产品盈利能力，继续维护和拓展主营业务市场，努力以更好的业绩回报投资者，谢谢！
20,今年人工费用是否还会出现阶段性上涨？,您好！公司将进一步梳理公司组织架构，完善内控体系，采取有效的措施，引进专业人才和管理人才，加强人才的培养和储备，完善薪酬考核办法和激励机制，为公司持续发展培养优秀的人才，同时，提高设备自动化程度，优化整合人力资源，节约人力成本。谢谢！
21,公司的负债比率有多少？,您好！2016年末公司资产负债率为30.51%。谢谢！
22,近一年来，贵公司高管考虑增持吗？,投资者您好！目前尚未接到公司高管是否增持的计划，如后续公司高管增持，公司会及时履行信息披露义务。
23,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,投资者您好！公司从改善上市公司资产质量的角度出发，公司后续不排除将会积极寻求新的投资方向，开展与优质资产、优质机构的合作，在符合相关法律法规规定且符合届时资本市场发展情况的前提下，通过多种途径开拓公司新的经营领域和业绩增长点。如后续有具体相关事项，公司也将及时履行信息披露义务。
24,请问公司在财务结构上有什么不足，打算采取哪些举措。,"您好！  随着宏观经济增速的放缓，日趋激烈的市场竞争,  公司将从存量上优化财务结构，提高竞争力。谢谢！"
