,Question,Answer
0,公司管理层怎么看待去年的业绩，满意么？能说下今年有什么目标吗？,2016年宏观经济持续下行，市场竞争日趋激烈，公司合同执行周期变长，完工验收项目减少，加之公司费用增加，公司经营业绩出现亏损。预计2017年度公司营业收入同比会有大幅度增长。经营业绩将扭亏为盈。 
1,公司是否在考虑开拓新的领域？取得初步进展没有？,公司将依据市场变化，积极研发新产品。按照发展战略，适时布局开拓新领域。
2,目前公司享有的国家优惠政策有哪些？,母公司东杰智能和全资子公司东杰软件为高新技术企业，享受企业所得税15%的优惠税率。东杰软件按相关政策，销售其自行开发生产的软件产品，按17%税率征收增值税后，对其增值税实际税负超过3%的部分实行即征即退政策。
3,公司目前的股东结构是怎样的？是否有利于优化公司治理结构和企业长远发展？,公司目前股东结构较为稳定，已搭建良好的公司治理架构，公司管理层将勤勉尽责，为公司长远发展努力奋斗。谢谢！
4,张叔叔好，公司的主营业务和上市时间介绍一下。,公司的主营业务为智能物流成套装备的设计、制造、安装调试与销售。公司上市时间为2015年6月30日在深圳证券交易所挂牌上市。
5,请问公司上一季生产经营状况如何？与去年同期相比如何呢？,公司2017年1季度实现归属于上市公司股东的净利润为1471万元，同比扭亏为盈。
6,公司的负债比率有多少？,公司2016年底资产负债率为40.07%。
7,叔叔好，山西好风光，公司的智能物流装备指的是什么？,公司的智能物流装备包括：智能物流输送系统、智能物流仓储系统、智能立体停车系统。
8,请问公司在财务结构上有什么不足，打算采取哪些举措。,公司目前的财务结构较为合理，将争取实现更大的利润回报广大投资者。
9,请问董事长目前市场上公司主要的竞争对手都有哪些公司？在细分行业公司处于行业处于什么排名？谢谢,公司所处的行业为专用设备制造业，请查看行业分类。没有权威机构进行过相关排名。
10,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,您好，目前新的媒体平台及新的传播途径不断出现，公司积极关注舆情，同时公司通过严格的内控体系和管理制度，严格自律。
11,最近公司财务状况如何？,2017年一季度公司归属于上市公司股东的净利润1471万元，实现扭亏为赢。
12,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,我们对其他公司的经营情况不予评价，请关注相关公司的公告。公司的优势：优秀的核心技术，稳定的专业团队，低成本运营与高水平服务，良好的品牌与客户优势，丰富的项目经验。
13,请站在独立董事的角度 评价一下这家公司。您的专业态度对我很重要！,东杰智能属于高端装备制造业，是国家重点支持的行业。
14,在企业文化方面，公司有什么特色吗？,公司非常注重创新及细节，文化理念：让创造插上自由的翅膀去满足时代的需求。
15,"国家要求实行经济节约型政策,公司具体是怎么做的?",尊敬的投资者，您好！公司一直在响应国家的号召，积极采用先进的工艺和技术，推行绿色制造，通过持续不断的改进降本增效，以保持了公司良好的综合竞争力。谢谢！
16,公司未来两年发展前景如何?,未来两年公司将在“十三五”发展规划的指导下，把握初心、直面问题，以生产经营任务为中心，继续以“科技立企，以高品质、高科技产品服务于社会”为经营发展战略，以“开拓创新强盛中国制造，团结奋斗辉煌民族工业”为使命。突出聚焦主业、创新驱动、价值创造、提质增效各项重点任务，追求主业更精，产品更优，后劲更足，实现公司持续健康发展。
17,如若公司股价在走下坡路的情况下，是否会推出高股价股权激励计划？,公司于2016年已实施了限制性股票股权激励计划。请关注公司相关公告。谢谢！
18,请问公司如何看待市值管理的？近期管理层新出的增发新规对公司以后资本运作有何影响？,公司非常重视公司市值表现，我们将密切关注同行上市公司市值管理经验，努力为股东创造价值。感谢您的关注！
19,我对贵公司是长期投资的，请问预计今年一季度会盈利多少？,2017年1季度未经审计的归属于上市公司股东的净利润为1471万元。
20,"去年有机构投资者去公司做调研吗,都是哪些？我们这些中小投资者在哪里能看到机构投资者的调研情况？",公司非常注重与投资者进行交流，中小投资者可以通过电话、电子邮件、传真等形式了解有关情况，还可以关注公司在指定网站和媒体发布的公告了解公司的情况，公司将严格按照有关规定进行信息披露。去年没有机构投资者来公司调研。
21,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,公司2016年底负债总额4.05亿元，主要是预售款项及应付账款。公司2016年度无银行借款，没有银行借款的利息支出。财务费用中的利息支出，为预提的限制性股票股权激励未达行权条件的回购款项的利息。
22,请问独立董事，您的履职情况如何，是否能真正保护了中小股东利益？,2016年度，本人担任独立董事期间公司共召开8次董事会均全部参加，对提交董事会的议案均认真审议，积极参与讨论，并结合自己的专业经验提出合理化建议，为公司董事会的科学决策发挥了积极作用，履职情况良好，能够起到保护中小投资者利益的作用。
23,请问公司今年营收的增长能超过行业的平均水平吗？,受以前年度订单签订的印象，上年营业收入同比降幅较大。目前，公司在手订单充足，预计本年度营业收入同比会有大幅度增长。
24,近几年的固定资产，技术改造的投资效果如何，是否达到了预期的目标，不考虑市场因素，简单考虑毛利情况是否合理呀。,近几年公司的技术改造的投如较少，固定资产投资主要为募投项目的投入，目前正处于建设期，尚未竣工。公司产品的毛利率与项目的中标价格，施工周期等密切相关，存在波动性。
25,一直指望公司会推出高送转方案，不知道今年是否有希望，什么时候能出预告？,"公司于2017年4月24日召开的第六届董事会第十四次会议、第六届监事会第十次会议审议通过了《关于<2016年度利润分配预案>的议案》，预案具体情况如下：
经天健会计师事务所（特殊普通合伙）审计，山西东杰智能物流装备股份有限公司（以下简称“公司”）2016年度实现归属于上市公司股东的净利润为 -49,667,897.44 元，其中母公司司实现净利润-49,049,367.54元，母公司期末可供股东分配利润为139,208,550.83 元，资本公积金为323,776,524.81元。
考虑公司日常生产经营、未来投资和发展需要大量资金，2016年度公司经营亏损，经审慎研究后，公司拟定2016年度不派发现金红利，不送红股，不以公积金转增股本，留存收益全部用于公司日常生产经营、未来投资和发展。"
26,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,公司将加强内控管理，合规运作，强化项目管理，降低公司各类风险。
27,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,公司目前订单正常，2017年1季度已经实现扭亏为盈，公司将不断加大市场开拓力度，研发新产品，提高产品质量，实现公司可持续稳定发展。
