,Question,Answer
0,公司领导怎么看现在公司的股价，对我们小散有什么忠告？谢谢,您好！影响公司股价因素众多，关于公司的股价，每个投资者的受其投资理念、依据不同而有不同的判断，因此建议各位投资者仔细阅读公司定期报告和公告，以及机构调研报告，综合宏观经济环境和行业状况，做出理性判断。谢谢。
1,公司是否具备长期投资的价值？你是怎么看的？ 如果有机会，你会增持吗？,您好！关于是否有投资价值，每个投资者的受其投资理念、依据不同而有不同的判断，因此建议各位投资者仔细阅读公司定期报告和公告，以及机构调研报告，综合宏观经济环境和行业状况，做出理性判断。谢谢。
2,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,您好！资本市场瞬息万变，公司唯有做好经营，力争为投资者提供长期可持续的投资回报。谢谢！
3,请问公司以后每年会用什么形式回馈股东？,您好！资本市场瞬息万变，公司唯有做好经营，力争为投资者提供长期可持续的投资回报。谢谢！
4,锝[99mTc]亚甲基二膦酸盐（半衰期6h）、18F-SDF（半衰期110min）如何销售？如何帮助医院选择外采而不是自制？,您好!公司对半衰期段的核素药物通过核药房销售，谢谢。 
5,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,您好！公司今后将根据具体实际情况制定激励制度，谢谢。
6,白总，锝[99mTc]亚甲基二膦酸盐（半衰期6h）、18F-SDF（半衰期110min）如何销售？如何帮助医院选择外采而不是自制？谢谢,您好!公司对半衰期段的核素药物通过核药房销售，谢谢。
7,请问16年报中“重点调整了主打产品的经营策略及各系统的考核办法”怎么理解？联系到那屈肝素钙，公司具体采取了什么措施？,您好！具体的经营策略和措施属于公司在市场竞争中的商业秘密，不便回答，望理解。谢谢。 
8,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,您好！公司在建项目年报已披露，请参照年报，谢谢!
9,近几年的固定资产，技术改造的投资效果如何，是否达到了预期的目标，不考虑市场因素，简单考虑毛利情况是否合理？,您好！达到了公司的预期目标。谢谢。
10,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,您好，截至2016年12月31日，公司负债总额11.84亿，其中有息负债6.67亿，利息总额1273万元
11,目前公司享有的国家优惠政策有哪些？,您好！目前公司的部分研发项目及重大技改项目会根据国家政策导向享受一定财政补贴，谢谢！
12,公司每次投资项目的可行性报告是否有详细说明公告？,您好！公司会按照要求对重大项目的可行性报告进行公告，谢谢！
13,白总，请问16年报中“重点调整了主打产品的经营策略及各系统的考核办法”怎么理解？联系到那屈肝素钙，公司具体采取了什么措施？谢谢,您好！具体的经营策略和措施属于公司在市场竞争中的商业秘密，不便回答，望理解。谢谢。
14,公司的负债比率有多少？,您好！2016年期末公司资产负债率为27.7%，谢谢。
15,如若公司股价在走下坡路的情况下，是否会推出高股价股权激励计划？,您好！目前暂无计划，谢谢。
