,Question,Answer
0,李雪琴女士累积质押股份已占其持有公司股份总数的 100.00%，股价再跌就麻烦了。希望公司以后多出利好消消息，广大中小投资者也可分享公司发展红利。请问公司2018年有更大的小目标吗？简单给我们介绍下吧，谢谢！,您好！2018年公司一方面会继续做强主业，巩固和拓展市场份额。此外，公司产品未来也将根据市场及客户的需求向智能变频、永磁同步及清洁能源的方向发展，进一步提高产品的科技含量及附加值。同时，公司也希望借助资本市场的力量，充分发挥上市公司融资平台的功能，整合上下游的优质企业，实现公司跨域式发展。谢谢！
1,叔叔好，股市大跌是必须的，没有任何人有资格左右市场趋势，因为可能会被警察抓进去，对于公司的小型潜水泵，目前的生产情况怎么样？,您好！目前公司核心产品为井用潜水泵，小型潜水泵的生产和销售占比较小。谢谢！
2,请问，大股东以及一致行动人累计质押股份有多少?如今证券市场环境不好，大股东在质押平仓方面有什么应急措施?,您好！公司大股东以及一致行动人累计质押股份占其总持股数的比例较低，目前无质押平仓风险。谢谢！
3,如今台州政府都在重金支持无人机产业发展，请问方总如何看待这个问题，咱们公司能否从中找到一些发展契机？,您好，公司新业务拓展情况请以公司公告为准！谢谢！
4,希望方总能加大力度并购上下游相关企业，资本市场不差钱，差的就是企业家做大做强的决心。,您好！公司一直不排除上下游相关企业并购的可能，但我们希望并购的目的是让双方都更具竞争力，希望通过并购的方式能够进一步发挥双方各自的技术、管理及市场等优势，进一步做大做强，而不是仅仅为了并购概念而并购。谢谢！
5,孔叔叔好，确实没看到过你，请问，公司在2016年上市后，当然，我是从甘肃卫视的节目中知道公司申购和上市的信息，请问，目前公司的募投项目进展情况怎么样,您好！公司年产100万台潜水泵的IPO募投项目于2016年年底投产，目前已全部达产。谢谢！
6,请问公司在2018年打算推出员工持股计划吗？,您好！员工持股计划情况，请以公司公告内容为准，谢谢！
7,董秘您好！公司潜水泵产品有专利吗？出口国外的产品专利权是很重要的吧？,您好！截至2017年12月31日，公司共拥有42项专利。井用潜水泵具有在特定条件下非其他提水器具所能替代的特殊用途，产品需要在水深几十米甚至上百米的环境下工作，因此国际市场对井用潜水泵的产品技术和质量要求都是其他普通水泵所不能比拟的。谢谢！
8,公司在2018年会加大出口的比例吗？,目前，国内井用潜水泵的市场需求量也越来越大，特别是生产生活取水领域，包括市政工程、高档小区建设等都越来越多的开始使用井用潜水泵。随着公司产能的持续增长，产能瓶颈问题得到缓和，公司在保证现有国际市场份额的前提下，也会加大国内市场的开发力度。谢谢！
9,对于现在的股价，公司满意吗？,您好！公司股价的走势受市场多种因素影响。我们将加强企业经营管理，提升投资价值，回报广大股东。谢谢！
10,请方总介绍一下中东方面的业务发展情况！,您好！公司持续拓展中东地区业务。2018年1月公司完成了阿联酋子公司的设立，作为开拓中东地区市场的窗口，能够促进公司与中东国际市场的交流与合作，及时获取中东国际市场的最新信息，提高公司在中东国际市场的企业竞争力，是落实公司国际化经营布局战略的又一重要步骤，对促进公司产品海外出口增长、逐步扩大“东音”品牌的海外知名度，及提升公司国际形象都具有实际意义，符合公司的国际化经营发展战略。谢谢！
11,想去贵公司实地看看，更加了解一下，不知与谁联系，需要些什么手续？,您好，感谢您对公司的关注！您可与公司董事会办公室联系，联系方式详见公司在巨潮资讯网上公告的《2017年年度报告》。
12,想去贵公司实地看看，得些更具体的资料，不知可否？与谁联系，需要些什么手续？,您好，感谢您对公司的关注！您可与公司董事会办公室联系，联系方式详见公司在巨潮资讯网上公告的《2017年年度报告》。
13,方董您好！之前浏览过贵公司的官网，感觉做得大气，内容也完善，挺不错的。但“公示公告”那一栏，一直没有更新，希望改进。,非常感谢您的建议，谢谢！
14,公司2017年业绩有什么亮点？是否完成既定业绩目标呢？,您好！2017年公司营业收入8.28亿元，净利润1.16亿元，实现了营业收入和利润的连续快速增长。谢谢！
15,公司2017年业绩是否达到预计目标？今年是否有分红的打算？,您好！公司2017年度业绩情况及分红计划，请参考公司在巨潮资讯网上披露的《2017年年度报告》、《关于2017年度利润分配预案的公告》，谢谢！
16,公司目前是国内最大的潜水泵制造商和出口商，这个说法是否属实呢？请问公司的潜水泵大部分都出口到哪个国家和地区，有无在国外设厂呢？,您好！根据中国农业机械工业协会排灌机械分会提供的数据，公司井用潜水泵销售规模在国内井用潜水泵生产企业中处于领先地位。公司的潜水泵销往全球60多个国家和地区，目前暂未在国外设立生产基地。谢谢！
17,叔叔好，公司于2016年上市，我也持续关注了公司的上市仪式，目前公司的潜水泵销售情况怎么样,感谢您的持续关注！2017年公司继续加大市场开发力度，扩大公司产能，深化产品结构和市场结构调整，2017年公司营业收入8.28亿元，净利润1.16亿元，实现了营业收入和利润的连续快速增长。
18,公司的潜水泵在国内有哪些技术优势？,"您好！公司掌握了深井水下密封、单级浮动式水力模型设计、井用潜水电机电磁场设计、井用潜水电机屏蔽、全自动数控金属加工等多项核心技术。作为高新技术企业和省级高新技术企业研究开发中心，截至2017年12月31日，公司共拥有42项专利，并成功研发了6""耐腐蚀屏蔽式井用潜水泵、太阳能井用潜水泵、井用水充可重绕式潜水电机、井用水充屏蔽式潜水电机等一批技术含量较高的产品。"
19,听说贵公司产品未来会着力介入舰艇业务，请问是真的吗？,您好，公司新业务拓展情况请以公司公告为准！谢谢！
20,请问公司年内有望发行可转债成功吗？,目前公司已收到证监会出具的关于本次可转债发行的反馈意见，并已提交回复。后续进程请关注公司公告。谢谢！
21,公司如何防范汇率波动的风险？,"1、公司董事会审议通过了《浙江东音泵业股份有限公司外汇套期保值管理制度》，对远期外汇交易业务的操作原则、审批权限、责任部门及责任人、内部操作流程、信息隔离措施及风险处理程序等做出了明确规定，且长期有效。
2、为防止远期售汇交割与实际收款时间差距较远，公司高度重视对出口合同执行的跟踪，避免收款时间与交割时间相差较远的现象。"
22,年报信息我们从那里能得到？,您好！可通过巨潮资讯网（http://www.cninfo.com.cn）查询。
23,公司年产100万台潜水泵建设项目目前处于什么状态？,公司年产100万台潜水泵的IPO募投项目于2016年年底投产，目前已全部达产。谢谢！
24,公司在雄安新区是否设立了销售机构？,您好，公司尚未在雄安新区设立销售机构。谢谢！
