,Question,Answer
0,公司股价为何长期处于低迷状态，而却总是逆盘上涨呢？,公司致力于不断增强市场竞争力、持续盈利能力、抵御风险能力，为股东、员工和社会创造更大价值，成为学习型、创新型、有朝气和追求卓越的世界一流核电上市公司。公司股价受宏观经济、资本市场环境以及二级市场买卖供求等因素综合影响。请广大投资者注意投资风险。
1,请问独立董事，您的履职情况如何，是否能真正保护了中小股东利益？,公司已于4月27日在上交所网站上披露独立董事2016年度履职情况报告，请您关注查阅，谢谢。
2,"请问董事长,关于公司最新项目进展如何？达到预期了吗？",公司在建核电机组安全、质量、进度等方面整体受控，田湾3、4、5、6号以及福清4、5、6号机组均按计划进度推进，三门核电1、2号目前处于调试阶段，三门1号、福清4号两台机组力争今年年底前投运。
3,公司具有技术壁垒、电力销售保证、未来增长空间以及国际化的前景，目前估值不高（24PE、2.8PB），为何得不到市场的青睐和认可呢？,感谢您的关注，公司股价受宏观经济、资本市场环境以及二级市场买卖供求等因素综合影响。请广大投资者注意投资风险。
4,请问公司的分配预案达到承诺的分红比例吗？,根据《公司章程》规定及招股说明书承诺，在符合届时法律法规和监管规定的前提下，公司每年以现金方式分配的利润不少于当年实现的可分配利润的百分之三十；公司2015年实际分配和2016年分配预案的分红比例均达到并超过承诺的分红比例。
5,2016年在没有股份增加的情况下，每股收益增长为何小于收入和利润增长？,公司于2015年6月上市成功，导致2015年计算每股收益的股份基数变动；2016年全年公司股份总数无变化，较2015年计算每股收益的股份基数增大，拉低每股收益增幅。
6,包括增殖税先征后返以及企业所得税三免三减半。请问关于企业所得税三免三减半能具体解释一下吗？,“三免三减半”是指符合条件的企业从取得经营收入的第一年至第三年可免交企业所得税，第四年至第六年减半征收。
7,核电走出去，对公司收益带来怎样的影响？,公司的战略之一是“国际化”，核电走出去将为公司开拓新的发展空间。
8,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,公司内部及成员公司均配备专门的研发部门与人员，并已设立子公司中核（上海）重水堆技术研发中心有限公司、在英国顺利揭牌中英核联合研发与创新中心，2016年度研发支出达到4.3亿元，较上年增加18.49%。公司将充分利用国际国内先进核电技术建设经验，通过独立与合作研发创新形成公司的核心技术优势，增强竞争力。
9,请问中核集团和中核建集团合并传闻属实吗？ 若真合并，会对中核集团和中核电有什么影响？,"公司已于3月20日发布相关公告。
中核集团与中核建集团正在筹划战略重组事宜，重组方案尚未确定，方案确定后尚需获得有关部门批准。
上述事项不涉及公司重大资产重组事项，亦不会对公司的正常生产经营活动构成重大影响。"
10,请问三门项目的进展，何时并网发电，上网电价有没有确定，回报率如何？,三门1号机组力争年底前投入商运。
11,今年公司预计有几台新机组投运？几台新机组开工？,公司今年将力争福清4号机组和三门1号机组投运。新机组将根据国家核准情况开工建设，如有进一步消息，我们将及时公告。
12,请问在目前国内电力需求不旺的情况下，中国核电公司的未来成长预期，及规模化目标如何得以实现？,"目前看，国内经济下行，用电量减少对公司的上网电量有一定的影响。长期看，一方面，虽然目前国内经济下行，用电量增幅下降，但用电量总量仍在增长；另外，在国内经济结构转型的背景下，根据国家核电产业规划，核电作为清洁能源，无论从经济性、安全性和环境保护方面，核电都将在能源结构中的占比逐步提升。
目前，我国核能装机规模和发电量占比相对较低，核能发电比例还远低于美国、法国等发达国家，甚至远低于世界平均水平。未来15年将是我国核电大有作为的重要战略机遇期，也是规模化建设、跨越式发展的黄金期。
"
13,请问公司以后每年会用什么形式回馈股东？,"公司采取现金方式、股票方式、现金和股票相结合的方式或法律法规允许的其他方式进行利润分配，并优先采用现金分红方式进行利润分配；在符合届时法律法规和监管规定的前提下，公司每年以现金方式分配的利润不少于当年实现可分配利润的百分之三十。
"
14,股东大会何时开,公司的年度股东大会将在6月30日之前召开。在会议召开前，公司将提前20天发布会议通知。
15,公司在税收方面有没有相关的优惠政策？具体税率是多少？,感谢您对公司的关注。公司的税收优惠政策主要有两类，包括增殖税先征后返以及企业所得税三免三减半。
16,公司分红何时派发,感谢您对公司的关注。公司将在年度股东大会批准分红方案后2个月内派发。
17,请问2017年全年预计销售目标是多少？实现净利润的目标是多少？,感谢您的关注。2016年取得了良好的业绩：全年机组累计发电870亿千瓦时，实现营业收入300亿元，利润总额92亿元，净利润81亿元，均创历史最高水平。2017年，公司计划全年核能发电量超920亿千瓦时。
18,公司有没有股权激励计划？,感谢您对公司的关注。公司暂无此计划。将根据有关政策进行研究，如推出相关计划和方案将及时公告。
