,Question,Answer
0,请问贵公司17年叶片毛利率大幅下降，是否是自己玻纤给预叶片价格比往年都 要高吗？,风电叶片2017年毛利率较去年同期小幅下降0.75个百分点。
1,贵公司新生产线锂膜良品率平均才50%，请问这种状况下锂膜能实现盈利吗？,公司将做好生产线建设工作，提升良率、降低成本，同时积极开拓客户，力争早日释放产能达成效益。
2,各位中材科技的管理层，公司是否从宏观方面进行过考虑，公司营业收入高，但净资产收益率却很低，2017年只有不到10%，无论是泰山玻纤还是中材叶片，净资产收益率远低于同行业的中国巨石和其子公司中复连众。公司负债率达到60%，奉行的是重资产高负债发展策略，现在全球单边主义越来越盛行及各国跟随美国一起去杠杆的背景下，单边主义减少了需求，去杠杆增加了资金成本，加重了负债，这在我看来风险很大，各位怎么看的？,近几年，公司产业发展情况良好，经营情况持续改善，净资产收益率持续提升。无论风电叶片还是玻璃纤维，其资产经营情况和盈利能力，在行业均属前列。去杠杆是未来大趋势，但基于公司十三五战略发展规划，公司主导产业均有较大发展空间和投资需求，短时期内杠杆率提升有利于产业发展和战略目标实现。同时，公司将会继续探讨和研究多元化融资路径。
3,请问现在3月份已过，贵公司年报未对1-3月净利润预告，现在能确定18年1季度净利润是增长多少？,您好，依据证监会、交易所信披监管的有关规定，关于公司下一期经营业绩情况请您关注公司公告，公司将在规定期限内发布相关公告。谢谢。
4,公司北京、阜宁国际化车间投产后，今年是否还将继续新建产能，否则有计划进行海外建厂。,今年公司将继续推进国际化战略，调研东欧、南美等国际风电市场，探索与境外叶片厂的合作路径；海上风电方面，密切跟踪海上风电技术的发展动态及海上风电市场的需求变化，加强海上风电技术创新研发，积累技术储备，为实现我国海上风电的大规模开发做好充足准备。
5,您好！巴拿马公司索赔的主要原因是公司提供的叶片铝叶尖技术资料所述材质与实际材质不符。请问：事实是这样吗？如果属实，那公司供应链管理或技术管理方面，是否存在问题？公司是否向原材料供应商索赔？,关于“铝叶尖材质与技术文件不符”问题，中材叶片要与铝叶尖供应商核实，进一步调查。基于公司与金风科技的长期战略合作关系，公司将依据事实情况以及相关合同的约定与金风科技进行积极沟通。
6,2018年公司大股东减持数量和时间段,您好。公司上市至今，控股股东未减持公司股票。目前，公司也未收到控股股东减持计划。谢谢。
7,董事长您好！2.4亿平方锂膜全面投产的计划完成时间是2018年几月几号，能给确定的答复吗？我只是说计划完成时间。,计划至2018年上半年，4条生产线全部建成投产。
8,请公司董事谈谈对于公司2017年业绩看法与2018年业绩的展望。,2017年公司的经营业绩取得较大幅度增长，玻璃纤维和风电叶片两大支柱性产业稳定发展，锂电池隔膜等新业务布局也即将成型。对于2018年，公司将继续围绕十三五战略规划，深入推进落实重点工作：1）集中优势资源，做好主导产业项目建设；2）完善创新孵化机制，推动科技成果转化；3）发挥科技创新优势，促进产业转型升级。
9,公司锂膜的战略:“2+N”模式确定下来了其中的“2”是哪两家公司吗？我从一些公开信息中知道其中一家是赣锋锂业是否属实？2.4亿平方锂膜项目计划完成时间是什么时候？,公司锂膜新建产能进展情况良好，良率保持上升态势；客户开拓方面，公司明确了“2+N”市场战略，与重点战略客户深入沟通并建立良好的合作基础，但由于生产线认证周期较长，现阶段公司实现小批量供货，为将来大批量供货打下基础。
10,今年风电利好频传，各大机构都十分看好风电发展，风电龙头金风科技在二级市场上也表现良好。中材叶片第一季度有和大的风电厂商签订叶片合同吗？第一季度叶片的销量如何，是否有转好的趋势？金风科技的索赔是否影响了中材叶片和金风科技的合作？,近年来，公司风电叶片产业致力于推进产品结构升级，重点开发大型号、低风速叶片，进一步降低大型叶片制造成本。在客户拓展、营销方面，全面进入国内前十名整机商供应商体系，同时积极拓展海外客户，实现与国际一流整机商的深度合作，为其批量供货。公司风电叶片产业经营正常，看好未来几年风电市场发展前景，并已做好相应布局。
11,中国建材新材料的未上市资产还有哪些？据我所知中国复材的碳纤维资产中复神鹰尚未上市，有注入中材科技的可能吗？,您好。公司目前未接到实际控制人的相关通知或计划安排。
12,今年以来中材科技的股票跌跌不休，到今天收盘为止，股票下跌近20%，公司对于股票的下跌是否有什么政策？比如低位增持？另外，我对公司的公开信息披露还是有很大的意见！今年股票在一月初就开始连续下跌，基本和金风在巴拿马项目上法庭的时间相一致（1月14号），聪明的资金已经跑掉了，公司早已知道因为叶片的问题，金风可能要赔钱，中材可能会被索赔，而且索赔额巨大，超过17年全年净利润一半！为何不提前公告？,1）公司于2018年2月3日披露2017年度业绩快报，当时尚未收到金风科技的索赔函。公司在收到索赔函后，基于会计处理的谨慎性原则，经与公司年审会计师初步沟通，依据双方签订的《合同书》有关条款和《企业会计准则第13号——或有事项》的相关规定拟计提预计负债。公司作为风电叶片行业领军企业，致力于成为一流的风电装备研发制造和服务提供商，为中国能源转型做出贡献。公司与金风科技是战略合作关系，双方经过多年合作，在产品开发、技术、质量、服务等方面建立了全方位的业务联系，合作关系不断深化，双方会积极解决问题，本着长期合作共赢的方向共同努力。2）股价受宏观经济、市场行情等多种因素影响，请您注意投资风险，理性投资。
13,关于解决同业竞争问题，中建材承诺1-3年内解决，是不是可以理解为一年内中材的泰山玻纤不会和中国巨石重组，但三年内一定会整合？,您好。公司未接到实际控制人、控股股东有关资产业务整合的通知或具体安排。
14,您好！请问·：中国建材和中材股份合并，对公司有何影响？,您好，目前公司控股股东层面H股合并正在进行，对公司的经营业务没有影响。
15,请问2018年企业有哪些项目能提供新的利润增长。,公司近期在玻璃纤维（电子布、超细电子纱、经编织物、新区F06线）、锂电池隔膜（滕州2.4亿平米）、AGM隔板（越南建厂）等产业方向上投资布局，详情请查阅公司相关投资项目公告。
16,公司一季报预报大概在什么时间推出，今年一季度业绩如何？能保持增长吗？能给我们中小投资者一些信心吗？,股神你好。公司一季报将于4月底披露。请您关注。谢谢。
17,请问公司18年一季度业绩大概是多少?,您好。公司将于2018年4月28日披露第一季度报告，请您关注。谢谢。
18,公司拿下GE和西门子后是否今年能进入维斯塔斯供应链,在国际市场方面，公司的叶片产业积极与国际知名风电企业建立合作关系，力争早日进入国际一流客户供应商名单。
19,请问贵公司在国企改革方面的进展情况如何？是否有不利于公司发展的政策？,公司一直坚定贯彻落实深化国有企业改革的路线方针。与泰山玻纤重大资产重组项目，引入战略投资者，并实施员工持股，加速推进公司混合所有制改革。重组以来，公司经营业绩保持稳步提升的态势，支柱产业发展稳健，新业务布局进展良好。
20,据我了解中国巨石在产线自动化上做了很多工作，很多工位实现机器代替人。目前国家大力提倡从数量型增长向质量型增长转变，以及中智能化生产大背景下，公司将有何作为，是否应该跟他们学习一下怎么提高全要素生产率。,公司2015年被国家工信部列为玻纤行业唯一的玻璃纤维智能制造示范工厂，2016年入选国家智能制造应用新模式示范名单。未来，公司将继续秉承“调整、提升、国际化”的发展战略，通过加强技术创新与技术改造、调整产品结构、发展深加工、拉长产业链等措施，致力于打造具有国际竞争力的世界玻纤强企。
21,我国加大军费投入对公司是利好吗？,公司有部分军工业务，发展态势良好。在新时代新形势的背景下，新国家安全关将会进一步规范和带动整体行业健康发展。
22,目前新能源车、无人机等行业领域的发展，将来什么方面将会是最有可能影响锂电池材料行业格局的因素？,"1）技术、规模、品质以及成本将会决定行业未来发展格局；2）公司氢燃料气瓶可用于无人机领域，目前亦有出货，发展和布局氢能源行业，通过氢气瓶切入燃料电池领域
亦是公司今年重点工作之一。"
23,预计今年公司销售玻璃纤维及制品量是多少？,请参见公司2017年年度报告。
24,您好！请问·：巨石玻纤毛利率是46.64%，公司玻纤毛利率是34.88%，为什么差距这么大？还有提升的空间吗？,近几年，泰山玻纤依托新区新产能建设，通过加强技术创新与技术改造、调整产品结构、发展深加工、拉长产业链等措施，产能、收入以及盈利能力均有大幅度提升。公司过去几年毛利率一直处于上升趋势，但未达到最佳状态，主要因为：1）公司尚未有海外产能布局；2）新旧产能更替尚未完成。未来随着新旧产能更替完成，海外产能投建，产品结构不断调整、高端产品占比提升，公司成本和毛利率水平将会进一步优化。
25,请问公司的锂膜做了那么多年也没有赚钱，现在还在亏损，行业也全面过剩，有必要继续再投入上后续产能吗？,1）公司是三大国家级科研院所转制设立，承继了其全部技术积累和成果，也相应从中孵化出风电叶片、高温过滤材料、AGM隔板、CNG气瓶等行业龙头企业，这些产业再其发展过程中，也出现过各种波动和调整，公司通过自身技术积累以及对产业的认知，逐步走出行业低谷，公司核心竞争力不断增强；2）对于新能源行业，公司坚定看好其未来发展，锂电池作为新能源行业的核心环节，其未来发展前景广阔，行业也从导入期进入成长期，逐步走向成熟。公司的湿法同步拉伸技术，微孔接近圆形，孔径均匀性、一致性较好，热收缩性能优越，电池循环中阻力最小，是未来高端锂电池隔膜的发展方向。
26,请问薛董:氮化硅陶瓷材料的工程化生产何时才能投产，为企业提供新的利润增长点。,您好。截至目前，公司未从事氮化硅陶瓷材料业务。谢谢。
27,公司获得过哪些重要的奖励和技术专利吗？近期公司有什么技术突破，将给公司带来什么影响？,公司的产业发展源于三家国家级科研院所50余年的技术积累和持续创新，逐步培育了复合气瓶、风电叶片、锂电池隔膜等新兴产业。2006年至今，公司先后获得省部级以上科技类奖励160项，其中国家技术发明二等奖1项、国家科技进步二等奖1项，获得省部级以上工程设计和咨询类奖励105项。截至2017年末，公司及所属全资子公司、控股公司共拥有有效专利514项，其中发明专利263项，实用新型251项。
28,公司的锂膜业务今年会不会出现新的业绩增长点？,"您好。1#、2#两条年产6,000万平米生产线已全面进入试生产阶段，产品已送主要目标客户试装测试，3#、4#生产线目前正在进行设备安装调试。随着生产线的投产进度，公司已为国内多家主流客户提供多种规格的样品，其中，部分样品物性测试已完成，进入卷绕电池测试阶段，已为批量销售做好准备。谢谢。"
29,2016年公司投资设立新材料产业投资基金，但后续并没有看到有实际的股权投资和并购活动，请问公司在外延式增长方面的计划和规划。公司在推进海外产能布局上从印度切换到东南亚，请问项目进展如何，投资设厂是否有时间表。公司军民融合方面有哪些项目，未来预期如何。公司滕州锂膜项目1#、2#号线目前成品率是多少，未来一年成品率指标预计能达多少。,1）产业基金主要投向为以公司产业链延伸为主导，针对新材料、新能源以及相关行业的优质企业，目前来看，公司产业基金投资运营情况良好，根据信批备忘录等相关监管规定，如产业基金进行对上市公司具有重大影响的投资或资产收购事项时上市公司应该进行披露；2）泰玻海外产能建设问题，公司综合考虑，在海外布局选择东南亚地区，东南亚区域位置，商业环境均较好、能够辐射中东、欧洲、美洲区域，同时政府优惠政策以及成本更具优势。东南亚新建产能是公司今年重点工作之一。3）军民融合是国家级科研院所科技创新产品产业化重要途径之一，公司通过内部孵化平台以及外部产业基金等方式，加快公司相关产品产业化；4）锂膜良率。生产线现阶段还在调试过程中，因客户开拓原因需切换规格，良率有一定波动，但良率一直保持上升的趋势，现阶段平均在50%
30,"中材科技持续一个多月时间里不断有大的机构和庄家大量抛售该公司股票,请问,公司难道有什么重大的利空消息没有对外公布吗?",您好。公司不存在应披露而未披露的信息。谢谢。
31,薛董，您好！请问18年，新投产几个项目在什么时段开始产生效益。,近年公司在玻纤、锂膜等产业方面投资较大，公司将做好新项目建设、试产等工作，争取早日达产达效。
32,在激烈的市场竞争中，公司得以维持行业地位的“护城河”是什么？,您好。您好。公司由三大国家级科研院所转制设立，承继了三大国家级科研院所50余年来技术积累和人才，经过多年产业化发展，形成了风电叶片和玻璃纤维两大支柱性产业，在行业内亦是龙头企业，具备品牌优势。在主导产业平台，建立材料采购集中管理、建立标准化的质量体系建设，将成本考核全面覆盖各制造基地；推进信息化体系建设，提升内部运营效率，与客户需求紧密对接。公司叶片产业零库存管理以及泰山玻纤工信部智能制造试点企业均体现了公司的竞争优势，有利于公司降本增效，提升公司盈利能力，增强核心竞争力。谢谢。 
33,近期不少公司都有高送转，请问公司分红预案什么时候公布，有高转送计划吗？,"公司 2017 年度利润分配方案为：以公司总股本 806,790,185 股为基数，每10 股派发现金红利 3.00 元人民币（含税），每 10 股转增 6 股，不送股。详见公司《2017年度 报告》。上述方案尚需经公司股东大会审议批准。"
34,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,您好。2017年末公司有息负债77亿元；2017年度公司财务费用3.56亿元。
35,目前锂膜产品的良品率状况如何？,您好，公司锂膜生产线目前还在建设、调试过程中。产线在试生产过程中，因客户开拓原因需切换规格，良率有一定波动，但一直保持上升的趋势，现阶段平均在50%。
36,公司会承担金风科技纠纷的6600万美元索赔吗？,该事项尚在调查中。公司与金风科技是战略合作关系，双方经过多年合作，在产品开发、技术、质量、服务等方面建立了全方位的业务联系，合作关系不断深化，双方会积极解决问题，本着长期合作共赢的方向共同努力。
37,中美贸易战对公司出口和经营影响几何？,您好。公司境外销售主要为玻纤及制品、高温过滤材料等产品。截止目前为止，贸易摩擦对公司影响甚微。公司后续将密切关注世界贸易局势的变化，同时加快玻纤产业海外产能布局以降低风险。谢谢。 
38,风电行业景气度今年预计是否维持一个较好的态势呢？,风电行业，经历2016/2017年深度调整，行业已渐趋理性，风电亦完成从量变到质变的阶段，度电成本有效降低是风电产业链追求的目标，随着技术进步以及行业政策的放开，风电行业未来发展前景广阔。对于今年，公司认为行业将会有恢复性增长。
39,公司今年还会发几期公司债券?,公司现有超短期融资券、短期融资券、可续期公司债券等多个债券品种注册额度，将根据资金状况和债市情况择机发行，保证资金安全。
