,Question,Answer
0,感谢各位高管，祝公司蒸蒸日上。,非常感谢您对公司的关注与关心，谢谢！
1,请问公司pvc产品疆内销售价格2016年比内地大约低多少，差一个运费吗？,公司2016年疆内PVC产品出厂价高于疆外，谢谢关注！
2,请问公司产品出疆分别运到华东与华南，原来是800元，目前每吨运费是多少？当地自提价不包括什么费用？,目前公司采取多种运输方式，公路，铁路，公铁联运、铁海联运、行包、集装箱等，有效降低运输费用，根据季节、铁路运力及时调整运输方案，运费均价已控制800元/吨以下。自提价不含任何运输费用。谢谢关注！
3,2017年一季度各类产品成本分别为多少？,一季度尚未结束，数据收集整理中，谢谢关注！
4,懂事涨先生好，公司虽然发展很快，但却免不了在股市上反复圈钱(配股、增发)，请问，公司今后还会不会有这种动机存在？作为投资者，我们很怕啊，不知道您能不能理解我们？,公司将抓好安全生产，不断提升经营业绩，在调整产品结构、完善产业链、开拓PVC下游应用领域、抓紧粘胶纤维、纺纱项目建设等方面继续努力，提升公司价值。如有重大融资事项公司将会及时公告，谢谢关注！
5,除了代销圣雄pvc、代理日本“AS”PVAL系列产品，公司外购的煤、盐、石灰石 、电石等是否也包括在公司第二大收入的贸易中？,贸易中多种经营收入主要包含：销售给公司产业链外的客户和供应商的材料收入、油品、炭材、纺织原料等，谢谢关注！
6,请问按刚才问答中的产品成本，结合2017年一季度产品价格，说明一季度预报是否太保守了？,刚才回答的成本为2016年全年平均生产成本，2017年1季度，主要原材料价格较上年同期有不同程度上升，最高涨幅超过100%，业绩完成情况，具体详见一季度报告，谢谢！
7,贵公司员工一个月能挣多少？,处于同行业较高水平，谢谢！
8,董事长，您好。公司这两年的业绩增长主要来自于供给侧改革和产品价格上涨。您觉得，身处周期行业，公司的这种高增长具有持续性，怎么应对周期低谷？,公司近年来通过并购重组、项目建设等实现了产业链的不断完善，生产成本逐步降低，同时积极拓展下游应用领域，谢谢关注！ 
9,新一届政府倡导全社会节约节俭，不知道贵公司是怎么做的？高管及员工薪酬、福利有影响吗？,公司积极开展节能降耗工作。高管及员工薪酬按照公司的相关制度执行。
10,公司募集资金投向项目进展如何，是否顺利?预计多久可以收回投资?,募集资金项目按计划实施，预计可以按照可研报告投资回收期收回投资，谢谢关注！
11,独立董事对公司的内部控制有怎样的意见呢？,公司内部控制严格规范，符合中国证监会发布的有关上市公司内部控制的规范性文件的要求。
12,请问达73.3亿占公司第二大收入的贸易项目，是由哪些具体收入构成的？,贸易收入主要是：围绕上下游产业链，开展的多种经营业务，谢谢关注！
13,募投项目资金使用情况如何？,详见年度募集资金使用情况报告，谢谢关注！
14,目前公司享有的国家优惠政策有哪些？,"1、新财建【2016】 346号文件规定，对于符合条件的企业给予贷款贴息。按照企业从金融机构实际贷款的2%-4%给予贴息，其中：固定资产贷款、南疆四地州设备融资租赁贷款给予2%贴息，流动资金贷款给予4%贴息。
2、财建【2016】 444号文件规定，对以新疆地产棉花含粘胶纤维为原料生产并运往内地销区的棉纱类产品，给予出疆运输费用补贴。 32支以下棉纱类产品中央和自治区每吨共补贴720元， 32支以上每吨补贴800元。
3、本公司子公司新疆华泰重化工有限责任公司（以下简称“华泰重化工”）根据乌鲁木齐米东区国家税务局发企业所得税优惠项目备案情况说明， 2016年度企业所得税优惠税率为15%。本公司子公司新疆中泰化学阜康能源有限公司（以下简称“阜康能源”）根据阜康市国家
税务局下发税收减免登记备案告知书（阜国税减免备（2013） 33号）情况说明， 2016年度企业所得税优惠税率为15%。减免日期从2013年1月1日至2020年12月31日。
本公司子公司新疆蓝天石油化学物流有限责任公司及孙公司新疆蓝天诚达物流有限公司根据《财政部、海关总署、国家税务总局关于深入实施西部大开发战略有关税收政策问题的通知》（财税（2011） 58号）、《国家税务总局关于深入实施西部大开发战略有关企业所得税问题的公告》（2012年第12号）、《自治区国家税务局关于贯彻落实西部大开发战略有关企业所得税问题的公告》（2012年第2号）， 2016年度企业所得税优惠税率为15%。减免日期从2011年1月1日至2020年12月31日。
本公司子公司新疆富丽达纤维有限公司（以下简称“新疆富丽达”）及新疆富丽达子公司巴州金富特种纱业有限公司（以下简称“金富纱业”）与新疆富丽震纶棉纺有限公司（以下简称“富丽震纶”）根据《关于深入实施西部大开发战略有关税收政策问题的通知》、《产业结构调整指导目录（2005）版》和《税收减免管理办法（试行）》第五条、第十九条有关规定，2011年至2020年度企业所得税减按15%征收。本公司孙公司金富纱业及富丽震纶根据《新疆维吾尔族自治区人民政府关于加快自治区纺织业发展有关财税政策的通知》（新政发【2010】 99号和《中华人民共和国企业所得税法》第二十九条规定，享受西部纺织企业所得税免征地方分享部分的税收优惠政策，综合优惠后所得税税率减按9%征收。金富纱业于2016年04月11日申请的企业所得税减免备案事项，富丽震纶于2016年04月07日申请的企业所得税减免备案事项，依据《国家税务总局关于发布（税收减免管理办法）的公告》（国家税务总局公告【2015】第43号）全文《国务院关于取消非行政许可审批事项的决定》（国发【2015】 27号）附件1的通知内容，符合受理条件，企业所得税享受地方分享的部分减征或免征。 金富纱业减免日期从2016年1月1日至2018年12月31
日，富丽震纶减免日期从2016年1月1日至2019年12月31日。
本公司孙公司阜康市中泰时代水务有限公司根据财税〔2015〕 34号文件小型微利企业所得税优惠政策，其所得减按50%计入应纳税所得额，按20%的税率缴纳企业所得税。减免日期从2015年1月1日至2017年12月31日。本公司子公司新疆中泰融资租赁有限公司根据《财政部国家税务总局关于新疆喀什霍尔果斯两个特殊经济开发区企业所得税优惠政策的通知》（财税【2011】 112号）第一条“自取得第一笔生产经营收入所属纳税年度起，五年内免征企业所得税”。减免日期从2016年4月1日至2020年12月31日 。详见年报公告，谢谢关注！"
15,贵公司网站新闻中心四个月没有更新了，请关注。,公司网站正在更新中。谢谢。
16,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,"公司始终坚持“对企业要忠、对客户要诚、对业务要精、对自己要严”的管理理念，“互利共赢、协同发展”。公司始终以诚信为本，保证商品质量和提升服务品质，提高顾客满意度。公司定期对重要客户进行了走访。通过对客户的走访，并与同行业进行交流与沟通，对公司产品质量状况、客户的质量需求及存在的问题进行深入了解并提出相应对策。 
"
17,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,目前没有，公司将不断完善员工薪酬体系、考核机制，谢谢您的关注！
18,恭贺中泰化学2016年业绩勇创新高，作为投资者十分感谢管理层和全体员工的努力拼搏，当然也敦请董事会要善待长期持股的二级市场股民。请问王董对行业周期现象公司有何应对措施保持利润平稳健康增长？,公司近年来通过并购重组、项目建设等实现了产业链的不断完善，生产成本逐步降低，同时积极拓展下游应用领域，谢谢关注！
19,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么举措吗？,目前没有，谢谢关注！
20,公司是否具备长期投资的价值？你是怎么看的？ 如果有机会，你会增持吗？,我们对公司发展充满信心，请投资者一如既往的支持公司发展，谢谢您的关注！
21,公司的负债比率有多少？,2016年年末公司的资产负债率是64.25%，谢谢关注！
22,作为上市公司，募集资金投资项目实施有风险吗？对经营业绩有影响吗？,目前公司募集资金项目按计划推进，谢谢关注！
23,公司是否在考虑开拓新的领域？取得初步进展没有？,公司目前已形成氯碱和粘胶纺纱板块，如有重大项目公司会及时公告。谢谢！
24,现在行业间的并购都比较频繁，导致上市公司并购的成本提高，你们今年有没有兼并收购计划？,公司将积极借助资本市场做大做强，如有重大事项请您关注公司公告，谢谢关注！
25,那么请问公司主要产品的含税销售价格是多少啊？这个数据在2015年报中是有的。,2016年我公司主要产品含税销售价格分别为：PVC 5749.33元/吨   烧碱2391.46元/吨  粘胶纤维 13525.60元/吨  纱线17017.54元/吨。此项数据，非年报固定披露事项，我公司本年度未于公告，谢谢！
26,公司未来3年发展前景如何?,公司依托完整的煤—电—氯碱—粘胶纤维—纺纱上下游一体化的循环经济产业链条，充分实现资源、能源的就地高效转化，形成公司在资源、成本、技术、规模等方面的核心竞争优势，打造集群化、园区化氯碱、粘胶纱线生产基地。继续夯实氯碱、粘胶纤维及纺纱主业，积极强化产业、金融、资本“三环联动”。谢谢.
27,近年来，频频发生高管在解禁期前放出利好消息，如高分红等炒高股价，解禁期后又出现业绩亏损等其它负面消息，更有甚者，有的公司早在解禁期前一两年就策划好了这些方案。试问一下，你们公司的高管股解禁期是什么时候？,公司高管有持股的均是在二级市场直接买入的，不存在解禁期，遵守高管持股相关规定，谢谢您的关注!
28,请站在独立董事的角度 评价一下这家公司。您的专业态度对我很重要！,公司运作规范，业绩稳定增长。
29,作为一家上市公司，为了更有利于与投资者交流，能不能在公司网站上设置交流互动功能？,谢谢您的建议，公司网站有互动易平台的链接，谢谢！
30,最近公司财务状况如何？,财务状况良好，预计一季度实现归属于上市公司净利润56000万元到66000万元之间，谢谢！
31,贵公司的生产有无污染现象，安全和环保情况是如何做的？,公司在项目设计、建设、改建及扩建中坚持规划高起点、高要求的原则，大力推广资源、能源节约和替代技术，能量梯级利用技术，废物利用和减排技术等先进的节能环保技术，形成了绿色技术支撑体系。谢谢关注！
32,在持续督导中，是否发现需要投资者特别关注的重大事项或风险？,本公司严格按照《重大资产重组管理办法》之规定履行持续督导义务，持续督导相关的意见请查阅相关公告，谢谢！
33,目前主要产品的生产成本是多少,"2016年公司主要产品生产成本：PVC 3,670元/吨，固碱1,061元/吨，粘胶纤维 9,478元/吨，纱线 13,455元/吨，谢谢！"
34,你好，公司今年的盈利能力有所改善了吗？制定了什么目标，实现概率有多大？,公司今年的盈利能力有所改善，预计较2016年有所增加，并且预计较大可能实现，目标值本年年报中已经公告，谢谢！
35,"同行业内有哪些主要竞争对手？面对国内和国际品牌的冲击,公司的品牌战略指导思想是什么?公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?",本行业属于完全市场竞争行业。质量优先，以客户需求为导向，保护股东最大权益，争取股东利益最大化。发挥资源优势，规模化生产，全产业链经营模式，生产成本不断降低，逐步向高性能树脂发展，保证公司持续稳定发展。
36,交流会本来应该是恳谈会，将企业目前的处境，面临的困难，预计的风险和相应应措施清晰告诉股东。,公司目前生产经营情况、核心竞争力等状况请查阅公司2016年度定期报告，谢谢关注！
37,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者的态度？,我们对公司的未来前景很有信心，肩负着广大股民对本公司的信任，公司将抓好安全生产，不断提升经营业绩，在调整产品结构、完善产业链、开拓PVC下游应用领域、抓紧粘胶纤维、纺纱项目建设等方面继续努力，提升公司价值，为广大投资者创造更大的价值，谢谢关注！
38,如若公司股价在走下坡路的情况下，是否会推出高股价股权激励计划？,目前公司没有股权激励计划。谢谢！
39,股价升等于做免费广告，有助于公司产品销量升、业绩升，形成良性循环。建议公司配合将股价做上去。,我们一直在努力多方面提升公司业绩，让投资者获得更大的回报；公司也一直按照上市公司规范运作和信息披露原则及时向广大投资者传递公司信息。公司股票在二级市场上的收益需投资者自行把握，股市有风险，请注意投资风险。谢谢！
40,请问独立董事，您的履职情况如何，是否能真正保护了中小股东利益？,已经尽职尽责，努力使公司规范运作，保护了中小股东利益。
41,近几年的固定资产，技术改造的投资效果如何，是否达到了预期的目标，不考虑市场因素，简单考虑毛利情况是否合理呀。,投资效果均按照可研实现，达到预期目标，毛利情况合理，谢谢关注！
42,近一年来，贵公司高管考虑增持吗？,目前没有，谢谢关注！
43,公司发放股票股利的具体条件： 公司在经营情况良好，并且董事会认为公司股票价格与公司股本规模不匹配、发放股票股利有利于公司全体股东整体利益时，可以在满足上述现金分红的条件下，提出股票分配预案。请问如何判断公司股票价格与公司股本规模不匹配？,公司分红方案将与上市公司的分配利润总额，资金充裕程度，公司可持续发展等状况相匹配。公司2016年现金分红金额占2016年实现净利润的10.48%
44,请问以公司上市首日2006年12月08日收盘价13.52元买入的二级市场股东持有至今，包括历次分红送股，收益翻了几番？,公司按照公司章程和分红规划合理进行了分红。
45,请问准东煤矿总规批复后，公司对南黄草湖煤矿项目推进做了哪些具体工作？申请采矿权还有哪些前期工作要做？,公司南黄草湖煤矿开发坚持“科学利用，深度开发，统筹规划，分步实施”的原则，煤炭的开发利用与自治区煤电煤化工发展规划及优势资源转换战略相结合，根据公司发展实际，把南黄草湖矿区建成本公司重要的原料供应及煤化工生产基地。请关注公司后续进展公告，谢谢关注！
46,请问公司2016年聚氯乙烯树脂、烧碱、粘胶纤维、纱线销售均价是多少？,PVC4954.83元/吨   烧碱2043.98元/吨  粘胶纤维11710.23元/吨  纱线14600.24元/吨   以上单价均为不含税平均价格
47,请问公司与第三大股东鸿达是否有业务往来，金额是多少？,本公司与鸿达公司无业务往来。谢谢！
