,Question,Answer
0,公司每次投资项目的可行性报告是否有详细说明公告？,您好：公司相关投资项目根据中国证监会及深圳证券交易所的相关规定制作并予以披露，谢谢。
1,近几年的固定资产，技术改造的投资效果如何，是否达到了预期的目标，不考虑市场因素，简单考虑毛利情况是否合理？,您好：家电用外观复合材料市场竞争日趋激励，目前产品售价普遍较低，加上近年来原材料市场特别是钢材市场价格波动较大、人工成本逐年提高，公司产品毛利难以有效提升。
2,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,您好：公司目前并未做详细的区域划分。公司客户主要集中在合肥、南京、杭州、苏州、青岛等东部城市。在家电用外观符合材料行业，公司产品的销售量处于国内行业第一，约占行业30%以上，谢谢。
3,公司在经营活动中主要对哪些环节进行质量控制？,您好：公司在生产管理中采用ERP系统进行管理，对生产技术人员进行了大量的培训，有效提升了产品的质量，加强了各部门之间的协作能力。
4,公司是否在考虑开拓新的领域？取得初步进展没有？,您好：公司目前在投资领域进行了大量研究与论证，业进行了初步的尝试，谢谢。
5,公司在2017年有哪些经营目标？,您好：公司争取2017年净利润比去年有较大幅度上升，同时寻求优质的项目进行投资，实现上市公司可持续发展，努力回报投资者。
6,如果公司进行定增，那大股东及高管们会考虑参与、进行增持吗？,您好：公司目前无定增计划，谢谢。
7,请问公司以后每年会用什么形式回馈股东？,您好：公司章程规定公司每年以现金方式分配的利润不少于当年实现的可分配利润的 10%，并且公司制定了2015年-2017年三年回报规划，公司未来分红将按照上述规定予以考虑实施，谢谢。
8,截至4月30日，“国家队”即中金、证金、汇金合计持有贵司多大股份呢？,您好：你可以和公司董秘办联系，电话0512-65073880，我们核实您股东身份后，相关信息可以告知，谢谢。
9,2017年以来，有多少家投资机构到贵司调研呢？,您好：2017年，暂未有机构到公司调研，谢谢。
10,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,您好：目前公司非公开项目“年产10万吨新型复合材料（数字印刷pcm）生产线项目”已完成厂房的建设，谢谢。
11,目前公司享有的国家优惠政策有哪些？,您好：目前，母公司苏州中科创、子公司合肥禾盛及苏州兴禾源都获得了高新技术企业证书，享受所得税15%的优惠，谢谢。
12,公司的前三大客户是哪些公司？,您好：公司核心客户包括LG、三星、博西华、美的、松下、海信、惠而浦、夏普等家用电器厂商。
13,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？,您好：今年依赖，公司产品售价略有上升，谢谢。
14,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,您好：如有相关收购计划，公司会按照规定予以披露，谢谢。
15,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,您好：2016年度公司短期借款2.2亿，借款利率为基准利率，谢谢。
16,贵司目前有哪些销售渠道？是否存在大客户依赖？,您好：制造业客户前5大客户销售额占年度销售总额39.22%，单个客户销售额不超过10%，不存在大客户依赖情况，谢谢。
17,公司2016年度的业务经营情况符合公司预期吗？,您好：公司2016年度经营情况基本符合预期目标，谢谢。
18,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,您好：如未来公司发展到合适阶段，经公司董事会讨论通过后相关激励计划，公司将按照规定进行披露，谢谢。
19,雄安新区的设立，对公司存在哪些机遇？,您好：公司目前以制造业及投资双轮驱动。公司制造业客户主要是国内外知名家电厂商，与雄安新区设立没有直接关系。投资这块公司未来会寻求优质资产进行合作，谢谢。
20,公司所处行业有没有周期性？,公司主营业务家电外观材料没有周期性。
21,公司2017年一季度经营业绩如何？,您好：公司2017年第一季度报告已于2017年4月26日披露，请关注相关公告，谢谢。
22,今年以来，原材料都迎来涨价潮，对公司会有什么影响？,您好：公司销售的家电用外观复合材料是与客户协商定价，原材料价格上涨，公司成本上升，公司产品售价会相应调整，毛利率略有波动，对公司经营业绩不会产生重大影响。
