,Question,Answer
0,请问公司如何看待上市公司的并购和市值管理？,您好，截止目前公司尚未有并购计划。未来公司将根据经营发展需要，通过不限于兼并收购的方式，做大做强公司，努力给广大投资者带来回报。公司管理层将在做好业务管理、内部控制的前提下努力做好公司市值管理工作。在实施相关事项时，公司将依据深交所相关规定，及时履行披露公告义务，请您适时关注！ 
1,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,您好！公司管理层将进一步提高经营管理水平，以更好的业绩回报投资者。根据公司高级管理人员做出的承诺，公司高级管理人员将依法履行各自的相应职责，采取一切必要的合理措施，以协助并促使公司按照公司章程的相关规定，严格执行相应的利润分配政策。
2,环保产业以后会是公司的主要发展方向吗？包括污水处理、烟气处理？,环保产业是膜技术的一个重要应用领域，公司也十分关注该领域的业务发展。公司将大力开拓在特种水处理、高温气体除尘、烟气脱硫等方面的应用，适时发展市政污水处理与回用业务，力求实现公司产品在新兴领域得到推广应用，形成公司业务新的重要增长点。
3,请问公司地热水处理以及海水淡化处理的专利实用效果怎么样？,您好！公司在地热水处理及海水淡化预处理方面进行过相关技术的研发，并形成有公司自身特点的技术成果。公司未来也将积极推动相关技术的实际工程应用，使其为公司业绩增长带来贡献。
4,公司在经营活动中主要对哪些环节进行质量控制？,您好！公司建有ISO9001质量管理体系，依照相关规章制度，对公司在设计、采购、生产、工程等环节实施严格的质量管理要求。
5,个人觉得贵公司在二级市场的市值过于低廉，请问公司对二级市场市值有什么看法，,感谢您的关注！公司管理层将在做好业务管理、内部控制的前提下努力做好公司市值管理工作，谢谢！
6,公司未来是否有员工持股计划？,您好，公司目前尚未制定员工持股计划，未来如果有相关计划实施，将及时履行法定披露公告义务，请您适时关注。 
7,"1、公司国内市场占有率40%，是否无大的拓展空间？
是否有进军国际市场的打算？如有，竞争优势在哪里？一带一路方向，是否有拓展的打算？
2、有些企业中标工程会进行公告，本公司是否有这方面的准备，如有，中标多大的金额才会进行公告？
今年公司中标情况如何？同比去年是增长还是减少？
3、陶瓷膜技术现在在哪些方面有突破的可能？公司现在在向哪些方面进行研发？一旦研发突破，会给公司带来多大的利益？",公司将加大营销力度，提高配套服务质量，利用募投项目扩大产能、提升技术品质，提高企业知名度，巩固并提高在国内陶瓷膜市场的份额。同时，公司将加强海外市场开发力度，加强与国外企业之间的联系与合作，利用海外业务增长推动公司业绩增长。公司将根据深圳证券交易所相关规则要求及时披露与日常生产经营相关的合同。2016年公司通过新领域陶瓷膜应用技术的开发与推广，在膜法制糖、生物乙醇等领域形成了新的增长点，为公司未来收入增长打下基础。
8,如果公司进行定增，那大股东及高管们会考虑参与、进行增持吗？,您好！公司目前尚未有定增计划。未来如有相关计划，以及涉及到大股东、高管参与及增持的，将根据深交所相关信息披露要求予以公告，请适时关注。
9,"请问公司有没有针对家用净水设备的销售模式推广规划，还是暂时未注重此类产品。
海外销售团队成立了吗",公司正在按计划推动家用净水器销售业务。公司成立有国际业务部门，负责相关产品的海外销售推广工作。
