,Question,Answer
0,公司所处的工业用不锈钢管行业的竞争较为激烈，公司如何脱颖而出？,您好，公司已经连续多年在国内同行中处于领先地位，并在研发、人才、工艺、规模等方面具有核心竞争优势。以研发为例，自设立以来，公司坚持走自主创新的道路，逐步形成了以“久立特材研究院”为核心，浙江省博士后科研工作站、院士专家工作站、新材料研究室、焊接技术、制管工艺研究室、技术装备研究室、检测技术研究室、标准信息研究室以及CNAS国家认可检测实验室等组成的企业研发创新平台，覆盖不锈钢及特殊合金管道制造全程的完整的技术研发体系。在自主培养和外部引进各种技术人才的基础上，公司也十分注重加强与国内优秀高等院校、科研单位的技术合作，先后与中国工程物理研究院、中国科学院金属研究所、北京钢铁研究总院、浙江大学、上海交通大学、西安摩尔石油工程实验室等单位建立了良好的科研合作关系。谢谢。
1,公司今年研发投入预计将达到多少，是否有新的研发产品或技术？,2018年，公司将持续在油气、化工、核电、航空航天、精密仪表等领域投入研发，不断研发新的产品和技术。谢谢您的关注。
2,在同行业中，公司与上下游的渠道关系怎样？,现在的竞争，不是一个企业单打独斗的竞争，是整个上下游产业链的竞争，所以公司一直以来重视与上下游的信任、合作共赢 建设，可以说一个强大、互信、共赢的供应链是公司在激烈的市场竞争中胜出的关键。 同行业中，久立也一直以讲诚信、做事公正 而得到行业的认可。
3,公司的产能利用率怎么样？,目前公司已拥有年产10万吨工业用不锈钢管的生产能力，2017年无缝管和焊接管生产量77028吨，产能利用率约77%。谢谢您的关注。
4,公司如何看待建材行业未来的发展？,您好，公司的主要业务是工业用不锈钢管及特种合金的管材、管件的研发、生产、销售，主要为油气（包括LNG）开采、储运、加工以及核电、超超临界火电等能源装备行业提供高性能、耐蚀、耐压、耐温的材料，目前暂未涉及建材行业，谢谢。
5,公司目前面临的最大困难是什么？,一个是公司未来发展中需要的人才招收、培养问题，一个是内部管理提升效率问题。
6,电子商务的发展对公司经营带来哪些影响？,作为工业产品，目前看不出电子商务对公司经营的直接影响。但公司一直在积极探索如何开展工业品的电子商务，也跟相关合作伙伴进行了尝试。目前世界上也还较少有成熟的工业品电商运行模式。
7,公司今年有哪些新品研发计划？,公司每年有几十个品种的新产品研发，基本涉及油气、化工、核电、航空航天、精密仪表等领域。
8,贵公司对待机构与普通投资者在信息披露方面有何异同？,您好，我们会公平的对待每一位投资者，信息披露方面也不会存在差异化对待，同时欢迎广大投资者来我公司参观，谢谢。
9,公司2017年归属于母公司所有者的净利润同比下降20.23%，如何看待这一数据？,2017年，国内宏观经济表现虽稳中向好，公司下游石油化工等行业的投资增速有所上升，公司在手订单增加，但新接订单尚未形成销售，新产品未能充分放量并发挥高附加值的市场优势；同时受人民币升值的不利影响，出口产品效益下降并产生汇兑损失。2017年度公司营业利润、利润总额、归属于上市公司股东的净利润指标分别比上年下降12.1%、23.0%、20.2%。2018年，公司管理层将紧紧抓住国家创新引领发展的机遇、从容应对各类政治和经济风险，继续投入研发，开发高附加值、高技术含量的产品；充分利用品牌、技术和人才的优势，不断开拓市场及加强内控，力争让公司发展上一个新的台阶。谢谢您的关注！
10,请问公司在市场方面的开拓有什么计划？,加大新产品、核电、航空航天、军工等领域的拓展力度，同时利用好上海地区总部的平台，招收更多的高级人才，开拓国内外更高端的市场，为未来发展布局。
11,公司所处的行业今年的国内形势如何？,国内形势随着油气上下游行业复苏、核电回归理性发展等因素，应该说是比较好的。
12,近期中美贸易对公司有何影响？,"目前来看没有直接、显著影响，长期来看，还需要加倍努力继续扩大在美业务（包括进口和出口两端）
"
