,Question,Answer
0,请问一下，公司最大的竞争对手是谁？竞争对手的优势在哪里？乐心医疗的优势在那里？谢谢！,公司竞争对手主要为国内市场的小米手环。公司在产品核心算法和基础研究，产品更新周期等方面具有优势。公司国内业务从无到有，具备较强的内生增长力。谢谢。
1,潘总，公司未来会考虑实行股权激励机制吗？,请以公司公告为准，谢谢。
2,公司是否有投资并购等外延式扩张的打算？在做外延式扩张时对项目的选择标准是什么？,公司主要选择在健康医疗领域内，同公司的主业相关、能发挥公司的优势，实现资源整合，在技术和营销有优势的项目、社区医疗和慢病管理项目。若有相应投资项目，以公告为准。谢谢。
3,希望公司卧薪尝胆，励精图治，奋勇前行，方不虚上市此行。如果没有超越小米的气概，如果没有大的格局，如果没有超前的意识和领先技术，如果没有忧患意识，如果没有雷厉风行的效率和行动力，一切都是零。,感谢您的建议。乐心不是一家没有格局的公司，公司管理层对行业和市场的敏锐感知和把控能力非常强，这可以通过公司转型的历史得以证明。公司管理层一直非常努力，对公司发展前景也有着充分的信心。谢谢。
4,公司的竞争优势？,"1、对行业和技术发展趋势的敏锐感知和应变能力；
公司管理层具备对行业和技术发展趋势敏锐的感知能力，并提前作出预判，引领公司发展方向。同时公司高端的ODM客户为公司带来前沿行业和技术资讯，进一步提升了公司的感知和应变能力。
2、跨界创新能力；
经过多年的探索和积累，公司逐步形成了“硬件算法平台APP运营”的跨界经营组合，确立了跨界经营模式。
3、优秀的产品研发设计能力；
公司的研发团队涵盖工业设计，软硬件产品，基础研究和算法，云端和APP，工程和认证等多个领域，地域遍布中山，广州，深圳，上海、香港和美国，形成了公司特有的产品研发流程和模式。
4、供应链整合优势；
公司通过自行采购绝大多数物料，生产核心零部件，最后完成组装硬件成品的模式，使得公司产品在品质控制、交期响应、成本控制、新材料新工艺应用上得到保障，具有供应链整合优势。
5、人力资源优势。
公司创始人团队年富力强、配合默契等特点，以及公司开放的企业文化吸引了不同行业背景的专业技术和管理人才。"
5,请描述一下公司的未来发展规划？,"公司将继续致力于家庭健康管理事业，在国内大力发展自有品牌，顺应行业发展趋势并结合公司的先发优势，大力提升智能产品的市场份额，在国外保持以ODM模式为主的海外业务稳定增长。
  公司以基于移动互联网的智能硬件为入口，加大智能健康云平台的建设，通过自身或联合第三方专业医疗机构为用户提供个性化增值服务，实施运动瘦身和慢病管理，进而全面实施个人健康管理闭环。
   未来，公司国外业务的营收绝对值会进一步提高，而国内业务则营收占比将不断提高。海外业务将提供持续稳定的现金流，国内业务智能硬件销售本身盈利并同用户运营互相促进，厚积薄发，把握运动瘦身和慢病管理领域的机遇，将公司做强做大。"
6,公司主要有哪些风险因素？,公司主要风险因素有：1、国际市场风险；2、国内市场风险；3、成本与费用增加风险；4、管理风险；5、汇率波动风险。谢谢。
7,独立董事工作职责是什么？,独立董事对公司及全体股东负有诚信与勤勉义务。我们将按照相关法律、法规、规范性文件和《公司章程》的要求，认真履行职责，维护公司整体利益，尤其要关注中小股东的合法权益不受损害。
8,潘董事长，您好！贵公司上市后的总股本才0.59亿，16年的净利0.8亿，而16年的研发费用就达0.59亿，而且全部在当年摊销。研发费用占了净利的七成多，研发费用占净利润的比重也太大了，按上市后的总股本计都达每股1元。现有上市公司中可能难挑第二家，堪比微软苹果。董秘给的回复理由不够充足，不能说服投资者。,公司2016年研发费用5900多万元，占营业收入的7.7%，占比并不是特别高。公司注重产品和研发，研发能力也是公司的核心竞争能力之一。公司在同业内，产品线较长，同时涵盖内外销业务，和软硬件研发，研发投入确实较大。谢谢。
9,请问贵公司如何做好保荐工作？,我们将按照相关的保荐工作规定，认真履行保荐机构义务和职责，做好本职工作。
10,何叔叔好，智能穿戴为什么没有小伙伴关注呢？很尴尬啊！你怎么看,谢谢你关注乐心的可穿戴产品。希望你多使用、多提意见。
11,请问独立董事黄总，公司的内部控制是否健全、完善？,公司制订、完善了内部控制制度，使内部控制体系更加健全和完善，对子公司、关联交易、对外担保、重大投资等方面的内部控制严格、充分、有效，保证了公司经营管理的正常进行，公司的内部控制制度对公司生产经营各个过程、各个环节的控制发挥了较好的作用。
12,请问保荐机构，2016年度公司的募集资金的存放与使用情况如何？,2016年度公司募集资金的存放与使用均按照《募集资金管理制度》等相关规定执行，公司3个募投项目均与银行、保荐机构签订了募集资金三方/四方监管协议。截止2016年12月31日，公司已使用募集资金额为219.81万元。
13,再续前问。1.今年国内产品的营销战略推广进展如何；2.潘副总的海外推广计划进展如何；3.与160的合作是否有实质进展；4.建议公司尽快推出与私人医生制和分级诊疗相关的服务产品以赢得市场先机。国家大医改战略的推进，养老市场的巨大人口红利，公司上市等为公司的发展提供了天时，地利。殷盼公司人和，上下齐心，早日进入千亿市值大公司之列。谢谢！！！,谢谢您的提问。公司今年在国内市场会增加投入，包括线上线下渠道的投入，和品牌推广的投入都会增加。公司在海外市场推广也在积极推进，建立了美国子公司，推动海外高端贴牌业务的发展，并为公司研发以全球视野招揽人才。公司与160的合作是公司众多外部合作项目的一部分，双方在积极推进过程中。感谢您对公司的建议。谢谢。
14,请问公司对手环及可穿戴设备市场发展前景如何看待？,目前，手环等可穿戴设备处于市场调整期。我们认为这是这一行业发展过程中的正常现象。发展方向上，可穿戴设备应该可以采集更多的健康数据，同时，应该为用户解决健康、睡眠、肥胖、慢病等问题提供更多的支持。我们正在往这一方向积极努力。我们看好可穿戴设备特别是可穿戴运动手环（手表）市场。谢谢。
