,Question,Answer
0,请问财务总监，公司在专利及商标权摊销年限是2.5-12.5年，请问该类摊销年限的确定具体是依据于什么？,您好！公司知识产权是根据可用有效期进行分摊的。感谢关注！
1,九阳股份现在转型厨电行业而且以电饭煲为突重点，请问现在情况如何，是否给业绩带来较大提升？,您好！公司11年已经进入电饭煲领域，电饭煲是公司第二个突破十亿的品类，公司非常看好电饭煲市场的发展前景，特别是“铁釜”饭煲的发展前景。
2,近日大盘调整，手里的很多票都绿了，可九阳一直在逆袭，从中可见一斑。2016年业绩，又是稳步增长，可喜可贺！！！希望公司一如既往，不辜负投资者的持有和新老客户的信赖，不知接下来九阳还有哪些新款值得大家期待？希冀性价比能高点，最后，祝P10新款大卖！,"您好！今年的新产品后续会陆续推向市场，感谢您对九阳的关注与支持谢谢！
"
3,电子商务对公司的冲击大吗？今年广告投入有何计划？,您好！公司将电商渠道视为重要的增长点，并配备了专门团队经营电商渠道，小家电产品特别适合在电商渠道的推广。公司将继续坚持传统媒体和新媒体广告投放相结合的原则，扩大品牌的影响力，提升消费者对九阳品牌的美誉度。
4,请问公司现在处于什么发展阶段？成熟期？还是什么时期？,"您好！公司发展阶段处于成熟期。谢谢！
"
5,非常看好九阳的发展前途，家里好多电器都是九阳的，质量很好！相信只有做好产品的公司才能真正留住客户。公司在发展线上销售的时候，可以加大线下投资力度 感觉实体专卖店很少！,"您好！感谢你的建议，谢谢！
"
6,近日市场大跌，而九阳的股价还能逆势坚挺，显示投资者对九阳前景的信心！物美价廉是我使用九阳产品后的感受，希望贵公司再接再厉，继续推出消费者喜爱的产品！中国人口这么多，市场这么大，相信九阳能够再创辉煌！,"您好！感谢您的支持。谢谢！
"
7,王总，九阳一向重视回馈股东，往年都是净利润大比例分红，为什么16年的分红停止了？,"您好！公司非公开发行A股股票申请已获得中国证券监督管理委员会的核准批文，目前相关发行工作正在推进中，批复自核准发行之日起6个月内有效。根据中国证监会《证券发行与承销管理办法》（中国证券监督管理委员会令第95号）第十七条之规定，上市公司发行证券，存在利润分配方案、公积金转增股本方案尚未提交股东大会表决或者虽经股东大会表决通过但未实施的，应当在方案实施后发行。从公司发展和股东利益等因素综合考虑，公司2016年度暂不进行利润分配，不进行送红股、也不进行资本公积金转增。未分配利润累积滚存至下一年度，以满足公司一般营运资金的需求。
"
8,公司的产品成本中原材料占比最大，公司是否有运用相关的生产计划信息系统，精细化成本，优化管理方式？,您好！公司通过运用PTS产品质量追溯、WMS仓储管理等现代化信息系统，开发全新的网络运维支持平台，实现软硬件的智能生态集成。实现了设备管理、远程控制、信息采集、故障诊断、信息推送等功能，实现具有图像功能的实时专家交互帮助、售前与售后服务！感谢关注！
9,"王总,您好! 贵公司在2016年实现营业收入731,582.12万元，较上年同期增长3.62%。分渠道看，线上业务持续快速增长，线下业务则受到渠道优化调整的影响；分产品看， 西式电器类、营养煲类产品持续快速增长，食品加工机类产品有所下滑，公司产品结构构成进一步优化提高。请问贵公司在2017年线上销售与线下销售所占比重会有所调整吗","您好！线上线下销售会根据市场自有的发展运行轨迹进行，公司认为线上和线下两大市场都非常重要。谢谢！
"
10,贵公司推行的体验式营销16年效果如何,您好！2016年，公司进一步推进体验式终端建设，探索“厨房剧场”和体验店发展的O2O模式。谢谢！
11,公司研发人数较去年减少，虽然研发人员数量占比还是有所提升，公司是否精简人力导致？,"您好！员工结构请参阅公司年报，人员变动是公司人力资源的合理调配。
"
12,王董事长：您好！我知道公司为了拓展业务空间，提出了“九阳=豆浆机”向“九阳=品质小家电”的转变，现在豆浆机在九阳的营收利润已经没有以前那么大，但是豆浆机是我们最早认识九阳的开始，希望公司不管以后业务如何变化，都要把豆浆机作为九阳公司最基础的产品，因为你们是豆浆机的龙头，引领了小家电中豆浆机这个细分市场的发展潮流。,您好！感谢你的关注与建议。谢谢！
13,2014年的股权激励计划2017年可实施完成，公司未来股权激励有什么计划，谢谢！,"您好！公司2014年已经实施了覆盖核心精英骨干的股权激励计划，未来还会考虑推出其他员工激励计划！
"
14,请问公司每年在产品研发方面的投资有多少？建议在产品研发上一定要肯多花钱才能研制出更好的产品出来！,"您好！2016年，公司研发投入21,752.79万元，同比增长4.55%。谢谢！"
15,九阳虽然是以豆浆机出名，但近年来公司研发推出的厨房用品类型非常丰富，包括电磁炉，油烟机，净水机等等。互联网之后，物联网概念大火，九阳既然致力于厨房打造，是否在未来会有兴趣甚至先别的企业一部推出推广智能厨房，物联网厨房？比如家电与人的互动等等,"您好！感谢您的关注，公司通过自建三级研发体系，致力于开拓智能化、开发式厨房的技术研发。谢谢！
"
16,公司的产品有对外出口吗，出口所占的比重有多大？建议公司重点在华人集中的区域进行布局，尤其是豆浆机，相信会受到热烈欢迎,您好，非常感谢您的建议。
