,Question,Answer
0,公司去年财务费用和管理费用怎样？同财务费用相比呢？今年有没有折旧？请问管理费用今年会能稳定吗？,"您好！公司去年财务费用19,842,870.54元，较上年增长1,600.46%；管理费用93,610,665.23元，较上年增长40.69%。公司将通过流程优化、预算控制，强化费用管理，提升人均效能，使公司费用率保持在一个较合理水平。谢谢！"
1,去年公司经营遇到的最大困难是什么?今年有望改善吗？,"您好，去年随着国家医疗卫生体制改革的不断推进与深化，针对医药管理体制和运行机制、医疗卫生保障体制、医药监管等方面的政策措施频繁出台，对药品经营环境造成一定的影响。目前公司根据国家的医药行业法规和政策变化及时调整经营策略，扎实做好各项工作，实现公司价值和股东利益最大化。
谢谢"
2,请问公司的分配预案达到承诺的分红比例吗？,您好，已达到，谢谢！
3,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,您好，具体内容请详见公司《2016年年度报告全文》之“第四节 经营情况讨论与分析”，谢谢！
4,公司是否会进军新的细分市场和领域，以及扩大市场占有率？如果会，请问新的领域现在占公司营业收入比重是多少？未来打算提升到多少？多长时间能实现？,您好，公司除了继续提升原有医药制造业务的运营效率外，将在CRO领域积极拓展。谢谢！
5,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,"您好，公司将充分利用现有的资源，挖掘现有销售渠道的潜力，扩大现有营销网络；公司将继续加强营销团队培训，提升学术推广能力、业务技能和专业素养，更好的服务市场、服务客户，提升市场占有率。
谢谢"
6,请问老总， 2016年存货是多少，存货增加的内容是哪些？,"您好，公司2016年末存货7898.74万元，同比下降32.38%。
谢谢"
7,今年如何分红，是否高送转，有计划吗？,"您好，公司2016年度利润分配预案为：以2016年12 月31日总股本268,247,228股为基数，按每10 股派发现金股利人民币1.00 元（含税）；公司2016年度不送红股、也不进行资本公积金转增股本。谢谢！
"
8,公司的负债比率有多少？,您好！截止2016年12月31日，公司资产负债率为11.16%，谢谢！
9,请问标的收购完成后，与公司的协同效应主要体现在哪些方面,上市公司与标的公司合作之后，产生了较好的协同效应，一方面在医药研发方面增强了合作，加快了上市公司医药研发的进度，同时增强了上市公司学术推广的能力，有助于公司未来高端临床项目的开展。 
10,请问公司明年净利润能做到多少？,您好！公司已于2017年4月29日披露《2017年第一季度报告》，根据相关规定，公司已在《2017年第一季度报告》中预告了公司2017年1-6月的经营业绩，敬请关注。谢谢！
11,请问公司2016的非公开发行对公司当年的业绩和股东回报有何影响。,"2016年9月，经中国证券监督管理委员会证监许可〔2016〕988号文核准，公司向特定对象非公开发行人民币普通股（A股）股票64,247,228股，发行价为每股人民币20.61元，募集资金净额为1,297,135,369.08元。公司2016年度实际使用募集资金866,250,000.00元，主要用于置换收购新高峰100%股权所预先投入的资金等贷款，为上市公司节约了相应的财务费用。本次非公开发行后，标的公司增厚了上市公司业绩，公司归属于上市公司股东的扣除非经常性损益的净利润从2015年的52,304,165.33元提高至2016年的117,710,119.83元，公司扣除非经常性损益后加权平均净资产收益率从2015年的6.85%提高到2016年的10.17%。"
12,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,您好，目前公司主要合作的研发机构为国内知名院校、科研院所及其他研究机构。2017年，公司将继续加大研发投入力度，做好仿制药一致性评价和临床批件产品的临床研究工作，积极创造条件加快推进8个新产品的研发进度，丰富产品品种，优化产品结构，提升公司市场竞争力。继续引进或与科研单位合作开发新项目，完善产品梯队化建设，提升公司未来盈利能力。谢谢！
13,公司今年有没有新产品和新业务拓展？,"您好，请参考前面的答复。
谢谢"
14,公司的规模优势具体会体现在哪些方面？公司的品牌如何管理？互相间的市场是否有重合以及竞争关系？如何增强各品牌间的凝聚力？,"您好，公司面对错综复杂的经济形势和艰巨繁重的经营任务，坚定发展信心，着眼长远战略布局，积极培育公司新的利润增长点；公司以医药制造和CRO为核心业务，以效益为中心，强化品牌管理，着力提升运营质量，促进规模与利润的协调发展。
谢谢"
15,今年公司人力成本的大幅度上升？对公司产品价格影响有多大？,您好！随着公司自身业务规模的不断扩大，其人员规模、人员薪酬和福利成本也将持续提高，人力成本大幅的增长将会对公司的盈利水平和经营成果产生较大影响。谢谢！
16,请问公司上一季生产经营状况如何？与去年同期相比如何呢？,"您好！公司已于2017年4月29日披露《2017年第一季度报告》，具体数据敬请关注公司指定信息披露媒体《证券时报》和巨潮资讯网（www.cninfo.com.cn），谢谢！

"
17,去年的市场行情并不好，物价又涨，今年公司在市场开拓方面有什么计划？能否详细谈谈？,您好，2017年，公司将继续优化营销组织机构，完善营销体系建设，提升营销管理水平。密切关注行业政策带来的变动，及时把握市场变化趋势，积极采取应对措施适应市场变化；公司将充分利用现有的资源，挖掘现有销售渠道的潜力，扩大现有营销网络；公司将继续加强营销团队培训，提升学术推广能力、业务技能和专业素养，更好的服务市场、服务客户。谢谢！
18,在企业文化方面，公司有什么特色吗？,"您好，公司通过内外部培训，加强了企业的凝聚力，形成企业自己的企业文化“品德 品格 品质”。
谢谢"
19,请问公司公司的核心竞争力是什么？,"您好，公司的核心竞争力主要体现在：  1、公司拥有完整的制药业务产业链，已初步形成化学原料药和化学制剂一体化的产业链，产品大类包括抗感染、抗病毒、消化系统、心脑血管药物和生化诊断试剂等，产品品种丰富，有利于分散单一产品导致的经营风险。2、公司拥有省级企业技术中心和博士后工作站，并与国内部分著名的研发机构、高校等建立了密切的合作关系，通过自主研发和联合开发等多种手段不断培养和提高公司的技术创新能力和科研水平。此外，较强的科研队伍和强大的专家库支持，一流的综合性研发平台，使公司具备获得有效的资源并持续研究与开发的能力。3、公司建立了完善的制剂产品的市场营销体系，逐步形成了覆盖商业渠道、零售药店、医院临床的网络布局。完善的营销网络有助于公司产品的顺利推广，及时把握市场需求变化，提升公司的持续发展能力。4、公司全资子公司上海新高峰已经形成了可以涵盖新药研发各个主要阶段的CRO全业务链服务能力。谢谢！
"
20,行业有没有周期性？,您好，医药制造行业是典型的弱周期性行业，具有防御性强的特征。CRO行业不存在明显的周期性、区域性和季节性性。 谢谢！
21,请问公司自标的收购以来，运行情况如何，将对公司产生何种的协同效应？,"上海新高峰生物医药有限公司及其下属公司主要从事CRO业务，为医药企业和其他医药研发机构提供全方位的医药研发外包服务。公司收购新高峰100%股权之后，标的公司运行情况良好。2015年、2016年，分别实现经审计的扣除非经常性损益后归属于母公司股东的净利润9,977.43万元、10,783.84万元，完成了业绩承诺。上市公司与标的公司合作之后，产生了较好的协同效应，一方面在医药研发方面增强了合作，加快了上市公司医药研发的进度，同时增强了上市公司学术推广的能力，有助于公司未来高端临床项目的开展。"
22,截至目前，公司的同比销售额有增长吗？,您好！2017年一季度，公司销售额同比增长19.60%。谢谢！
23,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,"您好，我们将从公司治理、财务管理、发展战略、投资者关系等方面着手，使公司价值最大化，从而得到资本市场的广泛认同，回馈广大投资者。谢谢。
"
24,公司今年有没有新产品和新业务拓展？对城镇一体化带来大发展机遇，公司有没有具体的发展计划？,"您好，公司一直在布局新产品的研发，继续优化营销模式，加强市场开拓力度。
谢谢"
25,请介绍一下公司的行业地位？,您好，在医药制造方面，目前公司通过调整产品结构、销售模式转型，保持良好的发展态势。在CRO领域，公司子公司上海新高峰具有较强的竞争优势。谢谢！
26,公司生产经营的季节性如何?哪个季节是旺季?,"您好，医药制造行业是典型的弱周期性行业，具有防御性强的特征。CRO行业不存在明显的周期性、区域性和季节性特征。
谢谢"
27,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,您好，公司近期的发展战略是“公司将以提升人类的健康水平作为使命，以“生产百姓用得起的好药”为己任，以品质、品牌、品格作为公司的基本理念，不断夯实医药制造和医药研发服务两大产业，充分运用本行业多年积累的经验以及上市公司资本平台的影响力，继续向大健康行业的高附加值产业如研发服务、医疗器械等领域进行拓展，构建健康产业生态系统，实现公司产业转型升级的战略目标。”目前公司的主营业务为医药制造和CRO，与发展战略保持一致。谢谢！
