,Question,Answer
0,潘董，请您阐述一下您对公司销售费用中业务费用的理解。,业务费是开展业务发生的费用。谢谢
1,请问您对公司增发资金的实际利用情况，包括历史上增发募集资金的使用情况做何评价，特别是使用效率和募集项目推进滞后的情况。,京新药业历次增发的募集资金使用均履行了公司内部决策程序和信息披露程序，符合公司自身需求和市场情况，促进了公司的业务发展.谢谢
2,请介绍“销售业务费主要用于商务服务、市场推广、市场调研、信息咨询等方面”这些费用与销售费用中单独披露的办公会议费、交通差旅费、业务招待费、广告及业务宣传费在实际内容和用途方向上有什么具体的区别？,每一项费用支出都有具体的科目列支，谢谢！
3,公司估值在同行业中处于一个什么样的水平？有没有估值进一步提升的空间？,公司与其他优秀上市公司比较，仍有差距，有较大改进、提升空间。谢谢
4,公司2017年定向增发11亿元，目前定增资金主要用来购买银行理财产品，使用效率不高，2018年定增资金的利用率能否进一步提升？,定增资金是用于公司研发平台建设项目，18年会加大项目建设推进力度。谢谢！
5,请问：通过一致性评价后的瑞舒伐他汀钙，目前招标和销售情况如何？,目前招标、销售进展顺利。谢谢！
6,请问公司主要药品如今处于何种竞争地位？传统药物的竞争压力大吗？,公司产品均是竞争性产品，公司不断培育竞争产品的竞争力，保持其有效竞争力。谢谢
7,公司在新药研发方面的投入如何？,公司研发投入逐年提升加大，新药研发投入占比不小。谢谢！
8,根据年报以及今日公司股价，张雄持股市值1.4787亿元。其他业绩补偿方的持股市值不详。由此推断仅依靠其持有的公司股份作为补偿标的话，不能完全补偿的概率较高。请问公司有何预案？,答复同前16题。谢谢
9,想问一下公司总经理，目前公司的供应商以及核心专利对于国外厂商的依赖情况是什么样的？是否会面临贸易战波及从而导致原料供应方面的风险？,目前美国业务在公司的业务中占比极小，对国外厂商几无依赖，贸易战对公司业务不会有重大影响。谢谢 
10,最近几年营收和利润都在稳步上升，未来几年是否可以保持这样的势头？,公司管理层有信心保持营收和利润的持续稳步增长。谢谢！
