,Question,Answer
0,公司2017年的净利润都比2016年有所下降了，还要分红？,您好：公司2017年度利润分配预案符合《公司章程》所规定的积极、连续、稳定的利润分配原则；符合公司本年度的实际经营情况和长远发展规划需要。谢谢
1,公司的名字是怎么来的？,您好：谢谢您的关爱。
2,现在真正看电视的人很少了，都是使用手机看，这样导致请问这个趋势对公司是否有影响，公司采取哪些措施应对,您好:现在随着各种媒体渠道的出现和用户选择的多样性，会对广电行业媒体造成冲击，也会造成广电行业客户的流失。公司主要以广电传输设备为主，未开展相关媒体业务。结合目前公司经营情况，公司在2017年年度报告中有针对存在的风险拟定相应的措施。谢谢！
3,周叔叔好，公司的主要产品介绍一下,您好：公司主要业务包括：有线电视网络传输设备、终端接收设备的研发、制造及销售，提供有线电视网络系统软件服务、以及基于有线电视网络系统技术之上的智能化监控工程服务，具体请查阅公司2017年年度报告中有关信息。谢谢
4,公司视频智能化监控工程服务主要应用在哪些行业，未来在市场拓展方面会有哪些突破,您好：目前公司智能监控业务主要是采用广电双向数字网改造成果技术为载体，与各地政府以及部分广电运营商合作实施，可实施智能化小区、社会治安监控、道路监控、移动警务等业务。主要根据各地在智慧城市、雪亮工程、应急广播系统等方面开展市场拓展。谢谢！
5,公司是技术密集型公司，所处行业又是日新月异，保持产品技术优势非常关键。请问，2018年公司的研发预算是多少？在研发工作上将如何做计划？,您好：2018年公司将继续致力于适合广电行业发展趋势和满足客户需求的技术研发和产品的研发创新，加强光纤到户（FTTH）、接入宽带设备、光纤入户多媒体一体化终端、同轴高速双向数据传输设备等产品的研发投入；加大适用于物联网、智慧城市、智慧家庭等业务领域产品的技术研发，形成广电、安防等领域多组态可融合的系列化、集成化产品，并提供整体技术设计方案，提升公司的核心竞争力。谢谢
6,请问FTTH数据终端产品是否已实现批量生产，除了各地广电运营商外还能用到哪些领域？,您好：目前主要针对是广电运营商，也可以供家庭互联用。谢谢！
7,公司的芯片、半导体类元器件，是向哪些公司采购的呢？,您好：您提的类别很多呀，供应商也有很多，谢谢！
8,近期政府有没有对公司发展有利的政策？,您好：有关行业未来发展趋势等请查阅公司2017年年度报告中有关信息，谢谢！
9,你好，公司目前的相关业务情况怎么样,您好：目前公司业务正常。2018年第一季度情况可查阅公司已披露的2018年第一季度报告，谢谢！
10,公司主要产品有哪些？最好看哪类产品的未来前景,您好：公司产品的相关信息、经营情况、技术研发等信息请查阅公司2017年度报告中“业务概要”“经营讨论与分析”以及相关信息。具体详细产品性能您可以在公司网站上查询（www.yitong-group.com）。结合目前广电运营商网络实施和使用的网络建设方案，产品方向主要在光网络设备、NGB下一代广播网设备以及数据通讯类产品。谢谢！
11,公司一季度各类设备的总体市场销售量减少，请问接下来公司是否会采取一些办法提高销量,您好:感谢您的关注，公司会积极加大市场拓展、投入技术研发、降本增效、提高内部管理以及提升公司综合服务能力，争取取得更多的市场份额。
12,随着市场行情的变化，公司2018年将对产品结构进行怎样的调整呢？,您好：公司主要结合广电运营商现有网络建设和围绕行业发展趋势、运营商NGB网络建设及未来新业务需求等进行，例如光纤到户、宽带网络、系统集成等。谢谢！
