,Question,Answer
0,公司目前大股东有没有大规模减持和增持计划？当前的股价是否体现了公司的真实价值，如没有，是否有股价增持等提振市场人气的计划？,大股东目前没有减持计划。
1,您好，近日公司投资小微企业，科佛科技，主要优补公司哪些领域的发展，对公司未来的业绩会有帮助吗？谢谢,科佛科技主要从事信息技术在合约当中的应用，团队创新能力强，可能构成公司业务的有益补充。
2,公司有没有发展新业务，最新的利润增长点在哪里？,公司在持续研发新技术，智能制造和智慧物流的市场潜力很大，市场空间很大。
3,董事长先生，你好！公司要成为行业龙头就必须注意护城河的建设，请问公司在自主知识产权方面取得那些成绩？目前取得多少项发明专利？,公司有150多项专利和软件著作权，积累了丰富的方案技术和经验。经过18年的沉淀，核心团队、有丰富经验和技术的工程师队伍形成了较高的壁垒。
4,如何应对烟草行业、锂电池行业需求下滑风险？,公司业务是智慧物流系统和智能制造系统综合解决方案，针对的该领域的所有大型优质客户。智慧物流和智能制造市场空间还很大，尚处于发展期，未来空间巨大。
5,有哪些物流企业是公司的重点客户？预期接下来2、3年会否加大业务合作的范围？,"谢谢！您可能没有阅读我们公司的公告！
我们客户主要是工业制造企业，比如宁德时代、比亚迪、湖北中烟公司等制造企业。"
6,请问公司在工业互联网与智能制造领域布局了业务？目前的市场竞争力如何？,公司在智慧物流系统和智能制造系统中已经集成了工业和物流数据采集与分析业务，并已经进入了智能制造领域，公司是较早集成这些技术的公司，具有一定的先发优势。
7,作为独立董事，您觉得今天国际的财务体系与内控治理是否完善？,我认为，公司的内控总体上是健全并有效的，相关制度及规定在所有重大方面能保持有效的财务报告的内部控制。谢谢
8,在供应链金融上是否有业务布局？,没有，谢谢！
9,能否透露下公司的主要合作企业？公司前三客户是哪几家？,"前三客户包括烟草客户和动力锂电客户，如宁德时代新能源（CATL）等。
谢谢！"
10,预计第一季度公司经营业绩情况如何？,1季度预计同比增长100%以上。
11,国家号召大力发展工业互联网方面，公司在这一领域有何发展计划？,"公司于几年前已经在智慧物流和智能制造整体解决方案中，已集成应用BI技术、SCADA等技术，对工业物流和制造环节进行数据的采集、分析和应用，给客户的生产经营管理提供有力的支撑。
公司将在工业数据及工业物流数据领域继续加大技术研发力度，持续给客户提供数据服务。"
12,公司的业务有多大比例是依赖进口？进口渠道稳定吗？如果中美爆发贸易战，对今天国际的影响有多大？谢谢！,您好！公司现有客户100%在国内，有一小部分设备从欧洲进口，中美贸易战对公司业务没有影响，谢谢！
13,现在你们认为股价低估了吗？,谢谢！请参见前述回复。
14,您好，公司是智能制造的领军企业，但公司名容易误让投资者理解成做快递的物流；建议公司证券更名与智能制造相关的名称，工匠精神做到专业极致，谢谢。,"感谢您的建议！
公司的主要业务为智慧物流技术和智能制造技术，主要提供整体解决方案、软件技术、工业数据采集和运用技术。有许多投资者建议改为今天智能、今天数据、今天物联、今天链智。公司名是个代号，我们谨慎考虑您的建议。"
15,您好，公司有无在雄安新区布局发展的计划？,您好！如有合适的机会，公司将积极响应。谢谢！
16,公司是做什么业务的？贵公司业务有何特点？,您好！公司是一家专业的智慧物流和智能制造系统综合解决方案提供商，为生产制造、流通配送企业提供自动化生产线及物流系统的规划设计、系统集成、软件开发、设备定制、电控系统开发、现场安装调试、客户培训和售后服务等一体化业务，使客户实现产品生产、物料出入库、存储、搬运输送、分拣与拣选、配送等过程的自动化、信息化和智能化，提高效率、降低成本、提升管理水平，为企业实现智慧物流和智能制造打下坚实的基础。谢谢！
17,现在股价低估吗？,"谢谢关注公司！
公司主要从事智慧物流技术和智能制造技术，为大型企业提供整体的物流系统和制造系统解决方案。随着人力成本、土地成本的提高，企业对智能化的需求的提升，公司所在行业市场广阔。公司抓住市场机会，2017年实现业绩超过70%的增长，2018年1季度预计业绩超过100%的增长，公司内在价值逐步提高。"
18,一是机器人业务开展情况和订单如何，二是建议加强市值管理，吸引机构主力长线资金,"谢谢！
公司努力把业务做好，同时积极与市场沟通，向市场讲清楚公司的业务、技术、业绩，形成良好的互动。
公司机器人业务发展良好。"
