,Question,Answer
0,公司在研发上的投入如何？,您好。公司将通过工序改进、产品研发、配方研制等举措提升鸡肉产品的深加工能力以实现产品的多品种、系列化和高附加值。感谢您的关注。
1,贵公司为何第一季度净利暴增？,您好。公司第一季度利润上涨，主要原因系相比去年同期鸡肉产品价格回升所致。感谢您的关注。
2,公司如何融合工业和民用电气设备共同发展？,您好！公司主营业务为父母代肉种鸡养殖、雏鸡孵化、饲料生产、商品代肉鸡养殖与屠宰、鸡肉产品加工、销售。公司主要产品是商品代肉鸡及鸡肉产品。感谢您的关注！
3,白羽鸡年初的价格走势？,2018年年初父母代种鸡及商品毛鸡价格稳中有升，商品代雏鸡在春节前有所上升，但春节后有所回落。
4,公司如何保证鸡肉食品安全？,您好。作为关系公众健康的大众消费类食品生产企业，公司向来重视产品质量标准的建立与质量管理体系的规范。公司对饲料生产、肉鸡养殖与屠宰、鸡肉加工实施全过程的食品安全控制，通过标准化管理与流程化作业将生物安全、药残控制和加工过程卫生控制有机整合，最终达到食品安全可追溯。谢谢！
5,公司有没有在期货市场上对饲料成本做对冲？,公司不做期货，没有在期货市场对饲料成本做对冲。但公司会根据原料价格的变动，会增加或减少原料的库存，或在原料上涨的情况下，会与供应商签订远期的原料采购合同，锁锁定原料价格。谢谢您的关注。
6,你们有没有养生蛋的鸡？,公司主营产品为商品代肉鸡及鸡肉产品，谢谢关注。
7,公司与同业公司相比竞争优势在哪里？,经过十多年白羽肉鸡养殖及屠宰加工行业的专注经营，公司通过产业链纵向高度整合，实现了种鸡养殖到鸡肉产品加工销售完整产业链的全环节覆盖且通过“公司+基地+农场”的饲养模式，充分发挥一体化自繁、自养、自宰经营模式的竞争优势。
8,公司有何产品优势？,经过十多年白羽肉鸡养殖及屠宰加工行业的专注经营，公司通过产业链纵向高度整合，实现了种鸡养殖到鸡肉产品加工销售完整产业链的全环节覆盖且通过“公司+基地+农场”的饲养模式，充分发挥一体化自繁、自养、自宰经营模式的竞争优势。
9,中国限制进口美国豆粕对公司成本的影响？,您好！公司没有进口美国豆粕。豆粕在公司成本中占比约为13%，若豆粕类产品有所上涨，公司会根据饲料原料价格来调整饲料配方，用其他高蛋白的原料来替代部分豆粕，进而控制公司的生产成本。感谢您的关注！
10,公司的定位和发展战略？,"公司秉承“以人为本，诚信务实，创新进取，自强不息”的经营理念，以“做一流企业，创世界品牌”为经营目标，践行“发展绿色产业、供应健康食品”的企业使命，不断提高技术水平和管理水平、完善企业现有“公司+基地+农场”的饲养模式，充分发挥一体化自繁、自养、自宰经营模式的竞争优势，稳步扩大企业生产经营规模，创造良好的经济效益和社会效益，使股东获得满意的投资回报，为国家畜牧业发展做出贡献。
公司将充分利用一体化经营产业链优势、“公司+基地+农场”合作养殖模式优势、产业集群优势、技术优势，充分把握当前产业、税收等有利政策环境，扩大经营规模，适时将产业链向上下游延伸。通过发展直接面向终端领域的熟食品、调理品等品种，开设鸡肉系列产品的专卖店、进驻商场、超市专柜，实现向终端消费领域的延伸，提升品牌知名度，打造终端品牌型企业。
"
