,Question,Answer
0,请吴总介绍一下 公司的中成药产品 在北美市场和 欧洲市场的 发展情况和发展趋势？谢谢。,公司在北美和欧洲市场已制订有完整的开拓计划，连花清瘟胶囊目前已率先在美国开展二期临床注册，欧洲络病分会已注册获批。随着相关工作的进一步推进，预计未来公司将会有一批产品在欧美市场进行销售。谢谢
1,公司是否会进军新的细分市场和领域，以及扩大市场占有率？如果会，请问新的领域现在占公司营业收入比重是多少？未来打算提升到多少？多长时间能实现？,公司在今后的发展中，仍将继续整合公司20多年发展积累的络病学术、科技创新、现代生产、营销网络、国际接轨、资本平台等优势资源，坚持以专利中药的生产销售为主营业务，化生药、大健康产业同时拓展的战略发展方向，继续贯彻“五运隆兴、市场龙头、科技驱动、跨越发展”的指导思想，继续遵循“为员工谋发展、对社会做贡献、为股东创价值”的经营理念，从公司不同业务板块、业务形态、业务链条的相互借势、相互促进中整合创新，完成企业由未来五年至未来二十年的产业布局，为公司未来的持续稳定增长奠定坚实基础，实现跨越发展。
2,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?",不同的公司，生产的产品和产品功效不同，所面对的患者市场不同，所采取的品牌策略也不同。在竞争面前，以岭药业始终专注于目标消费者和客户，专注在目标市场研究，满足自己客户需求，包括消费者和专业医生，为消费者获得最好的疗效，为专业医生带来最好的选择。
3,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,不同的公司，生产的产品和产品功效不同，所面对的患者市场不同，所采取的品牌策略也不同。在竞争面前，以岭药业始终专注于目标消费者和客户，专注在目标市场研究，满足自己客户需求，包括消费者和专业医生，为消费者获得最好的疗效，为专业医生带来最好的选择。截止2016年12月31日，公司已累计获得专利320项，其中发明专利230项，实用新型专利1项，外观设计专利89项。
4,公司募集资金投向项目进展如何，是否顺利?预计多久可以收回投资?,IPO的4个募集资金投资项目的建设内容大都在2015年年末建设完成，并已按照相关要求进行了公告。本次非公开发行项目正在按计划推进中。
5,今年人工费用是否还会出现阶段性上涨？,目前人工费用未见明显上涨，但不排除劳动力成本因外部环境等的变化而变化。
6,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,投资者，您好！感谢您对公司的关注。目前公司有明确的发展规划和完善的管理体系，处于快速发展的关键时期，新客户开发和老客户的维护已成为常态化经营管理活动，公司有着完善的服务体系。“一线围着客户转，二线围着一线转，全员围着市场转”是公司一直以来的客户服务宗旨，随着公司品牌知名度的不断提升，公司将进一步完善客户管理体系，给新老客户提供更高价值的服务和产品。
7,吴总您好，公司新一年的发展目标和预期收益，能请您介绍一下吗？,投资者，您好！感谢您对公司的关注。新的一年发展目标已在定期报告中详细披露，公司会在每期定期报告披露时对下一报告期的业绩进行预计披露，请您届时关注。谢谢！
8,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",投资者，您好！公司二十年来始终坚持以科技创新提升公司竞争力，面对激烈的市场竞争，公司在科研、生产、营销等环节建立了完善的运营体系，制定了符合公司特点的发展规划，目前正在有序推进，随着规划的逐步实施，公司发展将进入快速通道。感谢您对公司的关注。
9,请问吴总， 如果中药材的价格波动， 会对 公司的利润产生怎样的影响？另外，原材料的市场波动，对公司产品的品质也是否会有所干扰？,针对原材料价格波动风险，公司也采取了一定措施，对用量大、单价高的原材料，公司已建立了自己的养殖基地，包括扬州水蛭养殖基地、邯郸涉县连翘金银花养殖基地、衡水故城土元养殖基地，一是可以保证原材料的品质，另外在一定程度上可以平抑市场价格，消除原材料价格上涨对成本的冲击。
10,去年的市场行情并不好，物价又涨，今年公司在市场开拓方面有什么计划？能否详细谈谈？,您可以关注公司2016年年度报告中披露的2017年度经营计划，有详细阐述。谢谢
11,做为高管你对公司的股价有何看法？股价的上扬能体现上市公司的潜质和气魄！希望管理层关心一下自己公司的股价！以提振二级市场的股东对公司的信心！！！谢谢,"公司的股价与公司的价值存在一定的内在关系，二级市场股价不仅取决于公司经营业绩和未来发展前景，还受到国家宏观经济政策、国际国内经济以及二级市场整体走势、市场买卖力量对比、投资者心理因素等诸多因素的影响。我们对公司未来的发展很有信心。
"
12,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,投资者，您好！感谢您对公司的关注。目前公司有明确的发展规划和完善的管理体系，处于快速发展的关键时期，新客户开发已成为常态化经营管理活动，公司有着完善的服务体系。“一线围着客户转，二线围着一线转，全员围着市场转”是公司一直以来的市场管理宗旨，随着公司品牌知名度的不断提升，公司将进一步完善客户管理体系，给客户提供更高价值的服务和产品。
13,今年如何分红，是否高送转，有计划吗？,2016年度公司拟实施如下利润分配预案：以2016年度利润分配方案未来实施时股权登记日的股本总额为基数，向公司全体股东每10股派发现金股利1.00元（含税）（具体分配现金股利总额将以公司未来实施2016年度利润分配方案时股权登记日的总股本为基数计算的实际数据为准）。2016年度不以资本公积金转增股本。
14,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,公司有专门的部门和人员负责网络舆情的监控，并制订有相关的应急措施。谢谢
15,2016年我过心脑血管中成药领域内，以岭的市占率是多少？谢谢,投资者，您好！公司定期报告中已披露了公司在行业中的地位，请您关注参考。谢谢！
16,在企业文化方面，公司有什么特色吗？,"以岭药业二十年的发展历程中形成了企业、员工、社会和谐发展的独特的创新型企业文化，并以之为基础构建起创新、和谐、团结、奋进的以岭文化体系。依靠这种文化指导下制定科学的发展战略，同时凝聚起一大批为共同理想而努力的精英人才，是以岭药业发展取得骄人业绩的核心动力。以岭文化是企业经营发展的核心竞争力与推动社会发展与进步的核心价值理念结合的统一体，公司时刻践行着“继承创新、造福人类”的企业宗旨，“为员工谋发展、对社会做贡献、为股东创价值”的企业经营理念，向着“科技健康明天”的目标不断迈进。“继承创新”是公司经营发展的核心动力。以科技为先导，以市场为龙头，坚持以络病理论创新带动中医药产业化，公司董事长吴以岭院士带领他的科研团队，在继承中华民族传统医药文化精髓的基础上，结合现代医学发展创新发展中医络病理论，先后完成了《络病学》、《脉络论》等对中医理论发展有重要意义的学术专著，掀起了络病理论研究的第四个里程碑，《络病学》被改编为新世纪全国高等中医药院校创新教材，创建了中医药管理局重点学科——络病学科。创新的络病理论研究为指导心脑血管病、肿瘤、糖尿病等性疾病治疗具有重大临床指导意义。在络病理论指导下研发了通心络胶囊、参松养心胶囊、芪苈强心胶囊、连花清瘟胶囊、津力达颗粒、养正消积胶囊等系列药物，并使之产业化，治感冒抗流感的连花清瘟胶囊在SARS、禽流感、甲流疫情发生时发挥了积极作用，“连花清瘟有效防治甲型H1N1流感”新闻入选2009年国际十大科技新闻。在创新文化的指导下以岭药业先后承担和完成了国家级课题30余项，其中国家973项目2项，荣获国家科技大奖5项，其中国家科技进步二等奖4项，国家技术发明二等奖1项。“造福人类”、“为员工谋发展,对社会做贡献,为股东创价值”，以科技创新为人类带来健康的明天，将与社会、员工、股东相一致的价值理念形成了强大的凝聚力与前进力。二十年来，公司坚持生产质量安全、疗效可靠的药品，推动中医药事业发展、积极开展社会公益事业等等。他们为让中医络病理论使更多的患者受益，支持召开国际络病学大会，推动全国30多所中医药院校开设络病学课程，并创编中华通络操在广大社区推广。他们在维护股东利益的前提下，尽企业最大可能开展社会公益事业，汶川地震、南方雪灾等等，都会伸出援助之手。公司坚持“以人为本”，为员工搭建了实现个人社会价值的人生舞台，这里不仅为个人职业生涯提供宽阔的发展空间，并真正实现着为人类谋福祉的人生价值。正如公司《以岭之歌》中唱到的那样“造福人类是我们共同的心声，以岭的发展铸就我们辉煌的人生” 。
2012年7月13日，河北省委宣传部、河北省政治思想工作研究会组织的企业文化建设示范单位评选结果揭晓，以岭药业获评“河北省企业文化建设示范单位”。
"
17,请问公司上一季生产经营状况如何？与去年同期相比如何呢？,公司已经发布了2017年一季度业绩预告，一季度净利润预计同比增加15-30%
18,请问公司在财务结构上有什么不足，打算采取哪些举措。,财务结构没有最优的只有在某一阶段相对比较适合公司的。公司一贯坚持规范安全成本效益的财务管理原则，并会持续地优化公司资源配置，争取效益最大化。
19,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,不同的公司，生产的产品和产品功效不同，所面对的患者市场不同，所采取的品牌策略也不同。在竞争面前，以岭药业始终专注于目标消费者和客户，专注在目标市场研究，满足自己客户需求，包括消费者和专业医生，为消费者获得最好的疗效，为专业医生带来最好的选择
20,"国家要求实行经济节约型政策,公司具体是怎么做的?",公司会根据经营过程的实际情况，不断地开展挖潜降耗活动，提高盈利水平。
21,吴总你好，贵司定下的2017年的业绩是多少？谢谢,公司会在每期定期报告披露时对下一报告期的业绩作出预计，请您及时关注。谢谢
22,"公司的持续良性发展是投资者投资信心的有力保证,愿公司的发展能为投资者带来良好的回报!请问公司领导对今年有信心吗？",公司在今后的发展中，仍将继续整合公司20多年发展积累的络病学术、科技创新、现代生产、营销网络、国际接轨、资本平台等优势资源，坚持以专利中药的生产销售为主营业务，化生药、大健康产业同时拓展的战略发展方向，继续贯彻“五运隆兴、市场龙头、科技驱动、跨越发展”的指导思想，继续遵循“为员工谋发展、对社会做贡献、为股东创价值”的经营理念，从公司不同业务板块、业务形态、业务链条的相互借势、相互促进中整合创新，完成企业由未来五年至未来二十年的产业布局，为公司未来的持续稳定增长奠定坚实基础，实现跨越发展。
23,公司今年有没有新产品和新业务拓展？对城镇一体化带来大发展机遇，公司有没有具体的发展计划？,投资者，您好！公司新产品及业务在按计划推进，治疗前列腺增生的新产品夏荔芪胶囊正在全面推向市场，市场反馈良好！对于城乡市场，公司最近几年一直在深入规划和发展，目前建立了系统的学术推广体系，未来公司将进一步加大对城镇市场的投入力度，建立公司品牌和学术品牌，紧紧抓住国家政策，促进公司快速发展。谢谢！
24,公司的规模优势具体会体现在哪些方面？公司的品牌如何管理？互相间的市场是否有重合以及竞争关系？如何增强各品牌间的凝聚力？,公司以络病理论创新带动中医药产业化，运用现代高新技术研发科技中药、西药和生物药，研发国家专利新药十余个，覆盖心脑血管疾病、感冒呼吸系统疾病、肿瘤、糖尿病等重大疾病领域，产品布局完整，梯队合理，为公司的未来发展提供了基石。
25,"这几年社会道德严重滑坡,不讲诚信，为了个人利益突破道德底线的行为屡屡发生，你作为企业高管如何看待？",质量是企业发展的根本，诚信是企业生存的动力！作为上市公司，我们一定会诚信做事，将企业做大做强！
26,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,市值管理的基础是公司治理和公司的健康发展。良好的公司治理环境，是公司持续健康发展的保障。我们尽力创造更多的价值，以回报广大投资人。只有公司价值的增加才能真正提升公司市值。我们会关注股价的波动，但不会也不能干预股价的走势。今后会继续保持和投资人的良好互动，加强投资者关系管理。 
27,"去年有机构投资者去公司做调研吗,都是哪些？我们这些中小投资者在哪里能看到机构投资者的调研情况？",公司在投资者调研活动两日内均会在深交所网站将活动纪要及时披露，在年报中也披露了报告期内投资者活动的查询索引，您可以关注下。谢谢
28,希望公司在适当的时侯推出激励计划来聚集和挽留人才，保持公司的竞争力！,投资者，您好！感谢您提出的宝贵建议，公司将根据发展情况不断完善具体激励计划。谢谢！
29,一直指望公司会推出高送转方案，不知道今年是否有希望，什么时候能出预告？,公司2016年度利润分配预案已经披露：以2016年度利润分配方案未来实施时股权登记日的股本总额为基数，向公司全体股东每10股派发现金股利1.00元（含税）（具体分配现金股利总额将以公司未来实施2016年度利润分配方案时股权登记日的总股本为基数计算的实际数据为准）。2016年度不以资本公积金转增股本。
30,股价升等于做免费广告，有助于公司产品销量升、业绩升，形成良性循环。建议公司配合将股价做上去。,公司的股价与公司的价值存在一定的内在关系，同时，公司股价走势还取决于国家政策、市场供求关系等多种因素，我们对公司未来的发展很有信心。
31,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,公司在定期报告中已对公司所面临的风险作了充分披露，并将采取各项措施防控风险，请您关注！
32,公司未来发展前景如何?对目前这个行业的前途看好吗？,医药行业是我国国民经济的重要组成部分，是关系国计民生的重要产业，也是“十三五”战略性新兴产业发展规划的布局重点。进入“十三五”以来，国家政策不断出台，受招标降价、医保控费、一致性评价等政策影响，2017年国内医药销售形式依然严峻，在短期内将对行业的发展带来较大压力。随着医药行业增速的放缓，行业监管的不断加强，未来医药产业经营环境将更加规范，产品创新将日趋活跃，医药企业间的竞争也将更加剧烈。但是从中长期来看，消费水平提升、人口老龄化加剧等都将为医药行业的长期稳健增长提供有力支撑。医药产业将朝着更加专业化、市场化和国际化的方向发展。预计在十三五期间医药行业将加速整合，当前行业中竞争企业多、杂、乱的格局会改变，市场份额将向领先、优势的企业和品牌集中，行业集中度持续提升。同时，医药电商、移动医疗近年来发展迅速，未来随着技术的发展及政策的放开，医药互联网经济将逐渐改变行业格局和产业链条，成为医药产业经济的新动力。
33,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,2017年，公司将顺应各地招标政策，拟定差异化的区域竞争策略，持续开展高端医院的学术推广，同时继续积极拓展基层医疗市场。认真关注医药行业发展的新形势、新现象、新趋势，研究新营销策略；密切关注国家药品价格改革及各地招标工作，及时做好价格维护，确保成熟产品的稳定销售。在高端市场加快新产品市场覆盖，优化学术推广模式，提升学术品牌，强化人员素质提升培训，加强营销过程管理。在基层市场强化产品覆盖和人员覆盖，结合健康乡村中国行和关爱医师健康等活动继续坚持学术下基层，加大社区患教力度；零售终端加强KA管理、特规推荐、新品销售；商务分销要优化商业渠道、聚焦商业推广，重视KA运作，强化品牌推广、关注招标采购。谢谢
34,希望公司在本专业领域专注于做强做大做实，提升公司的行业地位，给投资者以回报！,感谢您为公司发展建言献策，我们一定会认真考虑股东的建议，努力为投资者创造更多价值！
35,公司临床3期结束的品种后续有何计划？预计什么时候能够真正上市？在国外申报的5个ANDA主要是适用于哪些疾病的？目前的进展如何？谢谢,公司目前正在组织相关申报材料，待取得药监部门相关批复文件后公司会及时披露。已经申报的ANDA项目目前还在等待FDA的反馈。谢谢！
36,请问，公司在国内渠道建设上还有加强的空间么？毕竟覆盖的区域和市场很多了,投资者，您好！目前公司已建立了完善的商业体系，随着医改两票制等政策的推进，结合销售终端需求及产品覆盖情况，公司会及时做出促进市场发展的渠道建设管理体制，优化商业渠道布局，促销营销工作，谢谢！
37,"请问公司的通心络在越南进入医保，请问和中国的售价方面有提高吗？大概幅度多少？
公司在机构调研中回答通心络未来可能进入更多国家，那么现在有什么国家在临床或者有意向进入吗？在什么阶段？",投资者，您好！通心络在越南市场一直保持的平稳的销售价格，医保的进入使其市场占有率不断提升，销售量在逐渐增加，未来市场前景广阔。除越南外，公司已制定了全球开发计划，正在有序推进，根据开发情况，会及时与大家交流。谢谢！
38,"请问公司以岭健康城今年的规划是怎么样的，网络售药政策有什么重大变化吗？
参股的以色列可穿戴产品目前有什么销量没有？",公司确立了“发挥研发、制造业优势促进大健康产业发展”的经营方针，通过近三年的运行，初步形成了以地面实体展示线上产品分销加盟分销并行的产品销售模式以及以健康养生、亚健康调理、慢性病防治为核心的健康服务体系。公司子公司以岭健康城为公司运营大健康板块的主要平台，汇集健康管理中心、以岭健康商城、以岭健康城网上电商、以岭药堂，为消费者提供一站式健康养生服务。大健康板块紧紧围绕“通络、养精、动形、静神”的通络养生八字养生文化，“医、药、健、养”为一体，线上线下相结合，开展健康查体、健康咨询、健康教育、健康文化、健康养生、健康旅游、健康购物等服务，并全面启动地面分销加盟业务，线上电商建立了官网引流旗舰分销全网分销的运营模式，形成了良好的发展态势。关于网络销售处方药，目前还没有放开。可穿戴设备目前正在筹划产品注册，尚未有销售行为。
