,Question,Answer
0,公司今年业绩是否会大幅下滑?,公司目前对2018年度的业绩是否会大幅下滑无法做出判断和估计。
1,公司主要产品的目前毛利率状况如何？,照明电源毛利率30.27%，工业控制用变压器毛利率30.99%，新能源用变压器毛利率19.75%，LED成套等其余产品27.13%。
2,公司目前净资产负债率多少？,净资产负债率为54%
3,中国照明电源行业开未来会是怎样的一个发展趋势呢？公司近两年有没有做出什么创新？,由于LED照明具有节能、环保的明显优势，随着LED照明技术的日趋成熟，在全球范围，LED照明正在逐步取代传统照明，例如：日本提出在2020年将基本不再生产传统光源，全部转为LED，到2030年日本市场上的传统光源将完全被LED取代。目前全球都在积极推动LED照明产业向前发展，也带动LED驱动电源产业的发展。LED驱动电源技术更新较快，公司是国内最早从事LED驱动电源研发的企业之一，由于公司主要面对的是国外照明客户，比较早从事LED驱动电源的研发和生产，具有较强的开发和批量化生产优势。公司的小功率LED驱动电源在《高工LED》2015、2016年度LED驱动电源十强企业排名中连续排名第一。公司陆续推出了0-10V、DALI、2.4G遥控调光调色、分段调光、开关控制调色、3合1调光、WIFI调光、蓝牙调光、Zigbee等一系列智能调光产品。并将在后续不断研发各类智能调光电源产品，以应对愈发成熟的智能化市场需求
4,公司人工成本上涨很多吗？那是否会考虑降薪？,公司每年都有调薪计划，人工成本一直呈现上涨趋势，珠三角地区用工难的情况一直存在，为了保证生产用工，公司不会考虑降低薪酬水平。
5,公司有考虑研制芯片这些吗？,公司尚未研制芯片的计划
6,公司坚持走国际化道路，是不是会存在国际化经营的风险？,走国际化的道路一定会面临国际化经营的风险，主要体现在国际政治和经济环境的变化，汇率波动风险，国家之间的贸易摩擦和冲突，法律体系上的差异等。
7,公司一季度业绩为何大幅下滑？,公司一季度业绩大幅下滑主要有以下几个原因：1、公司2018年1季度的销售收入与上年同期相比下降约4000万元，其中主要是人民币兑美元升值，导致外币折算人民币收入下降，毛利率也随之下降，并且对2018年1季度净利润形成直接影响。2、2018年1季度的人工成本和原材料成本较上年同期上升，导致产品生产成本上升，毛利率下降。3、人民币升值造成2018年1季度的汇兑损失增加。
8,目前麦格斯公司持有公司多少股份？占比多少？,"麦格斯持有伊戈尔60,089,750股，占比45.52%。"
9,公司今后发展重点放在哪里？,公司将继续聚焦主营业务的发展，不断开发新的产品，同时拓展现有产品的应用领域。
10,目前公司业绩受哪方面影响较大？,一方面受人民币持续升值，汇率变动的影响；另一方面受主要原材料价格上升和人工成本上升的影响。
11,公司今年十大股东有多少股票解禁？,"公司的限售股有38,903,125股于2018年12月29日解禁。"
12,下半年是行业旺季，看好公司发展,谢谢您对公司的关注和信任，我们将继续努力做好自身业绩。
13,公司现在又多少项专利和发明专利？,目前公司拥有79项专利，其中13项发明专利。
14,公司预计上半年的净利润会有一个比较大规模的下降，那么下半年能否扭亏呢？,公司2018年上半年的净利润虽然同比下降幅度很大，但尚未亏损。
15,公司现在还和菲利普和日厉有合作吗？主要是哪些方面的合作？,公司仍然与飞利浦和日立有合作，向飞利浦提供LED驱动电源产品，向日立提供工业控制用变压器产品及新能源用变压器产品。
16,公司面临的市场风险是什么？,目前公司面临的主要风险是人民币升值，原材料和人力成本持续上涨。
17,"请问公司尚在研发的新能源产品可否包括氢燃料电池车及充电桩磁性器件,研发成功后有无潜在的客户和市场.",公司目前正在研发用于充电桩的磁性器件已有目标客户
18,公司大股东今年是否会减持股票？,不会。
19,公司近期是否有签订重大项目？,公司近期没有签订重大项目
20,LED照明电源生产项目今年能否带来收益？,LED照明电源生产项目正在建设中，预计2019年6月完工并投入生产，2018年不会产生收益。
