,Question,Answer
0,请尽快复牌，停这么久对大家影响太大,投资者您好，在停牌收购东莞美泰电子的过程中，公司与各中介机构全力推进收购涉及到的审计、评估等相关工作，并就工作进展情况及时发布公告。公司对停牌给投资者带来的不便，深表歉意，并将尽快公告收购预案、申请复牌。
1,请问公司同业竞争对手都有哪些？公司现在有没有新的利润增长点？或新的盈利模式来增加收益呢？,"投资者您好，公司产品线不同，竞争对手也有不同，主要包括台资企业科嘉、淳安等。

公司不断拓展产品线。17年以来，通过自主研发与技术积累，并通过收购、整合日资企业昆山oki，开始生产与销售笔记本键盘产品，成为公司重要的利润增长点。18年初，公司通过收购东莞崇康电子，进入手机配件领域。公司将持续加大研发投入，拓展产品序列，增加业务收入，提升公司业绩。"
2,一季度是否有加大研发投入，对管理费用有多大影响？,投资者您好，一季度公司管理费用同比有所增长，主要原因是研发投入有所增长。
3,公司如何建立自己推广销售网络？每年公司的公关和广告费用大概是多少？,投资者您好，公司主要从事笔记本电脑及消费电子产品零组件的生产与销售，主要客户包括大型的消费电子产品代工厂与零部件组装厂。客户的市场竞争态势比较稳定，公司与主要客户建立了长期稳定的合作关系，公司不需要通过公关或广告方式来拓展客户。
4,一季度B/T系列产品销量如何？,投资者您好，公司一季度销售收入同比增长超过50%，B/T产品的销量同比增幅也较大。
5,请简要介绍下公司的商业模式和盈利模式，公司现金流情况如何？,"投资者您好，公司主营业务是笔记本电脑及消费电子产品零组件的生产与销售。

2017年度，公司经营活动产生的现金流量净额为7,682余万元，与公司净利润基本相当，公司盈利质量较好。"
6,公司如何吸引人才、留住人才？,投资者您好，公司充分认识到吸引人才、留住人才对于公司发展的重要性，目前已经建立了有一定竞争力的薪酬制度，并将适时推出员工持股计划，持续健全与完善人才管理制度，促进公司业务成长。
7,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,投资者您好，公司建立了有效的内部控制管理制度，涉及公司业务与管理的各个层面，提升管理效率，保证运营品质。
8,请介绍一下公司的核心业务及业绩做好的业务板块？该核心产品的市场占有率情况如何？同行业内最有竞争力的对手是哪些？能否举例说明下谢谢！,投资者您好，目前公司的核心业务是笔记本电脑及消费电子产品零组件的生产、销售。根据细分产品的不同，市占率有所区别，竞争对手也有不同，具体情况敬请参考公司招股说明书。
9,2017年，公司主营产品对公司的收入与利润分别有什么影响？,投资者您好，2017年公司业务收入基本由主营业务收入构成，公司营业外收入与支出对利润基本不产生影响。
10,公司会去研发芯片吗？,投资者您好，公司将根据产品结构及市场需求，结合公司竞争优势，加大研发投入，持续提升产品品质。
11,传艺科技2018年一季度净利润2602万元 同比增长17.42%，请问主要原因是什么？管理层对该业绩表现满意吗？,投资者您好，2018年一季度公司净利润增长主要源于销售收入大幅增长。公司持续通过拓展产品线，实现销售规模与业绩成长，回报投资者。
12,请问公司分红预案什么时候公布？公司是否考虑高转送来增加流动性？,"投资者您好，公司已公告2017年度分红预案：以2017年12月31日公司总股本143,626,700.00股为基数，向全体股东每10股派发现金股利1.2元人民币（含税），合计派发现金股利17,235,204.00元（含税），以资本公积向全体股东每10股转增7股。"
13,董秘您好，您如何看待未来的笔记本市场，联想作为龙头7017年的业绩很不理想，贵公司有没有考虑战略转型？,"投资者您好，近年来笔记本市场虽然有一定程度的下滑，但仍保有很大的体量。公司作为笔记本配件供应商，通过持续提升产品品质与服务质量，在细分市场中的市占率是持续提升的，这也是公司业绩成长的基础。

在关注笔记本市场的同时，公司也在持续拓展产品线。18年初，公司收购了东莞崇康电子，进入手机配件市场。公司有信心通过产品与业务拓展，实现业绩的持续增长。"
14,邹总，您好，贸易战对贵公司的业绩有什么影响？汇率的变动是否会直接影响公司的利润？公司有没有专业的团队做套期保值？,投资者您好，到目前为止，贸易战对公司的业绩仍未形成明显影响。汇率的变动对公司利润有一定影响，公司在17年年报中披露了汇兑损失及其对公司利润的影响。公司持续密切关注汇率变化，适时采取应对措施。
15,公司怎样从客户的角度来拓展更大的空间？,公司一直重视客户拓展，通过提升产品品质，拓展产品系列，为客户持续创造价值，增强客户粘性，最终实现公司业绩的持续增长。
16,公司及管理层是否鼓励员工长期持股？会不会任由员工和大小非减持？,公司上市前管理层通过持股平台持有少量公司股权，锁定期为上市后36个月。公司将在条件成熟的时候推出覆盖更多骨干员工的员工持股计划。公司的大小非将严格遵守监管部门关于股票锁定期的要求。公司将持续提升公司业绩，注重市值管理，回报投资者。
