,Question,Answer
0,目前公司是否有在研的新药？何时推向市场？,您好！公司的研发工作一直都在进行，但新药的研发是个漫长的过程，大品种培育及产品的二次开发也是目前医药企业努力的方向。谢谢！
1,您好，公司的产品在下面的介绍中没有出现阿胶，如果是按照现有药品，公司的药品都有哪些？,您好！公司主要产品有六味地黄丸、阿胶、逍遥丸、香砂养胃丸、浓缩当归丸、参茸固本还少丸、复方黄芪健脾口服液等系列中成药产品和阿胶糕等大健康产品。谢谢！
2,目前公司新厂区什么时候可以投产？ 投产后的主营产品是什么？,您好！新区投产事宜请关注前面的相关回复，感谢您对公司的关注，也敬请一如既往地关注支持公司！谢谢！
3,"公司产品和竞品之间的差异有多大？比如仲景牌六味地黄丸？同仁堂也做类似的产品，这方面的优势主要在价格上面还是渠道上面？或者品质上面
?",您好！感谢您对公司的关注，请您使用一下我们的产品您就知道了，呵呵！”国药佛慈，慈心好药“是我们一直的追求 ！谢谢！ 
4,其他厂商也生产六味地黄丸，我们的优势是什么,您好！感谢您对公司的关注，请您使用一下我们的产品您就知道了，呵呵！”国药佛慈，慈心好药“是我们一直的追求 ！谢谢！
5,请问公司有借助互联网经营网上药店吗？公司高管怎么看待互联网药商？未来在这方面有什么具体的规划吗？,您好！公司的电商业务目前是与京东、康爱多合作，公司未来将继续加大拓展电商业务，积极寻求与其他电商平台合作，推广公司产品。 谢谢！
6,公司的渠道是怎么构成的？,您好！公司的销售渠道主要包括商业、连锁、医疗机构等。谢谢！
7,"近日，佛慈制药100多个产品全线提价，是否意味着营收增速会高于提价幅度,利润增速可能更高？",您好！公司对百余产品全线提价对公司的影响还有待于市场进一步确认。谢谢！ 
8,公司计划对100多种产品全面提价，全面提价后会不会影响市场销量？,您好！公司对百余产品提价对公司的影响还有待于市场进一步确认，从目前行业现状，提价是必然趋势，长远而言，我们认为不会有不利影响。谢谢！ 
9,两票制改革对公司销售的影响如何？,您好！公司产品销售以终端为主，两票制改革对公司销售影响很小。谢谢！
10,公司的核心竞争力是什么？,"您好！公司核心竞争力主要体现在品牌和历史文化优势、区位资源优势、技术工艺优势、科研开发优势四个方面。具体内容详见公司披露的《2017年年度报告》第三节公司业务概要 中三、核心竞争力分析。谢谢！
"
11,2017年的销售费用和应收账款大增，是否说明去年公司的产品销售难度增加了,您好！感谢关注！恰恰相反，公司2017年销售业绩达到历史高点。公司需要发展壮大，销售费用和应收账款增加也是必然，不大力投入开拓市场您还会关注公司嘛！呵呵！谢谢！
12,公司在药品流通领域有没有什么规划？,您好！2018年公司将根据发展战略规划，适时选择合适的商业、连锁等医药及上下游相关产业优质资源进行并购整合，逐步实现全产业链经营。谢谢！
13,此前国家某部门官方微博说阿胶就是水煮驴皮，请问公司怎么看？对公司阿胶产品有何影响？,您好！某部门不是也致歉了嘛！呵呵！对公司阿胶产品无不利影响！谢谢！
14,新的厂区投产后产能增加四倍，那么请问1、预计多久能达到最大产能？2、新厂区预计什么时候能正式投产，2018年预计新厂区产能能增加多少？谢谢,您好！公司新区项目目前正在进行试生产和GMP认证准备工作，公司将加快各项工作进度，确保项目尽快投产项目建成投产后预计达产时间为3-4年。谢谢！ 
15,公司认为市场对产品提价的接受程度会如何？提价对公司盈利将产生多大的影响？,您好！目前中药提价已不是某一家公司的意愿，涨价未来也可能成为必然趋势，市场的接受程度需要市场最终确认，对公司的影响大小我们共同期待。谢谢！
16,如何看待公司目前的高估值？,您好！感谢关注！是否高估相对而言！市场在不断回归理性，公司也在不断追求价值回归！
17,去年出口销售额是多少，今年大概会增加到多少？,"您好！公司2017年出口销售收入2571万元,2018年公司将加强国际营销网络建设，加大力度拓展国际市场，提高产品出口业绩。谢谢！"
18,贵司历史悠久，六味地黄丸是最经典的，经典的同时也反映出贵司药品相对单一，请问今年有研发新药的打算吗？,您好！公司拥有药品生产批准文号467个，常年生产浓缩丸、大蜜丸、片剂、颗粒剂、胶囊剂、胶剂等11种剂型的110多种产品；拥有参茸固本还少丸、定眩丸、竹叶椒片、二益丸、复方黄芪健脾口服液等10个全国独家产品。公司一直在推进大品种的培育工作。新药研发是个漫长的过程，公司的研发工作一直都在进行。谢谢！
19,公司哪些产品在海外销售情况较好？预计今年年销售额是多少？,您好！公司出口销量较大的产品有六味地黄丸、逍遥丸、天王补心丸、十全大补丸等。2018年公司将加大国际市场开发力度，提高产品出口业绩。谢谢！
20,近期多家机构去公司调研，公司是不是有新产品上市？,您好！公司暂时没有新品上市。谢谢！
21,这次提价范围是不是包括六合地黄丸和阿胶？,您好！本次提价包括六味地黄丸和阿胶。谢谢！
22,您好，公司地处甘肃，目前公司的主营业务是什么？,您好！公司的经营范围主要包括中成药、西药、中药饮片及包装品的生产、批发零售；中药材种植、收购、加工、销售；自有资产投资、租赁、转让、收益；自有显示屏发布自产药品广告；自营和代理各类商品和技术进出口（国家限制和禁止的项目除外）；热力生产与供应。谢谢！
23,公司2017年年末的应收账款达到1亿元，比去年增加了将近5000万，与此同时，货币资金也大量减少，从期初的四个亿到现在的只有七千万，原因是什么,您好！感谢关注！应收账款的增加与公司销售规模增加有关；货币资金的减少一是因为项目建设投资使用，二是由于年末以理财产品形式存放的部分不在货币资金中列示，具体请查阅公司年报相关内容。谢谢！
24,听说公司的产品全面提价，请问预计这对今年业绩提升多大？,您好！产品提价将提升公司合理的盈利空间，但市场对公司提价后的药品价格接受程度仍存在不确定性，药品价格调整对公司经营业绩产生的影响暂时无法预计。谢谢！
25,2017版医保目录出来，公司产品有新增入选的吗？,您好：感谢关注！2017年国家医保目录有新进入品种，在甘肃等地方医保目录也有新增，谢谢！
26,公司阿胶提价原因是什么？是跟随东阿阿胶提价的脚步吗？,您好！公司对阿胶提价是根据原材料和市场情况综合考虑确定的。谢谢！
27,公司的产品涨价以后，预计消费者的接受程度如何？公司定价模式是什么样子的？后继涨价是否会成为常态,您好！产品涨价后消费者的接受程度有待市场确认。您说的是定价策略吧？涉及内容较多，需要考虑的因素也较多，后续涨价是否成为常态也需要根据行业涉及的各方面因素适时适势考虑。谢谢！
28,董事长，公司在搬迁过程中会影响生产吗？,您好！公司前期充分考虑了搬迁过渡的影响，会通过合理安排生产调度，最大限度减少对生产和市场供应的影响，实现平稳过渡。谢谢！
29,医保控费对公司经营影响有多大？,您好：感谢关注！医保控费属于国家医改的一个重大举措，意在减轻百姓医疗负担。这项政策主要影响医药行业中生产高价值产品的企业。佛慈制药作为一个主要生产常用低价中成药的企业，产品主要销售在零售药店渠道和基层医疗板块，医保控费政策对我们影响很小，另外因为对高价值品种的控制，传统经典方产品市场份额反而有提升空间，谢谢！
30,你好，这次提价药品中是否有六味地黄丸和阿胶？,您好！公司本次提价范围包括六味地黄丸、阿胶。谢谢！
31,这次提价范围是不是包括六合地黄丸和阿胶？,您好！公司本次提价产品包括六味地黄丸、阿胶。谢谢！
32,我是新的股东，感谢贵公司大力付出，对你们努力表示感谢，希望有好业绩回报我们。谢谢,您好：感谢您对公司的信任和支持，公司会以更好的业绩回报股东。谢谢！
33,"佛慈制药一直以来深耕陕甘市场,目前还是区域性品牌,营销方面一直是短板，请问公司是否有应对措施？",您好！感谢关注，我公司地处西北，黄河明珠城市兰州，陕西甘肃是我公司历来的大本营，我公司在营销布局上从人员到市场资源配置都处在核心位置，着力深耕终端市场，提高市场覆盖率，延长市场产品链争取市场规模最大化；营销工作在每一个企业都是一个具有挑战的工作，目前我们已经整合企业内外部优势资源，在医疗、控销等板块全面布局。
34,兰州新区建设项目进展情况怎么样？,您好！新区项目正在进行试生产和GMP认证准备工作。谢谢！
35,前段时间网上关于阿胶功效的争端，您怎么看？,您好！关于阿胶功效市场自有定论，无需争议。谢谢！
36,公司中成药原材料主要是自种还是外购？如何保证质量？,您好!公司原材料以外购为主，公司本着质量就是生命的原则，严格执行大宗原料招标采购制度，加强产地化采购、季节性采购，保证原辅材料质量。谢谢！
37,公司百余产品提价对公司的销量会不会有影响？,您好！公司对百余产品提价对公司的影响还有待于市场进一步确认，从目前行业现状，提价是必然趋势，长远而言，我们认为不会有不利影响。谢谢！
38,请问公司搬迁影响原厂的生产吗？另外，搬迁完毕后，原厂全部生产线将会怎样处置？是否会拆除？,您好！公司前期充分考虑了搬迁过渡的影响，会通过合理安排生产调度，最大限度减少对生产和市场供应的影响，实现平稳过渡。新区项目80%以上为新采购设备，原厂区部分设备将会搬迁新区继续使用。谢谢！
39,公司会加大对化药的投资力度吗？,你好：公司目前不会增加对化药的投资力度。谢谢！
40,佛慈制药与红日药业的3亿元战略投资项目，目前进展？,您好！公司与红日药业具体业务合作事项双方正在共同协商中，待确定后会公司会及时披露进展公告，请您及时关注公司公告。谢谢！
41,目前公司有多少种产品进入了医保目录呢？,您好！感谢关注，我公司共347文号，目前进入国家医保目录的206个品规；另外各省区针对乙类医保目录有增补，综合下来，在各省区我公司进入地方医保目录的约有220个品规。谢谢！
42,公司对产品提价，基于什么原因？,您好！公司产品提价是根据药品生产成本和市场需求情况确定，提价后将提升公司合理的盈利空间。谢谢！
43,请问新厂到底什么时候可以投产？新厂区投产后是否生产中药配方颗粒？,您好！公司新区项目已开展试生产和GMP认证准备工作。谢谢！
44,2018公司的经营重点是什么？公司将如何进一步提升业绩呢？,您好！2018年，公司加快做大做强中成药传统主业，加快发展大健康产业，加快地产特色中药材种植、仓储、加工、经营一体化建设。2018年，公司将整体搬迁至兰州新区进行生产经营，将着力提升产能和销售业绩，实现多元经营和跨越发展。谢谢！
45,近期股票质押风险加大，请问公司实控人与各大股东的质押比例是多少？如有，请问是否有被强制平仓的风险？,您好！公司未接到控股股东等对公司股权进行质押的告知事宜。谢谢！
46,近期有机构去调研吗？机构对公司的发展持什么看法？,感谢您对公司的关注！公司近期有调研，请查阅公司已公告的投资者关系活动记录表。机构朋友关心公司的发展，所持看法请关注相关的调研报告等资料。
47,公司大幅提价的原因是什么呢？,您好！公司提价主要是基于药品生产成本和市场需求情况确定的。谢谢！
