,Question,Answer
0,佛山市的管道煤气普及率如何？,您好，目前，佛山市各城区已基本完成了天然气置换工程，居民气化率稳步上升。公司对佛山地区实施“深耕”战略，持续在佛山市内进行管网建设，扩展管道覆盖范围，提升城市气化率，推动了佛山市销售收入持续、稳定增长。谢谢！
1,燃气水务行业今年的走势会怎么样呢？,您好，随着我国国民经济以及居民收入水平的稳步增长，燃气及供水行业将呈现平稳增长的趋势。谢谢！
2,公司目前有多少员工，员工的教育程度情况是怎么样的？,尊敬的投资者，您好！详见公司已披露的2017年年度报告的有关部分内容。感谢您对公司的支持与关注，谢谢！
3,公司目前的天然气销售量有多少？,尊敬的投资者，您好！公司2017年全年实现天然气销售量14.27亿立方米。感谢您对公司的支持与关注，谢谢！
4,是否有针对大湾区的发展战略？,"您好！公司将积极寻求参与大湾区其他区域的清洁能源利用项目的建设，近期公司对大湾区内部分地区的天然气利用项目进行了实地调研考察，其中恩平已中标拿到了特许经营权。公司计划通过跨区经营，扩大市场规模、提升市场竞争力及区域市场占有率，促进公司长期、持续、快速发展。谢谢。 
"
5,能简单介绍一下公司文化吗？,尊敬的投资者，您好！公司以“致力发展清洁能源，提升人民生活品质，推动环境友好社会”为使命，奉行“正直、进取、敬业、和谐”的核心价值观，“正心聚气、承安共生”，坚持“集团化、专业化、品牌化”的经营理念，通过进一步整合公司的资源和人才，并发挥公司在管理、技术、安全、服务及信息化等方面的优势，为客户、股东、员工和社会持续创造价值。感谢您对公司的支持与关注，谢谢！
6,公司具体的特许经营范围是？,您好！公司及下属公司现拥有佛山市禅城区、三水区、高明区和顺德区的管道燃气独家特许经营权；在佛山市以外，还拥有南雄市（不含中国大唐集团公司“南雄燃气发电项目”的供气）、肇庆市高要区、佛山（云浮）产业转移工业园内规划区域内的管道燃气独家特许经营权。谢谢！
7,请问公司天然气销售的毛利率有多少？,尊敬的投资者，您好！2017年，公司天然气销售业务的毛利率达19.66%。在同行业A股上市公司中处于平均水平以上。谢谢关注！
8,公司在异地开展的项目有何动向？,尊敬的投资者，您好！公司已成功中标恩平管道天然气项目，公司正在与恩平市政府指定的下属公司共同组建项目公司，公司未来将稳健地拓展更多异地的燃气项目，相关动态请关注公司披露的相关公告。感谢您对公司的支持与关注，谢谢！
9,第一季度的业绩情况何时公布？是否有所增长？,尊敬的投资者，您好！尽请关注公司将披露的2018年第一季度业绩预告和第一季度报告。谢谢关注！
10,公司打算目前如何更好的实现盈利？,尊敬的投资者，您好！公司将持续提升内部管理水平，围绕管道天然气业务展开精细化运作，在巩固和服务好现有客户的基础上持续开发工商业用户，并向管道天然气上游适度拓展。谢谢！
11,天然气相比其他能源的优势是什么？,"尊敬的投资者，您好！清洁环保：天然气燃烧较为充分，且燃烧后后主要排放物为二氧化碳和水，而其他能源燃烧后会排放如硫化物和氮氧化物等有害气体污染环境。
安全性高：天然气无色无毒，比空气轻，泄漏后不会聚积易迅速挥发，对环境通风的要求较低，同时天然气的爆炸下限和着火温度较高，相对而言不易发生爆燃事故。
经济性高：天然气主要成分为甲烷，成分简单，燃烧充分，非常适宜作为高级燃料及高质量要求的化工原料，且跟其他主要能源相比单位热值价格低，性价比非常高。感谢您对公司的支持与关注，谢谢！
"
12,能否了解一下公司管理层的学历情况？,您好！详见公司已披露的2017年年度报告的有关部分内容。谢谢！
13,公司有成熟的投资者关系管理制度吗？是否成熟？沟通渠道是否顺畅？对于2018年的投资者关系管理有什么计划？,您好！我司为投资者设立邮箱、电话等沟通渠道。我们将坚持公司发展战略，持续经营，不断提升业绩，在广大投资者的支持下，我们高管团队会更加努力工作，以稳健的经营和出色的业绩回报广大投资者。谢谢。
14,作为国有控股企业，公司在反腐倡廉方面有什么举措？,尊敬的投资者，您好！作为国有控股企业，我司高度重视反腐倡廉工作，严格按照中共中央有关文件的要求，构建防止腐败体系，倡导廉洁自律。通过严格规范招标采购制度、关联交易管理办法以及建立同步预防机制，实现防范腐败、廉洁自律、风清气正的目标。感谢您对公司的支持与关注，谢谢！
15,是否有针对大湾区的发展战略？,"您好！公司将积极寻求参与大湾区其他区域的清洁能源利用项目的建设，近期公司对大湾区内部分地区的天然气利用项目进行了实地调研考察，其中恩平已中标拿到了特许经营权。公司计划通过跨区经营，扩大市场规模、提升市场竞争力及区域市场占有率，促进公司长期、持续、快速发展。谢谢。
"
16,公司的利润分配预案达到承诺的分红比例吗？,尊敬的投资者，您好！公司本次的利润分配预案严格按照之前公司披露的利润分配政策执行，达到了承诺的分红比例。谢谢！
