,Question,Answer
0,贵司出售参股公司RFT1.9亿股是基于哪些考虑？,您好！公司根据未来发展战略规划，为进一步整合资源、优化资产结构、提升经营效率，公司拟出售所持有的RFT股权。谢谢！
1,您对依米康在2017年的经营和发展，有何建议或意见？,本人作为公司的独立董事，对公司及全体股东负有诚信与勤勉义务。本人会继续按照相关法律法规、证监会的《指导意见》和公司章程的要求，认真履行职责，保护公司整体利益，尤其要关注中小股东的合法权益不受侵害。谢谢！
2,截至4月30日，“国家队”即证金、中金、汇金合计持有贵司多少股份呢？,您好！公司将根据信息披露的要求及时披露公司股东情况，请关注公司发布的定期和临时公告。谢谢！
3,2017年至今，有多少家投资机构前往贵司调研了呢？,您好！公司机构调研情况请参见公司投资者互动平台发布的相关记录。谢谢！
4,贵司目前有哪些销售渠道？是否存在大客户依赖？,您好！公司目前已建立健全了直销、经销及代理商营销体系，客户主要为通信、金融、医疗、电力、国内知名企业等，不存在对大客户的依赖。谢谢！
5,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？,您好！公司业务涉及信息数据、医疗健康、环保治理三大产业，凭借先进节能、智能技术、完善的产品版图 、整体解决方案以及对行业发展大趋势的敏锐嗅觉，公司已经成为所涉及行业领先品牌；2017年一季度订单获取量大幅增长，新签订单为上年同期的3.43倍，公司有信心在2017年度实现业绩同比增长。谢谢！
6,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,您好！公司目前在建项目主要为依米康绿色精密环境产业基地项目，详细内容参见2015年12月25日及2016年1月14日公司刊登在巨潮资讯网上的《关于投资建设依米康绿色精密环境产业基地项目的公告》（公告编号：2015-112）、《2016年第一次临时股东大会决议公告》（公告编号：2016-004 ），公司已按计划完成开工前的各项准备及报批工作，并于2016年1月28日取得成都高新区规划建设局签发的《建筑工程施工许可证》，目前该项目正按计划开展各专业建造工程施工。谢谢！
7,目前公司享有的国家优惠政策有哪些？,您好！公司业务涉及信息数据、医疗健康、环保治理三大产业，在信息、医疗基础建设和环保治理领域，公司凭借先进节能、智能技术、完善的产品版图 、整体解决方案以及对行业发展大趋势的敏锐嗅觉，已经成为所涉及行业领先品牌，取得并享受一系列国家相关优惠政策，详见公司于2017年4月25日在巨潮资讯网披露的公司2016年年度报告相关内容，谢谢！
8,公司是否在考虑开拓新的领域？取得初步进展没有？,您好！公司业务涉及信息数据、医疗健康、环保治理三大领域，在主营业务领域未发生重大变化的基础上，采取内部有机增长和并购、合资相结合的发展模式拓展各业务领域。十三五期间，我国信息、医疗、环保等产业仍然处于快速发展的阶段，与之相关的产品、服务处于市场需求旺盛的发展阶段，这为公司的主营业务发展提供了良好的机遇和挑战，公司业务具有广阔的发展前景。谢谢！
9,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,"您好！公司管理层重视并努力推动公司既定发展战略规划的推动实施，以确保公司持续健康稳定发展；另外公司制定了2016-2018年度股东回报规划，并严格按照本规划及公司依法制定的《公司章程》关于利润分配的相关规定积极回报投资者。谢谢！
"
