,Question,Answer
0,请问董秘易总您座驾是什么型号？请正面回答,请关注与公司发展相关的问题，谢谢！
1,公司目前的股东结构是怎样的？是否有利于优化公司治理结构和企业长远发展？,公司目前的股东结构请参阅2016年度报告，以及近期披露的详式权益变动报告书。公司引入战略投资者，将有利于未来的企业长远发展。
2,公司去年主打产品的销量是多少？,公司主营产品及相对应的销量、收入的详细数据，敬请查阅公司2016年度报告，谢谢！
3,对比大股东而言，中小投资者的合法权益有哪些特别之处？,"为了保护广大中小投资者的合法权益,公司建立了包括投资者热线、深交所的互动E、公司网站等在内的沟通平台，做到专人接听电话、专人回答投资者在互动E中的提问，以确保沟通平台的畅通，及时回复投资者的各种问题，同时，公司管理层也十分重视与投资者沟通和交流，亲自参加投资者接待日活动和网络业绩说明会，亲身参与投资者的互动。"
4,你怎么看公司的业绩和公司的股价和市值的？,上市以来，公司业绩一直稳定增长，受到广大投资者认可和青睐，目前更是往更有市场前景的新领域不断扩张，相信未来会更好。
5,请问公司的分配预案达到承诺的分红比例吗？,"根据要求,公司分派均符合相关要求."
6,公司是否会计划多元化发展？,若此次资产重组成功，公司将形成汽车零部件、军工无人机的多元化业务模式。
7,公司的前5大客户是哪些？,"如2016年年报所示，公司前5大客户是法雷奥集团（Valeo）、博世汽车部件（长沙）有限公司、黄石东贝电器股份有限公司、雷米电机湖北有限公司、西班牙博世（Spain Bosch）。
"
8,请问开完股东会后，如果送股通过几日内会送股？,"根据规定,公司将在年度股东大会通过之日起2个月内实施利润分派."
9,请问未来公司对稳定股价会做出哪些举措？,公司主业不断强大，业绩不断增长是股价、市值增长的原动力；同时在外延方面，公司也积极探索如新能源汽车、军工等新领域的机会。
10,公司的前5名供应商是什么，与公司存不存在关联关系？,"公司前5大供应商是：马鞍山钢铁股份有限公司销售公司、浙江长城电工科技股份有限公司、上海宝钢钢材贸易有限公司、首钢股份公司迁安钢铁公司、铜陵有色股份铜冠电工有限公司。均与公司不存在关联关系。
"
11,公司未来五年的目标是多少？能够实现吗？,上市以来，公司业绩增长稳健，未来5年内，公司将发展成电机领域的龙头定转子供应商，并将在军工、新能源领域做适当的外延扩张。
12,请问董事长，您名下有没有未注入上市公司的其他资产（公司）呢？,"在其他领域有投资,但短期内无注入规划."
13,公司截至目前为止都有哪些子公司和参股公司？,公司目前有控股子公司浙江大行科技有限公司、上海鑫永电机科技有限公司、浙江艾麦电子科技有限公司，全资子公司浙江信戈制冷设备科技有限公司、信质电机长沙有限公司、台州市椒江搏翔电机有限公司、台州信质电动自行车零配件有限公司、信质电机香港销售有限公司。
14,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,请查阅公司2016年度报告内容之公司未来发展的展望
15,有给高管加工资的准备么,公司为留住人才，保持活力，会制定有吸引力的薪资福利体系。
