,Question,Answer
0,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,您好！公司的研发机构有多肽研发机构和诊断研发机构，未来除了继续多肽与诊断的研发创新外，还将新增多肽制剂的研发。中肽生化拥有“国家千人计划”特聘专家1名，浙江省“千人计划”特聘专家多名，高层次的海外归国人才组成了中肽生化研发团队的核心，在长而复杂肽链的合成上具备其他服务商无法比拟的技术优势，可合成结构较为复杂的氨基酸的肽链，成为众多创新药研发机构复杂和困难多肽合成需求的首选外包服务商。诊断试剂除主打的毒品检测类诊断试剂外，中肽生化通过自身的研发储备了妊娠、传染病等多种检测品种。谢谢！
1,能简单的介绍下新项目的情况吗？,您好！公司2016年度在建项目主要有肿瘤医院三期、白云医院二期、六枝博大医院等，2017年将投入使用，新增床位1800张，未来几年将为公司医疗服务板块业务带来持续增长。谢谢！
2,公司是否会计划多元化发展？,"您好，公司一直专注、专业、专一地围绕大健康产业发展，公司目前已形成了医药工业、医药流通、医疗服务三大业务板块，协同发展良好。谢谢您的关注！
"
3,公司募投项目，预期如何？是否谨慎？,"您好！截止2016年12月31日，公司已经投产的募投项目包括固体制剂GMP生产线建设项目、 植物提取物GMP生产线建设项目、药物制剂中试生产基地建设项目、仁怀新朝阳医院、贵州科开医药有限公司现代医药物流项目，2016年已经投入使用，效益基本达到预期，详见贵州信邦制药股份有限公司《关于公司募集资金存放与实际使用情况的专项报告》。
截止2016年12月31日，公司正在进行的募投项目包括六枝博大医院、黔东南众康医院、多肽产能扩建技术改造项目、诊断试剂及多肽制剂产业基地技术改造项目，目前均按预计进度正常推进。谢谢！
"
4,请问公司的分配预案达到承诺的分红比例吗？,您好，公司2016年度的利润分配预案中现金分红金额占2016年度合并报表中归属于上市公司普通股股东的净利润的比率为20.79%，并结合公司2015年度、2014年度的现金分红情况，公司2016年度的利润分配预案中现金分红比例符合相关法律法规及《公司章程》的规定，谢谢！
5,公司未来五年的目标是多少？能够实现吗？,您好，公司的发展战略：打造成为高科技的医疗服务集团，公司将坚定不移地继续加大投入，将中肽生化的研发、创新能力体现到医疗服务上，提升医院的科研水平，提高医院的医疗技术。经过前期在各业务板块的投资而局，公司 已形成了医疗服务、医药流通、医药工业三大业务板块协同发展。通过两次的重大资产重组，公司已成为医药行业中少有的全产业链集团公司，为确保公司持续健康发展，公司始终坚定发展信心，不断创新经营模式。谢谢您的关注！ 
6,公司的发展战略是什么， 是否公司未来发展的主打方向？  以前没怎么听到这方面的动向， 能否详细讲解一下主要是面对哪些品种和市场？ 谢谢！,您好，公司的发展战略：打造成为高科技的医疗服务集团，公司将坚定不移地继续加大投入，将中肽生化的研发、创新能力体现到医疗服务上，提升医院的科研水平，提高医院的医疗技术。经过前期在各业务板块的投资而局，公司 已形成了医疗服务、医药流通、医药工业三大业务板块协同发展。通过两次的重大资产重组，公司已成为医药行业中少有的全产业链集团公司，为确保公司持续健康发展，公司始终坚定发展信心，不断创新经营模式。谢谢您的关注！
7,新投资的项目今年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,"您好，公司的部分投资项目将在2017年为公司贡献利润，具体情况将与项目进展、经营情况等因素相关，请您及时关注公司在指定的法披媒体披露的定期报告及有关临时公告，谢谢！
"
8,请问老总， 2016年存货是多少，存货增加的内容是哪些？,您好！谢谢对公司的关注。截止到2016年12月31日公司存货余额为7.44亿元。主要增加是由于中肽生化在2016年纳入合并范围导致库存商品增加。
9,公司去年主打产品的销量是多少？,您好！谢谢对公司的关注，公司目前业务板块为医药制造、医药流通、医疗服务，各板块收入成本详见公司2016年度报告第四节经营情况讨论与分析二、主营业务分析。
10,公司目前主要的研发方面是什么？,您好！公司聚焦生物医药创新创业生态体系，包括多肽制剂药物、仿制药一致性评价、诊断试剂新项目，积极扩大全球范围的多肽定制合作业务。谢谢！
11,公司截至目前为止都有哪些子公司和参股公司？,您好！截止目前，公司共有34家子公司、4家参股公司。详见公司2016年度报告第十一节财务报告三、公司基本情况。谢谢！
12,公司截止至今的产品有多少个种类？,您好！谢谢对公司的关注，公司目前业务包括制药工业、医药流通、医疗服务三大板块，详见公司2016年度报告第四节  经营情况讨论与分析。
13,请问2017年全年预计销售目标是多少亿元？实现净利润的目标是多少亿元？,您好！谢谢对公司的关注，公司2017年经营目标为营业收入同比增长不低于20%。 2017年，公司将以全面预算管理为抓手，层层分解经营目标，实施绩效挂钩，保证集团公司整体管理指标和经济指标的完成。
14,4.17有16业绩路演？,您好，公司的业绩说明会路演正在进行，谢谢！
15,公司2016年管理费用较上年同期相比如何，原因是什么？2017年会下降吗？,您好！公司2016年管理费用3.02亿元，较上年同期增长33.80%，低于利润增长幅度。2017年公司将继续加强全成本管控，进一步探索精细化管理，通过管理要效益，降低管理费用率水平，在企业规模发展壮大的同时，注重公司的资产质量、运营质量，更好促进集团公司的稳健发展。谢谢！
16,公司的前5名供应商是什么，与公司存不存在关联关系？,您好，公司前5名供应商为哈药集团营销有限公司、阿斯利康（无锡）贸易有限公司、杭州中美华东制药有限公司、贵州万信医药有限公司、云南白药集团股份有限公司，上述公司与公司不存在关联关系。谢谢！
17,请问今年预计主要产品的销售目标是多少？净利润是多少？,您好！谢谢对公司的关注，公司2017年经营目标为营业收入同比增长不低于20%。
18,公司的前5大客户是哪些？,您好！谢谢对公司的关注。公司前五大客户详见公司年度报告第四节经营情况讨论与分析-二、主营业务分析-2、收入与成本-（8）主要销售客户和主要供应商情况。
19,公司高级管理人员的考评及激励情况怎样，有没有股权激励制度？,您好，公司建立了完善的绩效考评体系，高级管理人员的工作绩效与其收入直接挂钩。公司董事会薪酬与考核委员会根据高级管理人员的工作能力、履职情况、责任目标完成情况进行考评，并按照考核情况确定其年薪、绩效和报酬总额。谢谢！
20,请问老总公司今年净利润同比增长多少？而管理费用去用比去年同期的增长了多少呢？,您好！公司2016年实现归属于上市公司股东净利润2.46亿元，较上年同期增长41.08%，2016年管理费用3.02亿元，较上年同期增长33.80%，低于利润增长幅度。谢谢！
21,要实现公司的发展目标，请问信心来自哪里。,您好！要实现公司的发展目标，公司信心来自于公司业务覆盖医药工业、医药流通和医疗服务的全产业链医药医疗企业集团，公司充分发挥上市公司融资平台优势和在医药流通、医疗技术、医疗服务方面的优势（详见2016年报度报告全文第三节“公司业务概要”），最大限度的发挥业务协同效应，增强公司核心竞争力。谢谢！
22,请问开完股东会后，如果送股通过几日内会送股？,您好，公司第六届董事会第二十五次会议及第六届监事会第十六次会议审议通过了公司2016年度利润分配预案：公司拟以分红派息股权登记日总股本为基数，向全体股东每10股派发现金股利 0.30 元（含税），剩余未分配利润结转至下一年度；不送红股，也不以资本公积金转增股本。公司2016年度利润分配预案尚需2016年度股东大会审议，方案将在股东大会审议通过后两个月内实施，请注意关注公司相关公告，谢谢！
23,公司今年的财务费用会有多少？,您好！公司目前财务费用主要来自于银行短期借款利息支出，利率水平为4.35%-5%之间，截止2016年12月31日，公司银行借款余额27.9亿元，2016年度利息支出1.3亿元，2017年视经营需要增加银行借款，相应增加财务费用。谢谢！
24,2017年公司是否考虑对高管实行股权激励，如果有的话大概什么时候实行？,您好，目前，2017年公司没有对高管实行股权激励，如果有的话，会在公司的信息披露指定媒体《中国证券报》、《证券时报》和巨潮资讯网（http://www.cninfo.com.cn）进行披露。谢谢！
25,公司在税收方面有没有相关的优惠政策？具体税率是多少？,"您好！谢谢对公司的关注。公司税收优惠政策详见公司年度报告第十一节财务报告-六、税项。
"
26,未来几年， 公司如何定位， 哪些市场更适合公司产品的长远发展？,您好！公司的发展战略：打造成为高科技的医疗服务集团。公司将坚定不移地继续加大投入，将中肽生化的研发、创新能力体现到医疗服务上，提升医院的科研水平，提高医院的医疗技术。谢谢！
27,公司截止目前的股东总人数是多少？,您好，截止2017年4月14日股东总户数为74000余户，谢谢！
28,请问：公司已经投产的募投项目及超募项目，2017年是否可以完全投产并且贡献效益？这部分的折旧和费用对利润影响大吗？谢谢,您好！谢谢对公司的关注。截止2016年12月31日，公司已经投产的募投项目包括固体制剂GMP生产线建设项目、 植物提取物GMP生产线建设项目、药物制剂中试生产基地建设项目，2016年已经投产并产生效益，详见贵州信邦制药股份有限公司《关于公司募集资金存放与实际使用情况的专项报告》。2017年将继续为公司贡献效益，相关折旧及费用对公司利润影响不大。谢谢！
29,请问公司拟进入的什么新的细分领域吗？这一领域与公司现有业务的相关性？,您好！公司将中肽生化的研发、创新能力体现到医疗服务上，提升医院的科研水平，提高医院的医疗技术。扎实做好试剂、设备、耗材的成本摸底和管控，并逐渐培养成具有市场竞争力的医疗器械及耗材专业公司。谢谢！
30,公司预计2017年业绩较去年同期是上升还是下降？若上升，则增幅是多少？,您好！2017年的业绩将在定期报告中进行预计，敬请到时关注。谢谢！
