,Question,Answer
0,公司有没有哪些项目创新模式？,您好！公司涉及主要业务有新能源、精细化工、生物降解材料三大类业务，其中新能源业务包括能源太阳能发电、新能源汽车运营、新能源汽车充电站、储能及智慧停车等业务，其业务经营模式详见公司2016年年度报告第三节公司业务概要部分，谢谢！
1,您如何看待共享单车、共享租车、共享巴士等互联网共享出行平台和技术的发展趋势和市场空间，谢谢,您好！共享经济是移动互联网时代基于以分散的社会闲置资源为基础、以提升资源利用率为核心的服务式经济。共享出行是我国发展共享经济的重要切入点，推动资源驱动型经济向服务驱动型经济转变，顺应经济与社会发展低碳化、高效化、服务化。共享出行这一创新业态，有效缓解出行供需矛盾，创造巨大的经济价值和社会价值。谢谢！
2,请教一下大神，近日在上海举办的大型车展，可以看出汽车制造在未来将出现哪些趋势或特色？,您好！我司业务不涉及汽车制造，谢谢！
3,"贵司在2016年变更公司名称，由""深圳市彩虹精细化工股份有限公司""变更为""深圳市兆新能源股份有限公司""的意义何在？",您好！本次变更公司名称及证券简称是为了更准确地反映公司主营业务情况，易于投资者理解；同时有利于适应公司未来发展规划及经营发展需要，体现公司未来的发展方向，谢谢！
4,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,您好！请参考2016年年度报告“第十一节 财务报告 合并财务报表项目注释 ”，谢谢！
5,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,您好！公司管理团队努力经营，争取以合理的业绩来回报各位股东。谢谢！
6,如果公司进行定增，那大股东及高管们会考虑参与、进行增持吗？,"您好！2015年度非公开发行股票156,339,468股已于2016年5月30日上市，本次非公开发行股票公司大股东及高管都有参与，请详见公司本次非公开发行股票发行上市公告书，谢谢！"
7,公司的前三大客户是哪些公司？,您好！公司前五大客户详见2016年年度报告，请参考，谢谢！
8,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,您好！公司区域销售结构详见2016年年度报告“经营情况讨论及分析”，谢谢！
9,公司如何进行投资者关系管理，如何规划进行投资者回报的？,您好！公司高度重视投资者关系和投资者关系管理。公司董事会秘书为公司接待和推广工作第一责任人，董事会秘书全面负责公司接待和推广工作，公司董事会办公室为负责公司接待和推广具体工作的职能部门。公司依据相关法规的规定，组织并实施公司的投资者关系管理工作。报告期内，公司通过年度报告说明会、电话、接待投资者现场调研等方式，加强与投资者的沟通。公司的每一个投资者都是公司的一份宝贵的财富，你们的关注是我们发展的信心，期待你们更多的关注兆新股份，谢谢！
