,Question,Answer
0,请教下兆驰股份在互联网电视转型中的盈利模式？,您好！公司在互联网电视方面主要采用双轮驱动模式，一方面推出自有品牌，风行互联网电视及JVC智能电视；一方面开放对外合作，包括联合品牌及OS输出。感谢您的关注！
1,尊敬的顾伟董事长您好，我是贵公司忠实的长线投资者。在最近看到大量机构分批次调研贵公司，我感到十分的激动，我认为公司的战略确实吸引到了机构投资者。但在公司股价方面，已经到了几年的低位，非常便宜，但却未见任何动静，研究报告天天出，但却看不到任何一个机构建仓的举动。是不是各个机构调研者在调研之后，对公司的现状感到没有买入价值吗？对公司未来营收的爆发没有任何兴趣吗？对此，您怎么看。,您好！感谢您对公司的支持与鼓励，经过多年的发展与布局，公司逐步形成三大生态体系，从基于成本、渠道控制的产品售卖向基于内容、体验的服务提供进行转型，未来将有效地提升公司的综合竞争力，提高整体营业收入和利润水平，为广大投资者创造更大的价值。同时，公司将加强与投资者保持良好的沟通与交流，努力赢取资本市场的认可和肯定。感谢您的关注！
2,请问顾总，公司18年或者长期有没有明确的目标或者规划，有些企业制定了营收目标或者进入世界500强，建议公司也应该有个明确的目标，各事业部都要签订业绩书，推动狼性文化，并适时推出新的股权激励，一些新的合伙人并没有股份。,您好！感谢您的建议，公司将积极学习优秀企业的成功经验，适时推出合适的激励措施，与投资者、公司员工共同分享公司的经验成果。感谢您的关注！
3,顾总，我认为兆驰应充分发挥在制造业中效率，成本控制方面的优势，积极向其他电子制造（包括手机、IT设备、通讯、家电）、新能源汽车产业链，半导体产业链（当然公司已进入LED产业链）等寻找机会，电视的市场空间不大，另外也没什么增长。承认兆驰是脚踏实地的做实业，但现在中国机会很多，政府大力支持很多产业，兆驰有资金，有团队，完全可以做的更大，更强,您好！感谢您的支持与建议，公司将在坚持主营业务发展的基础上积极向外拓展，不排除通过对外投资、收购兼并、业务合作等多种形式。感谢您的关注！
4,对2018年的营收有没有预测，未来三年的复合增长率有没有预测。,"您好！
我们对未来充满信心。
感谢您的关注！"
5,建议兆驰多引入行业内优秀企业的人才，芯片可以多引入三安、华灿。澳洋等，封测多引入木林森，国星等，兆驰虽有多个产业，但每个产业都不能进入行业前三，应充分发挥民企灵活、分享的机制，企业竞争就是人才竞争，希望公司早日成为所在行业的龙头公司。,您好！谢谢您对我们的支持与建议。我们将不断学习优秀企业的经验，努力提升公司业绩，与投资者共同分享公司的成长与进步。感谢您的关注！
6,请问方总，如何看待兆驰所在行业的发展前景和兆驰本身的竞争力？,您好！公司所在行业未来市场的前景十分广阔，我们对公司未来发展的前景充满信心。感谢您的关注！
7,请问严总，兆驰新进入 的LED产业能享受国家哪些政策支持和税收、财政方面的优惠措施？,"您好！
当地政府特别重视此项目，在规划、财税、项目用地保障及人才引进等方面，提供了重点支持和优惠条件。
感谢您的关注！"
8,请问，公司17年度获得史上最高营收，为什么净利却没能是史上最高？,"您好！公司2017年实现归属于上市公司股东的净利润约为6.03亿元，同比增长61.04%，由于原材料价格大幅上涨，导致主营业务成本上升。未来我们将持续努力提升公司业绩，与投资者共同分享公司的成果。
感谢您的关注！"
9,请问公司今年会不会爆出新款产品？,您好！若有新款产品推出，公司将按计划举办新品发布活动。感谢您的关注！ 
10,最近公司用工是否紧张，招工是否容易？,您好！公司近期不存在用工问题。感谢您的关注！
11,方总，今年公司主业订单如何，相比较去年如何？,您好！今年公司主业订单及收入较去年同期均有增长，具体数据敬请查阅公司定期报告。感谢您的关注！ 
12,请问公司与小米、富士康有业务合作？,您好！公司于2017年与小米、富士康开展业务合作，为其部分电视产品、数码产品提供硬件制造，同时，为部分客户提供系统运营服务。感谢您的关注！
