,Question,Answer
0,哈哈，很高兴和王总能在网上沟通，作为光线的投资人，一直关注王总和其他人的微博。我相信光线人的实干一定会成功。坚守光线5年了，，，，会一直坚持下去！喜欢王总的字，不知道是否可以赠一副挂在家里，谢谢！,要字的人很多，还没送过.....正在研究如何建立一种机制......
1,感谢以王总为班长的光线越来越好，谢谢。,我们一定会越来越好，谢谢大家。
2,光线一直是比较实干务实的公司，但是发展的步子还是有点慢（主要是市值管理）。随着几大视频平台付费用户的崛起（网剧之后会大举涉足电影），这些平台更有机会发展成大型传媒集团，光线如果不尽快补足短板，有可能会沦为单纯的电影或娱乐投资公司，希望王总加强和腾讯合作吧！选择一个好的合作伙伴，会给公司带来飞速发展～,内容与平台对于传媒集团都是需要的，而头部内容更为稀缺。我们将在合适的时机以合适的方式展开自己的平台战略。
3,王总每年都能亲自来平台回答投资者问题，确实不容易。选人用人内外各有利弊。公司在用人上主要是从内部提拔，公司未来会从外部选拔优秀人才充实管理层吗，。,我们主要从内部培养人才，公司有强大的平台和空间以及对年轻人的培养机制。
4,财务负责人也姓王，和董事长是亲戚么,天下王姓是一家。
5,王总如何看待电影院线产业未来几年的发展？光线有投资院线的计划吗？,电影院线目前从数量上看已经基本饱和，接下来是提高上座率和单位产出的问题；我们不会自己建立院线，但如果有合适的投资机会，我们也不排斥。
6,请问今年为什么网络直播业务不再并入报表？上市公司常规方法对营收影响超过了5%或10%都应当并表，而视频直播应营收2017年占比达26.66%,公司按照会计准则来确认投资的公司是否需要合并报表，浙江齐聚在2017年年底丧失控制权，但是按照会计准则还是合并了损益表，2018年后，视频直播业务虽然不再合并报表，但是按照权益法核算我们还是会按持股比例确认投资收益。
7,公司以前在游戏方面雄心勃勃，好像这一年多很少提及，有没有东山再起的规划？,我们将继续探讨现有业务与游戏的协同和互动，但是目前并没有具体的计划可以披露。
8,阿里入股公司，虽然前期给公司发展带了资金，但是从目前看，公司的猫眼和淘票票，还有其它业务都存在着竞争而不是合作关系。公司同时还和腾讯有合作，，，请问王总如何处理好和这两家的关系。同时比较关注公司视频平台的发展情况。谢谢！,我们作为独立的公司，会以公司的利益为重来处理好与其他各方的关系。
9,今年距您创业有20周年了，有何感想？第二个20年有没有新的目标？,不求人夸颜色好，只留清气满乾坤。
10,"侯总您好，有关于猫眼的几个问题请教您：
1、有媒体报道，猫眼准备年内在香港上市，将募集10亿美元，请问是否属实？
2、在线票务目前只剩淘票票和猫眼两家巨头，马云表示淘票票今年将继续加大投入抢占市场第一位置，猫眼有什么核心竞争策略？
3、猫眼近两年盈利情况是否方便简单介绍一下？
4、《后来》集体退票爆出了预售刷票、锁场等行业乱象，作为行业代表，猫眼除了发声明表态之外，还将做出哪些努力？
谢谢侯总","1.我们作为猫眼的股东，目前暂无需披露的信息；
2.据我们从猫眼管理层得到的信息，猫眼将在产品、服务以及投入上动用一切力量，保持领先的市场地位；
3.我们作为猫眼的股东，在授权和政策要求范围内披露相关信息；
4.据我们了解，猫眼正在对其退票规则和系统进行进一步的完善。"
11,问个个人问题，请问王总微博上每天发布的书法字帖，是当天新写的还是之前已经写好的？,多数情况下是批量写好然后分次发出来的，我觉得公司业务越来越好，我的字也会写得越来越好。
12,公司有哪些同业竞争对手？相比有何优势？,我们的产业链更加完整，项目储备更多，发行能力处于领先地位。同时行业资源更丰富，团队能力更强，标准更高。 
13,王总：您好，我的问题和前面一位有类似:对于娱乐类公司（特别是光线这样的大公司）在业内总是被别人攻击，在您的微博上置顶的一段话（纪录光线200亿的时刻）中也表明了在这个行业中容易被人诬陷的观点，请问在国家制度日趋完善的过程中，光线对于规范业内秩序有什么建议向管理层提出的？,在国内造谣、诽谤、恶意中伤、作假等等违法行为的成本太低，如果不能解决这个问题，每一个行业、企业和个人都将深受其害。
14,王总您好，为什么光线筹备2年多的《鬼吹灯》项目没有出现在2018年片单上？光线是撤出了《鬼吹灯》项目吗？,我们在日常运作中会根据项目的具体情况进行合作方式的调整，项目有进有出，都是正常现象。
15,针对导演丁晟发布长文质疑公司在“宣发”和“票补”款项上存在问题，公司作何回应？对公司有无重大影响？,我们已给予正面回应：我们已严格按照我们与北京文化的协议约定履行了义务，我们与丁晟之间不存在任何法律文件要求我们向其提供资料和信息。
16,公司怎么看“《后来的我们》退票门背后光线传媒近半利润来自投资”？,公司在2017年如果不考虑商誉减值的影响，主营业务利润远远大于投资收益，公司一直是致力于主营业务的运营及发展。《后来的我们》退票事件猫眼已经召开过恳谈会及发布相关声明。
17,《后来的我们》国家电影局给出“退票情况确有异常”的初步结论，这会对猫眼的上市进程产生影响吗？,此事与猫眼无关，也不会对猫眼造成影响。
18,猫眼作为销售平台未来会不会引入彩票销售？谢谢,感谢您的关注和建议！
19,请问王总，netflix的迅猛发展给您带来什么启示？您一直想做视频，目标是中国的netflix吗？,我们仍然在探讨进入网络视频领域的方式和时机，我们不排除与其他合作伙伴进行深度合作。
20,请问王总，光线的《鬼吹灯》系列是近几年的宣传重点，筹拍了也两年，为什么今天3月底突然爆出成了华谊的项目？光线做了怎样的妥协和交换？,我们在日常运作中会根据项目的具体情况进行合作方式的调整，项目有进有出，都是正常现象。
21,请问公司还会投资美人鱼2吗？,我们会根据项目的具体情况确定是否投资。
