,Question,Answer
0,请问贵公司近来股票走的不太好，不知道为什么，我一直看好贵公司，现在我有点迷茫，希望指点一下。谢谢,您好！感谢您对公司的信任。公司会聚焦于主业经营，力争以良好业绩获得市场认可，相信最终股价能够反映公司价值。但是，股价是市场综合因素的反映，请您理性看待，注意投资风险。谢谢！
1,股价升等于做免费广告，有助于公司产品销量升、业绩升，形成良性循环。建议公司配合将股价做上去。,您好！公司将依法合规经营，用良好的业绩回报广大投资者。
2,你好，从贵公司各方面看不出有什么问题啊，为什么股票跌的这么多，公司有没有考虑公司股票这么下跌对公司的负面影响。谢谢,您好！感谢您对公司的关注。公司上市以来一直依法合规地及时进行信息披露。但是股价是受市场综合因素的反映，与创业板的整体走势也有关，公司会聚焦于自身业务，争取以良好的业绩获得市场的认可，相信最终股价还是会充分体现出自身价值。谢谢！
3,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,您好，公司未来若涉及到兼并收购事宜，会及时依规进行信息披露，感谢您的关注，谢谢。
4,您好！参天的眼药水在日本是处方药么？咱们对应的产品，在使用效果上和国外产品比，效果如何？,您好，日本有处方药也有非处方药。在疗效上，中国食品药品监督管理局对眼科药物无一致性评价要求。
5,能简单的介绍下新项目的情况吗？,您好，公司未来的新项目将依据相关规定及时进行信息披露，请您关注公司未来公告，谢谢。
6,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,"您好！公司一直以来秉承“经营健康，缔造光明”的企业宗旨，以不断创新为己任，抓住医药行业当前面临的历史性发展机遇，始终围绕眼科药物主营业务，专注于眼科领域，坚持专业化发展道路，依托现有的技术优势、产品优势、渠道优势以及品牌优势，扩充产能及产品线，加快新产品研发进度，全面提升公司研发水平，加大市场推广力度，不断提高产品市场竞争力。
公司将以本次发行上市为契机，加速产业规模化，优化公司产品结构，提升自主创新能力，扩大产品的市场占有率，进一步巩固和增强公司竞争优势，力争将公司打造为具有全球竞争力的眼科药物研究和制造企业。
公司目前的发展战略与主营业态相一致。"
7,公司未来五年的目标是多少？能够实现吗？,您好，公司未来的发展目标在已披露的2016年度报告中有披露，请您参看第四节“经营情况讨论与分析”之九公司未来发展的展望，谢谢。
8,请问公司的分配预案达到承诺的分红比例吗？,公司承诺每年以现金形式分配的利润将不少于当年实现的可供分配利润的20%，公司已按此承诺实施。
9,请问老总公司今年净利润同比增长多少？,今年净利润同比增长期146.95%，此数据为2016年财务数据
10,公司是否会计划多元化发展？,您好，截至目前，公司暂未考虑进行多元化发展，公司主要关注于眼科相关的专业领域。
11,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,您好，公司目前拥有自己的研发中心，同时与国内的一些科研院所进行合作。未来研发将采取“仿创结合”的方式进行。
12,公司截止目前的股东总人数是多少？,"截止到2017年3月31日，公司股东总数是11,116人"
13,目前公司享有的国家优惠政策有哪些？,公司为高新技术企业，享受企业所得税税率15%优惠政策
14,请问公司会进入新的细分领域吗？这一领域与公司现有业务的相关性？,未来公司会考虑进入到眼科新的细分领域，该领域将会与眼科现有业务相关。
15,公司截止至今的产品有多少个种类？,"截止至今，产品分类依据IMS统计口径，公司产品涵盖其中10类。
"
16,公司未来有没有计划进军，护眼装备，护眼医疗等领域。,暂时没有考虑
17,请问公司有无通过发行债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,您好，请您以公司公告为准。
18,公司今年的财务费用会有多少？,2016年财务费用为734万元
19,兴齐眼药地处东北，为什么再主营业务收入中，东北所占比重反而相对不高。,您好，经济比较发达地区眼科也比较发达。
20,公司未来如何防止产品成本提升而导致毛利率下降。,"1、加强内控管理制度，降低采购成本
2、扩大销售收入、加大产品生产量、提高产品收率、降低单支固定成本单价"
21,另外公司在产品线布局上，除了抗生素，干眼症以外。青光眼（前列素）及眼底病变的药物管线研发储备不足，是由于技术平台限制还是有其他的考虑？此次GMP投入资金量较大，未来有没有做规范市场的打算，如果有，如何切入。,您好，您提的问题非常专业，我们在青光眼和眼底的药物也正在立项开发阶段。
22,眼药产品从新药研发到审批到推向市场一般时间周期是多少。,您好，根据眼药的类别不同，周期也有所不同。
23,我们公司是否有对动物眼睛治疗或者保护的产品。,您好，我公司目前还没有开发此类产品。
24,"刘总好，贵司是民族眼科药企业的龙头公司，想问一下公司在发展战略上如何定位？与国际上大型的眼科企业ICON,AMO，参天等公司还存在怎样的差距，未来如何赶超？另外公司在与专业机构沟通的积极性上不足，公司登陆资本市场本应借力发展，希望公司对于中长期持有的专业投资人能区分对待，积极沟通",您好，我们公司与跨国公司爱尔康，参天，眼力健还有一定的差距，这种差距主要在他们是全球布局，我们现在只在中国销售。
25,你们家眼药水好像广告做的不多啊，都没怎么听过,您好，我们主要都是处方药，不能做广告。
