,Question,Answer
0,公司生产经营的季节性如何?哪几个季节是旺季?,"投资者，您好！
公司销售无非常显著季节性特征，但是由于一季度受到春节等因素影响，公司销售往往表现为下半年业绩好于上半年。
谢谢。"
1,公司现阶段发展过程中有何不足？面临的最大挑战是什么？公司有何应对措施？,"投资者，您好！
冠昊生物将立足再生医学产业，拓展生命健康相关领域，嫁接全球高端技术资源，持续在生物材料、细胞干细胞、药业以及先进医疗技术、产品业务领域布局，核心业务将形成“31”格局，即材料、细胞、药业科技孵化。公司自主研发大多数为创新性产品，有些属于世界首创，需要我们持续不断的努力和坚持，需要再生医学领域专家和从业人员的共同努力。感谢您的关注！"
2,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,"投资者，您好！
公司面临的具体风险请参见公司2016年度报告之“公司未来发展的展望”公司所面临的具体风险及应对措施。
谢谢！"
3,周总，你好，2017年这两个月里眼角膜手术完成了几例？预计什么时候能放量？,"投资者，您好！
市场推广有成效，具体销售数据不便在此披露，请在公司披露一季报后查阅。谢谢！"
4,请问公司管理层对2015年公司全年发展前景如何看待？是否有足够的信心让公司发展更好？,"投资者，您好!
公司所处的行业发展潜力巨大，我们将一如既往地勤勉尽职，推动公司发展战略的逐步实施、经营业绩稳定增长，为广大投资者带来合理回报。感谢您的长期关注与支持！"
5,公司今年的财务费用会有多少？,"投资者，您好！
公司2016年财务费用504.71万元。
谢谢！"
6,公司今年的业绩说明会人气比前几年的差了点，祝公司今年能翻身。,"投资者，您好！
公司历来尊重投资者，重视投资者意见，您的肯定是我们继续前进的动力！我们将一如既往地勤勉尽职，推动公司发展战略的逐步实施、经营业绩稳定增长，为广大投资者带来合理回报。
感谢您的长期关注与支持！"
7,请问净利润的增长率和销售收入增长同步吗？,"投资者，您好！
报告期内，公司实现营业收入31,278.97万元，比去年同期增长38.30%；营业利润为5,828.70万元，较去年同期减少5.49%，收入增长但营业利润减少的主要影响因素请详见年度报告第四节“经营情况讨论与分析”第一点“概述”部分。
谢谢！"
8,周总你好，再追问下眼角膜的问题“2017年，将会陆续授权给一些经过培训的代理商，以拓宽销售渠道”，是不是说明珠海祥乐对于眼角膜的推广不及预期，所以要再培训代理商？推广不及预期的原因是什么？,"投资者，您好！
新产品上市，培训医生的目的之一是让医生熟悉和接受新的手术方式，同时通过医生的使用和反馈不断优化术式；影响新产品上市进度的还包括物流通道（包括代理商培训）、患者接受等因素。目前，部分医生已具备手术能力，该批医生已完成初步的市场推广工作，可以有代理商推动销售。谢谢！"
9,朱总，你好，产业园二期现在完成情况怎么样？,"投资者，您好！
截至2016年12月31日，广东坤隆己完成基础工程、以及1-6层的梁板柱钢筋混凝土工程，完成主体工程总进度的81%。
谢谢！"
10,请公司管理层介绍下2017公司公司的布局，能否说下大概的毛利率是多少，谢谢！,"投资者，您好！
根据公司2015年制定的《2016-2020年战略规划纲要》，公司将立足再生医学产业，拓展生命健康相关领域，嫁接全球高端技术资源，持续在生物材料、细胞干细胞、药业、以及先进医疗技术、产品业务领域布局。核心业务形成“31”格局，即材料、细胞、药业科技孵化。公司现有产品的毛利率不尽相同，详情敬请查阅《2016年度报告》第四节 经营情况讨论与分析 二、主营业务分析章节，感谢您的关注！"
11,请问毛利率维持在什么水平比较理想，目前的水平是否还有提升空间？,"投资者，您好！
本年度公司膜类产品平均毛利率89.5%，代理品平均毛利率68.7%。目前公司平均毛利率较为理想。
谢谢！"
12,公司在税收方面有没有相关的优惠政策？具体税率是多少？,"投资者，您好！
  （1）公司膜类产品根据《财政部国家税务总局关于部分货物适用增值税低税率和简易办法征收增值税政策的通知》（财税[2009]9号）及财政部、国家税务总局下发《关于简并增值税征收率政策的通知》（财税[2014]57号）规定选择按简易办法依照3%征收率计算缴纳增值税。
   （2）本公司为国家需要重点扶持的高新技术企业，减按15%的税率征收企业所得税。此外，本公司之子公司税率详见年度报告“财务报告”部分“主要税种及税率”。
谢谢！"
13,周总，你好，，记得去年眼角膜的销售目标是1000万，今年还有定销售的目标吗？今年业绩的增长除了并表的业绩以外，还有那些方面值得期待？？,"投资者，您好！
优得清角膜产品属于自主创新产品，经过2016年半年多的市场摸索，我们已有初步的市场经验，目前正在抓紧推进中我对2017年销售情况充满信心。
今年是公司“31”战略布局初步形成之年，并购的业务持续增长，公司整体营销能力得以提到，再生医学材料新产品开始持续增长；苯烯莫德乳膏有望上市。谢谢！"
14,周总，你好，乳房补片推广了那么久，目前也只有广东武警医院一家在做吗？未来对于乳房补片的定位和发展是怎样？能收购或跟一些美容机构合作了推广吗？,"投资者，您好！
乳房补片产品采用自主研发技术，其推广需要医生探索新术式。经过一年多的市场摸索，我们已有初步的市场经验，目前正在抓紧推进中。谢谢！"
15,徐老您好！请问是什么原因造成了目前公司已经培训成功的近百名医生，无法做到每人完成一例眼角膜移植手术？,"投资者，您好！
优得清角膜产品采用全球首创的自主研发技术，其推广需要医生熟悉术式、通畅的销售通道、患者知晓和接纳等。经过2016年半年多的市场摸索，我们已有初步的市场经验，目前正在抓紧推进中。
 感谢您的长期关注与支持！"
16,目前优得清眼角膜的推广情况能详细介绍一下吗？推广中主要的困难是什么？目前已经有了100多位培训好的医生，有这么多的患者等待救治，为什么眼角膜迟迟不能放量呢？,"投资者，您好！
优得清角膜产品采用全球首创的自主研发技术，其市场推广需要一段时间才能见效。经过2016年半年多的市场摸索，我们已有初步的市场经验，目前正在抓紧推进中。谢谢！"
17,今年增发完成后，再下一次注入资产增发，申报起来必然受到证监会新规定的影响。在此我只想问 苯烯莫德若产生很好的效益，集团将以何种方式顺利快速注入上市公司？除了增发，还有其他注入模式吗？,投资者，您好！待苯烯莫德取得注册证后，将考虑在不增加上市公司财务负担的前提下，集团考虑采用以自有资金或银行贷款、发行债券等债务融资方式取得现金后收购股份，或者向其股东发行股份购买资产等，具体方式公司根据届时的实际情况确定。感谢您的关注！
18,徐教授好，请问公司的业务再生医学材料指的是什么呢？,投资者，您好！ 公司的再生医学材料主要是指一类以动物组织为原料，经系列创新技术处理后，具有良好的组织相容性，植入后不引起排斥反应，并能诱导机体组织生长的一类生物医学材料。 目前公司已上市的材料产品主要有：生物型硬脑（脊）膜补片、B型硬脑（脊）膜补片、无菌生物护创膜、乳房补片、胸普外科修补膜B型、胸普外科修补膜P型、优得清脱细胞角膜植片等。 感谢您的长期关注与支持！
19,优得清的润目镜何时能上市?,"投资者，您好！ 
目前润目镜的相关专利正在申请中，公司已经开展了小范围的试销。
谢谢。"
20,周总，你好，人工角膜今年预计能完成多少例？目前总共培训了多少医生？我在年报上也没把这部分给出来，是不是比预期少了很多？,"投资者，您好！
2016年，优得清角膜完成39例手术，目前已培训近百人，学术会议18场。2017年，将会陆续授权给一些经过培训的代理商，以拓宽销售渠道，我们对优得清产品充满信心。谢谢！"
