,Question,Answer
0,请问维生素a有没有研发计划,您好！公司研发计划根据公司发展战略而定。谢谢！
1,贵公司子公司预备进金融服务领域，是要做什么呢？是不是缺现金流了?,您好！公司全资子公司塑米信息投资“汕头市鑫创融资租赁有限公司”将补齐公司塑贸垂直电商生态圈中重要的一环，从而推动公司更快拉开与竞争对手之间的差距，未来将在融资、支付、大数据深度开发领域提升公司的核心竞争力，增强公司的盈利能力。谢谢！
2,公司在市值管理上有无计划   大股东持股分散对公司有无影响,您好！公司致力于追求价值最大化，为股东和投资者创造更多价值。公司无法左右二级市场的股价，但必将用良好的业绩回报广大股东。谢谢！
3,公司2018年会对产品结构进行怎样的调整呢？,您好！能特方面致力于从维生素E企业升级为维生素企业、适时进军新材料行业，通过不断的技术研发投入，采取自研和外合的方式，从中国新材料的短板中实现突破。塑米信息在产品类目上，在已稳定的通用塑料类目上，还将拓展PVC、煤化工等新品种。谢谢！
4,请问公司新品研发计划的方向?,您好！符合市场需求、有高收益、符合公司发展战略、有技术储备的优质产品都是我们的研发方向。目前，能特科技主要专注于医药中间体、原料药、营养品系列；塑米信息在优化系统和交易平台。谢谢！
5,公司今年有什么新的利润点吗？,您好，目前公司生产经营正常，有关利润的变动情况公司将及时对外披露，谢谢！
6,请问董事长 公司为何要参与收购华盛金矿  享宏全盛基金进展情况,您好！公司通过参与投资信托计划投资华盛金矿，旨在借助专业机构的资源优势，有效推动公司业务发展，加快实现公司延伸产业链、整合所属产业的战略规划，有利于公司健康持续发展。相关进展情况我们将按规定及时披露。谢谢！
7,请问能特科技目前维生素方面只有e 如何与新和成 巴斯夫 帝斯曼竞争成为全球领先者,您好！公司维生素E产品采用国内首创工艺，通过技术研发以较强的成本优势参与市场竞争，谢谢！
8,上海五天、海客瑞斯两家公司盈利情况如何？未来如何考虑？,您好，上海五天的中国梦谷园区，依托虹桥国家会展中心，投资性房地产不断增值，园区运营正常，在创新业务上不断投入，目前盈利状况尚可，未来将加大经营管理力度，提升公司的运营效率。参股企业海客瑞斯受行业整体的影响，持续经营性亏损，但对公司影响较小，谢谢！
9,你们业务方向太杂乱了吧？哪部分是重点啊？,您好！这只是您的理解，我们目前业务板块很清晰，是经过历史的检验沉淀下来的，并且有快速增加的势头，也有相互的关联性，相信我们的团队可以给大家带来良好的回报。谢谢！
10,请问陈烈权 未来在是否会返回公司任职,您好！陈烈权董事长是我们公司重要的大股东之一，一直关心、关注着公司的发展并起着关键性的作用，只要公司有需要，相信他随时可以回来。谢谢！
11,请问林家 和陈烈权各自持股分散对公司未来发展是否存在隐患,你好，不会。谢谢！
12,公司在拓展下游客户方面，有什么新的举措吗？,您好！塑米信息方面：塑米城现有全国8万多家注册用户，2018年还将持续拓展市场。2018年已新增签约国内外石化厂商代理协议几十家，2018年将在华东惠州市、西部的成都市设立运营公司，拓展新市场的业务，开拓更多更优势的下游客户；能特科技方面：在原有的优质客户基础上，进一步开发国外市场，寻求更多的优质客户合作。谢谢！
13,未来盈利增长点在哪里？,"您好！我们公司未来的增长点有：
1、我们能特科技维生素产品系列的延伸，未来发展战略是成为这个行业的技术领先者与全球基地。
2、塑米城将通过创新的模式做成行业的翘楚，并结合供应链金融做大做强企业的价值。
3、中国梦谷文创园将借力今年“中国进口博览会”在大虹桥国家会展中心召开的机遇，加快转型成为一线城市一流地段，全国最大的“文化体育综合体”，并将通过模式与品牌的输出，做大做强中国梦谷文创园事业。"
14,有没有拓展海外业务的打算？,您好！公司一直致力于拓展海外市场。谢谢！
15,关于公司的金矿何时可以公布勘探情况和储量情况？塑米未来业绩会有一个较大的增长吗？,你好，预计年底可以公布。塑米业绩未来会有较大的增长。谢谢！
16,请问公司的产品在国际同行业上是一个什么水平？,您好！公司通过不断技术研发和工艺创新，产品具有成本优势，在同行业中具有较强竞争力。谢谢！
17,公司回购的部分股票数量较少，会考虑进行注销吗？,"您好！公司累计回购股份共买入1,255,800股，占公司总股本的比例为0.0477%。本次回购的股份用作股权激励计划，如果后续涉及股份注销，公司将及时履行披露义务。谢谢！"
