,Question,Answer
0,公司的多种业务中，哪种利润最高？,您好！2017年公司换向器及集电环的毛利率为32.58%，高强弹性零件的毛利率为25.49%。谢谢！
1,许总，请问您是否会主动关注公司的消息面？,您好！作为公司的独立董事，时刻关注公司生产经营状况、财务管理和内部控制等制度的建设及执行情况，及时了解公司所处行业情况、实际经营状态和可能产生的经营风险，在工作中保持充分的独立性，维护了公司和中小股东的利益，谢谢！
2,国内市场基本饱和了吧，你们是不是主要做国外市场？,您好！公司为全球知名客户提供核心精密零组件一体化解决方案，公司向客户全球供货。2017年，内销、外销比例分别为49%、51%。谢谢！
3,贵公司与同行业企业比有何优势和劣势？,您好！公司的核心优势主要体现为精密产品设计、加工和全球知名客户；劣势相对来说产品主要应用于汽车行业，其他应用领域在公司产品中的比例较小。谢谢关注！
4,请问美元价格的波动对公司有什么影响？,您好！汇率波动对公司的影响主要表现在两个方面：一是汇兑损益，公司出口主要采用美元、欧元、港元结算，2017年公司发生的汇兑损失为543.36万元，占当期净利润的比例为3.56%，随着公司产能的进一步提升，若公司出口销售收入持续增长，将可能会因汇率波动而使公司产生较大的汇兑损益；二是出口产品的价格竞争力，若人民币持续升值，公司产品在国际市场的性价比优势将被削弱，从而影响公司的经营业绩。谢谢！
5,"请问公司指定为新能源汽车驱动电机连接器项目批量供应商,2018年10月量产，目前准备的怎么样？",您好！公司已获得采埃孚量产定点，目前准备工作顺利推进中。谢谢关注！
6,请问公司拟收购的汽配零部件公司目前进展如何？是否有成功的信心？,您好！公司收购smk事项已签署股份购买协议，后续进展情况公司将按照有关规定及时披露，请您关注公司公告。谢谢！
7,请问公司今年预备增加多少研发费用？,"您好！公司2017年研发支出6,054.58万元，比2016年增加2,082.10万元，增长52.41%。今年公司将进一步加大重点新产品的研发投入。谢谢！"
8,请问公司换向器主要分为哪几种？各自销售比重是怎么样的,您好！公司换向器产品广泛应用于汽车、新能源汽车三电系统、航空航天、办公设备、医疗器械、家用电器、电动工具、电气控制及其他领域。其中，汽车领域占比重较大。谢谢！
9,请问公司是否依赖大客户？,您好！公司在与核心客户长期合作过程中，与客户深度一体化，合作时间越久，与客户一体化程度越高，双方形成互信共赢的关系。谢谢！
10,在我理解，公司最大的优势是可以在深圳把武汉大学生的人才价值体现出来。特别是华中科技大学毕业生在国内移民之后的创造力是非凡的。这个是我投资公司的根本。现在二线省会和长三角对人才的争取力度也是空前。希望公司可以稳中求进的善待国内新移民员工，特别是刚毕业前几年的员工。,您好！人才是公司发展的核心资源，特别优秀的年轻人才代表公司未来的发展潜力，您的建议非常好，谢谢！
