,Question,Answer
0,公司是否会进军新的细分市场和领域，以及扩大市场占有率？如果会，请问新的领域现在占公司营业收入比重是多少？未来打算提升到多少？多长时间能实现？,公司致力于规道交通领域，公司将结合整合RPS的业务，引进RPS的先进技术和产品，扩大公司在国内的产品线。同时，通过RPS把凯发的产品推向欧洲市场。
1,公司现有产品最近价格是否稳定，最近公司产品出货量怎样？上游的企业是否大量备货？,"您好，公司产品主要应用于高速铁路和城市轨道交通牵引供电行业，属非标准化的定制产品，因此，较难比较不同项目、不同型号的产品价格。公司采用“以销定产”的生产模式，根据客户需求进行订单式生产，因此上游原材料的采购备货和产品生产发货情况主要依据客户项目的实际需求。目前，公司整体生产经营平稳。
非常感谢您的关注！"
2,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,"公司密切关注包括微博在内的舆情，对负面的消息，及时了解真实情况，根据反应的严重程度，通过澄清公告、邀请记者采访等形式，恢复投资者对公司的信息。
谢谢！

"
3,请问ＢＤ03和ＢＤ04这二个标段金额是多少？因为已经公示结束了？能否告知。,您好。您所说的两个标段未达到披露要求，不便披露，敬请原谅。非常感谢您的关注。
4,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,公司自成立以来，守法规范经营，公司不断建立健全内控管理制度，在制度层面防控风险。公司通过了质量管理体系、环境健康管理体系等认证，自成立至今，不存在因产品质量等的造成的负面影响。公司自成立以来，产品质量过硬，在北京地铁15号线、广州地铁项目等多次获得业主的表彰。感谢您的关注。
5,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,"您好，公司主要产品高度集中了计算机技术、通信技术、网络技术、电力电子技术、供变电技术、继电保护技术、自动化技术等，对技术开发和升级的要求较高。公司经过多年的技术研发和积累，已经申请并获授予了40余项国内专利。随着公司不断发展壮大，公司在轨道交通装备领域已经具有较高的市场知名度和市场占有率，成为轨道交通装备领域的领先厂商之一。公司主要从事高速铁路和城市轨道交通牵引供电相关业务，整体业务规模将随着国内和国际市场相关行业的投资规模而化。
非常感谢您的关注！
"
6,虽说股价波动是市场行为，但是，还是希望公司在提振股价、提升股东信心方面有所作为，不知公司有何想法举措？,公司致力于提升业绩，加强与投资者沟通交流以提升投资者的信心
7,去年的市场行情并不好，物价又涨，今年公司在市场开拓方面有什么计划？能否详细谈谈？,"您好。国内轨道交通的持续快速发展为公司发展提供了广阔的前景。
截止2016年12月31日，公司（及控股子公司）在执行合同共计约19.09亿元。随着公司重大资产购买实施完成，标的公司纳入公司合并报表范围，公司主要财务指标均大幅增长。在市场营销方面，国内业务将力保在国铁电气化铁路及高速铁路细分市场的领先地位，大力拓展城市轨道交通各城市相关业务；在海外方面，力保RPS在德国电气化铁路市场领先地位，同时加大东欧及北欧国家电气化铁路市场开拓。根据目前掌握的市场信息初步统计，2017年公司境内外新增订单和销售收入均将呈现稳步增长的势态。
非常感谢您的关注！"
8,做为高管你对公司的股价有何看法？股价的上扬能体现上市公司的潜质和气魄！希望管理层关心一下自己公司的股价！以提振二级市场的股东对公司的信心！！！谢谢,"公司的股价应该是公司经营业绩和实力的反映，但是受到股市诸多影响很大。我们相信在公司坚持不懈地致力提高业绩，加强与投资者交流，一定会提振二级市场的股东对公司的信心。谢谢！



"
9,"公司采取了具体怎样的应对措施,在同业中不断做大做强?","您好。2017年，公司将借助资本市场，积极推进再融资工作。
凯发电气在收购德国RPS后，为更好的发挥本次收购带来的协同效应，公司需要及时建设并实施符合行业趋势的产业项目以适应不断发展变化的产业环境，保持行业领先地位。一方面拟将RPS先进的固体绝缘开关柜、接触网关键零部件等产品、技术及施工能力等引进、吸收、转化为可满足国内轨道交通建设所亟需的高端装备和服务能力，并与凯发电气现有的轨道交通自动化优势产品契合，形成轨道交通一二次设备技术互通、产品联动、客户资源共享的业务规划和战略布局；另一方面，拟进一步提升德国RPS现有的轨道交通接触网业务水平和作业能力，以保证其与未来德国联邦铁路接触网建设投资大幅增长相匹配、巩固RPS在德国轨道交通接触网领域的领先地位，并增强RPS开拓德国境外“一带一路”沿线国家轨道交通接触网市场的能力、更好地服务国家“一带一路”战略规划的实施和凯发电气发展战略的实现。
通过再融资的实施，公司可以在充实资本实力的同时，加快推进技术引进和产品创新步伐，巩固和提升公司的行业地位和核心竞争力，进一步提升公司营运能力和盈利水平，为公司发展提供新的动力。
      初步完成国际化布局、搭建技术与产品转化平台
随着2016年度完成对RPS重大资产收购，公司将充分利用RPS国际业务的开拓，初步完成国际化布局。借助RPS在欧洲的丰富工程业绩以及品牌影响力，结合国家“一带一路”战略和“中国装备制造业走出去”政策，公司将搭建有效的技术与产品转化平台，加快引进新技术、新产品，同时将公司成熟和先进的产品与技术推向海外，公司将统筹利用境内外两种资源、两个市场，拓展国内和国际业务。
       公司承担巴基斯坦拉合尔轨道交通橙线项目PSCADA系统，实现了海外项目“零”的突破。该项工程是国家“一带一路”战略框架下中巴经济走廊首个签约的基础设施项目，也是巴基斯坦第一条城市轨道交通项目。该项目的成功取得是公司实施海外发展战略，深耕细作目标市场所取得的阶段性成果，对于公司在后续国际市场开发与经营必将产生巨大推动作用。
       2017年公司将与RPS共同搭建跨境研发和设计平台，共享资源，加快产品与技术互相转化，形成轨道交通一二次设备技术互通、产品联动、客户资源共享的业务规划和战略布局，实现与RPS战略协同发展，进一步增强公司竞争力。
       截止2016年12月31日，公司（及控股子公司）在执行合同共计约19.09亿元。随着公司重大资产购买实施完成，标的公司纳入公司合并报表范围，公司主要财务指标均大幅增长。在市场营销方面，国内业务将力保在国铁电气化铁路及高速铁路细分市场的领先地位，大力拓展城市轨道交通各城市相关业务；在海外方面，力保RPS在德国电气化铁路市场领先地位，同时加大东欧及北欧国家电气化铁路市场开拓。根据目前掌握的市场信息初步统计，2017年公司境内外新增订单和销售收入均将呈现稳步增长的势态。
       公司将不断引进各层次人才、吸取国外先进的管理经验、向重视制度设计、机制完善转化、完善公司管理体系，适应公司国际化发展的需求。
非常感谢您的关注。"
10,请问公司在财务结构上有什么不足，打算采取哪些举措。,您好，随着公司经营业务的快速发展和境外市场的不断开拓，公司整体营运资金有所短缺、资本实力尚显不足，在财务结构上反映出资产负债率相对偏高。目前，公司已通过实际控制人股权质押担保融资以及加强应收账款催收等方式补充营运资金，后续公司将通过再融资（已披露）等方式进一步补充营运资金、完善财务结构，谢谢。
