,Question,Answer
0,买了贵公司的股票后续是否有风险存在啊？,您好！公司股票价格波动不仅受公司经营状况、盈利水平的影响，同时还要受二级市场其他各种因素的影响，公司将严格执行上市公司信息披露制度，接受监管机构及投资者监督，提高经营与决策的透明度，加强投资者关系管理，确保投资者及时准确地了解本公司经营状况的变化，并为投资者审慎决策提供有效信息。敬请理性投资。谢谢！
1,请问，公司实施了股权激励计划，今年达到行权条件了吗？,您好，根据公司股权激励计划的要求，2016年度公司已完成了既定业绩指标。谢谢。
2,今后公司是否有新的并购计划？并购标的选择标准是什么？, 您好，未来公司将继续利用资本市场，主要会关注那些对产品、区域、细分行业有优势或者是公司所欠缺的业务标的，最新动态请多关注公司所披露的公告。谢谢！
3,抱抱眼镜叔叔，我要做一个安静的美男子，创业软件的名字是怎么来的,  您好！当年有一批年轻的创业者，立志于中国医疗信息化的建设，大家一致认同这是一项长期的事业，锐意进取，奋斗前行的过程中不断创新，所以取了创业软件的名字。谢谢！
4,请问，2016年末雅戈尔把一部分股份转让给张吕峥，这个雅戈尔主要是从哪些方便考虑？,您好，雅戈尔从08年投资我司，已经投资很长一段时间，对我司帮助非常大。去年年底由于其自身的资金安排，加上内部业务调整，才做出了减持计划，而张总适时受让了雅戈尔的股票是对其个人对公司发展的看好。谢谢。
5,2016年公司引进了哪些技术人才？,您好，为保障公司技术研发能力，公司每年都会有针对性的引进行业内的优秀的管理人员和技术人员，以提升了公司的管理水平，增强公司的技术研发能力，为公司长远战略目标的实施提供人才保障。谢谢。
6,请问公司是否存在重大诉讼或仲裁事项？,您好，公司目前不存在重大诉讼或仲裁事项。谢谢。
7,公司是否会炒作本公司股票？,您好，公司将会严于利己，遵守证券市场的规则，不允许发生和参与扰乱资本市场的行为。谢谢。
8,公司近三年来是否有违法违规行为发生？,您好，公司近三年没有违法行为发生。谢谢。
9,请问张总，是否感受到医疗信息化行业竞争的加剧，这么小的行业，是否可以容纳这么多上市公司？公司为什么要并购非医疗信息化公司？谢谢,  您好！中国医疗卫生信息化行业前景广阔，目前行业的信息化以业务管理和临床管理为主，近几年因为大数据技术的成熟，医疗细分领域蓬勃发展，尤其临床医疗大数据向人工智能迈进，各医疗学科的信息化发展大有可为。谢谢！
10,我要去贵公司看看，请问联系谁？,您好，可以先打投资者热线：0571-88925701.或发邮件的形式与公司证券法务部的工作人员联系。谢谢。
11,请问董秘，小股东通过什么渠道了解公司情况？,您好！公司设有证券法务部及投资者关系电话，深交所的网站上有投资者互动平台，这些渠道都可以与上市公司进行沟通。公司指定董事会秘书和证券事务代表通过电话、电子邮件、传真、接待来访等方式回答投资者的咨询；在公司网站设有投资者关系管理专栏作为公司开展投资者关系的一个窗口。谢谢。
