,Question,Answer
0,公司和中兴有没有业务上往来？,您好，公司与中兴通讯合作项目有流量运营，目前业务正常，谢谢。
1,人才储备情况怎样？,您好，作为一家IT企业，我们深刻认识到人才对公司发展的重要性。我们一直在人才储备、人才培养及实现人才价值上做着努力。在公司2018年的规划里要通过提升人力资源价值来推动公司转型升级。公司将将精英团队建设作为人力资源的核心工作。并进一步改造现有团队，从体制、机制入手，向员工赋能，赋予员工平台、机会和能力，让员工产生自发的、持续的创造力。同时，通过高端管理、技术、运营人才的引、用、留来带动公司综合能力提升。
2,董事长获五一奖章，希望带领公司继续努力，回报股东！,您好！谢谢关注。公司在陆文斌先生的领导下，将秉承“努力、真诚、和谐”的企业精神，坚持诚信为本的价值观，通过卓越的技术和力争极致的服务，实现公司发展目标，持续回报股东！
3,公司业务拓展为何只集中在四川、北京、河南？,您好，公司目前业务已经覆盖全国及海外多个国家，谢谢。
4,贵公司与运营商有何合作？,您好，感谢您的关注，目前创意信息与运营商的合作分为两种模式：一种是公司为运营商提供系统集成及技术服务，另一种是 共同合作流量运营。
5,飞机开始覆盖wifi，对公司有何影响？,您好，公司的WiFi业务目前服务于城市及周边信息化，飞机wifi覆盖暂时未涉及，谢谢。
6,应收账款为何持续增长？,您好！一方面公司2015-2016年连续并购了格蒂电力和邦讯信息，造成合并报表后应收账款余额增加；另一方面公司2017年营业收入大幅度增长，应收账款也相应增加。谢谢！
7,中美贸易战，公司是否受到影响？,"您好，感谢您对创意信息的关注。古人云：祸兮福所倚。中美贸易战，让国内认识到信息技术领域核心技术创新的重要性和自主可控的必要性。作为公司国产自主可控方向战略布局的北京创意公司定位是成为国内领先的云计算技术及混合云服务国产厂商，2015年开始致力于软件定义数据中心、超融合、自主可控产品的研发和销售，期间，陆续推出了自主品牌的系统软硬件产品,在国家强调自主可控及支持国产化浪潮的背景下，我们的自主产品在运营商、能源、政府等重点行业得以应用和推广。"
8,一季度净利润为何下降？,您好！2018年一季度归属于上市公司股东的扣除非经常性损益的净利润为2117.28万元同比下降4.94%，原因为：受到非经常性损益影响，且为配合公司战略，2018年一季度公司加大了创意流量项目、销售、研发费用的投入，使得净利润有所下降，但是公司业务布局和进展在2018年一季度开局良好，重点践行公司战略，围绕运营商、能源、公共安全、公共服务和海外业务五大板块，研发、管理等方向开展工作。谢谢！
9,一季度经营现金流为何大幅流出？,您好！公司受业务季节性波动影响，正常情况下1季度销售商品、提供劳务收到的现金少，而购买商品、接受劳务支付的现金按项目进度正常支付；且1季度的投标项目保证金等往来款支付量较大，造成经营现金流大幅流出。谢谢！
10,公司是否有继续扩产安排？,您好，公司一直为继续发展壮大而努力。谢谢。
11,公司在云计算上有何研究？,您好，感谢您对创意信息的关注。首先公司的流量大数据运营和产业大数据服务都会运用到云计算，公司最近一期的募投项目是：“基于大数据的运营云平台及其应用项目”，云计算为大数据提供支撑，云计算为大数据处理提供平台。再有，我们的控股子公司北京创意定位是成为国内领先的云计算技术及混合云服务国产厂商，目前主要业务包括自主，可控超融合架构私有云产品、数据中心解决方案及服务、云服务三大类。同时，公司还是VMware的核心级别合作伙伴。
12,公司目前在手订单情况如何？,您好，目前公司业务开展顺利，谢谢您的关注。
13,公司近期是否有融资计划？,你好，我们将根据公司的发展情况考虑相应的融资安排，并根据交易所的相关规定履行信息披露义务，请注意留意巨潮资讯网的公告，谢谢。
