,Question,Answer
0,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,投资者您好，公司以“遵守国家有关法律、法规和政策规定，以质量求生存、以服务求信誉，以人为本、开发创新，创优质品牌，为社会和用户提供优质的产品和服务，为股东创造丰厚的回报。”为经营综旨，不断夯实公司的内部价值，切实保护投资者权益。感谢您的关注!
1,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,投资者您好，公司辊压机等业务区域分为国内和国外，具体参见年报，辊压机（高压辊磨机）配套业务的国内市场占有率较高；航空零部件业务主要集中在国内西南地区。谢谢
2,请问公司如何看待上市公司的并购和市值管理？,投资者您好，公司踏踏实实做好主业，一方面努力稳定经营业绩，积极回报股东；另一方面结合实际情况探索资本运作模式，夯实公司的内部价值。谢谢
3,公司是否在考虑开拓新的领域？取得初步进展没有？,投资者您好，公司目前涉及运用于水泥建材、冶金矿山的辊压机（高压辊磨机）设备配套业务和航空零部件制造业务，除此外，目前尚未开拓其他经营领域。谢谢
4,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,您好，投资者，截止目前尚无相关计划。谢谢！
5,公司有没有哪些项目创新模式？,投资者您好，面临严峻的国内外经营环境，我们将积极探索创新模式。谢谢
6,公司在经营活动中主要对哪些环节进行质量控制？,投资者您好，经营活动中涉及产品质量控制的，公司严格参照所处行业质量体系标准实施必要控制，谢谢
7,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？,"     您好投资者，公司2017年一季度营业收入1.39亿元，较上年同期增长10.12%。详见2017年4月29日公告的公司2017年第一季度报告。
     2017 年，根据国内外经济发展趋势，公司主要产品下游水泥建材行业及其应用领域将会持续受到一定的影响。公司经营管理层将结合目前公司实际情况，继续加强主要产品的市场营销及推广工作，维持主要产品原有的市场份额，积极推动其他应运领域的市场拓展，公司计划全年新签订辊压机（高压辊磨机）及其配套业务合同 3.5 亿元。航空零件及工装设计制造业务依据公司与成都德坤航空设备制造有限公司原股东签署的《成都德坤航空设备制造有限公司股权转让协议》的相关条款，预计实现 5,096 万元税后净利润。 感谢您的关注。"
8,公司每次投资项目的可行性报告是否有详细说明公告？,投资者您好，公司所触及的投资项目视其具体情况进行必要的可行性分析，具体参见公司关于投资的相关临时公告。谢谢
9,公司2016年度的业务经营情况符合公司预期吗？,投资者您好，2016年经营业绩基本符合预期，谢谢！
10,公司的前三大客户是哪些公司？,"投资者您好，鉴于公司前几名客户中涉及保密单位，在此，我们就不详细说明，敬请您的理解。谢谢！
"
11,公司如何进行投资者关系管理，如何规划进行投资者回报的？,您好，投资者，公司严格按照《投资者关系管理制度》开展投资者关系管理工作。关于投资者回报请查阅公司《股东回报规划》相关内容。谢谢！
12,高叔叔好，公司的名字是怎么来的呢？,投资者您好，请查阅公司在首次公开发行股票招股说明书及年报中关于公司历史沿革的相关说明，谢谢！
