,Question,Answer
0,第二期职工持股计划将要解锁，但现股价远低于持股均价，王总是否需要为A份的持股人做出賠偿？,具体详见公司于2016年1月12日披露的公告。
1,请问截至到目前公司的营销有没有什么新进展，有看点吗？,经过过去几年的持续并购和业务布局，公司的数字营销业务获得了长足发展，在技术能力、服务能力、客户资源、数据积累、市场份额、业务规模、盈利能力等方面均有很大提升。
2,公司高管准备在什么时候减持？,请参阅2016年12月29日披露的利润分配预案公告
3,公司是否在河北雄安新区有业务？,公司的泵产品在河北市场有销售，在保定、高碑店、廊坊等地均有经销商。
4,关于公司与关联方共同参与发起设立保险公司的议案？公司是否除了燕赵人寿还要参与设立其它保险公司？,除了参与发起设立燕赵人寿，公司目前没有参与设立其它保险公司。
5,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,目前，公司在建项目主要有以下几个：东部产业集聚区基建项目；年产5万台高压和超高压清洗机及3000台高压管道清洗车技改项目；年产2000万只水泵配件技改项目；石化流程泵生产基地等。具体信息公司在年报中都有披露。
6,真心建议我们浙江老乡王相荣  你的魄力非凡，利用好雄安新区大建设契机大干一番事业，扎根新区创造马云般的奇迹,非常感谢您的建议。
7,如果按照10送25派现0.37来计算。除权后变成4元不到的垃圾股，请问董事长你什么想的？,低价股不等于垃圾股，谢谢。
8,请问公司目前产能多少？,目前产能能满足公司销售需求。
9,投资影视行业的3.5亿今年会有多少回报？,这是投资车和家项目的金额，不是投资影视行业的
10,面对公司的股价连续的下跌中，贵公司仍然坚持所公布的分配方案，面对投资者用脚投票的同时，贵公司的底气为什么这么足？这样是不是一个不负责任的上市公司的行为？贵公司如何保证中小投资者的利益？,截至目前，公司董事会办公室尚未接到调整分配方案的提议，若接到该方面提议，将按规则履行程序并及时披露。谢谢您的批评
11,董秘张旭波可以换人了，回答问题一点不专业，什么时候一季报都不知道。,目前，季报披露时间已调整为4月29日，谢谢。
12,建议银色琥珀文化传播北京有限公司到保定或雄安新区去开拓市场和招聘优秀人士加盟,感谢您的建议。
13,请问公司明年净利润能做到多少？,近几年，公司业绩保持快速增长态势，但目前尚未编制2018年财务预算，不能提供2018年盈利预测的具体数据，抱歉。
14,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,详见公司的年度财务报告
15,公司去年公告成立的多个并购基金处于停滞状态，请介绍后续推进的计划,2016年度，公司共发布了3个设立并购基金的公告，其中，利欧联创基金已成立并陆续投资了多个项目；利欧鼎晖基金是为海外并购目的而设立的基金，因为目前外汇管理政策的原因，该基金尚未设立；利欧微信生态圈基金尚未完成设立，公司在积极推动尽快完成基金设立。
16,请问公司以后每年都会用现金分红的形式回馈股东吗？,根据公司章程的规定，在当年盈利的条件下，且在无重大投资计划或重大现金支出发生时，公司应当采用现金方式分配股利，以现金方式分配的利润一般不少于当年实现的可分配利润的百分之十，且三个连续年度内以现金方式累计分配的利润不少于该三年实现的年均可分配利润的百分之三十。
17,截至目前公司的同比销售额有增长吗？,请参阅公司将于4月29日披露的2017年第一季度报告。
18,将来公司下属会有上市公司吗?,在公司参与投资的项目公司中，部分公司业绩优良，若符合IPO要求，公司将积极推动这些项目公司进行IPO申报。所以，不排除您说的这种可能。谢谢。
19,请问公司17年上半年是否有大股东减持的情况？,截至目前，不存在大股东减持的情况，公司也未接到关于大股东减持的任何通知。谢谢。
20,查阅年报，公司应收账款增多，并出现了坏账，而且为了拓展业务也给客户放了更长的账期，请介绍公司相关的控制流程。另外，我们理解业快速发展期间会牺牲一些现金流，请预测一下经营性现金流在多久可以匹配净利润？（2016年净利润5亿多，经营性现金流净额只有7000多万，严重不匹配）,"应收账款增多有多方面原因。一是公司整体业务规模快速增长；二是媒介代理业务的占比相对较高；三是公司在2016年度增加了流量资源的采购量。上述因素共同作用，导致经营性现金流出现较大比例的下降。
公司在接单时会综合考虑业务策略、项目毛利率、客户的支付能力和资信状况等因素确定应收款账期，为了确保应收账款的收款安全，公司将引入应收款保险并逐步扩大投保范围，同时，进一步加强合同审核，将收款风险控制在最小程度。"
21,请问公司股票截止2017.3.31号股东人数是多少？,详见公司将于4月29日披露的2017年第一季报告。
22,请问今年的营销额，公司给的任务是多少？去年的有没有完成？,2016年，公司已完成年初制定的销售目标。2017年，公司计划实现销售收入百亿的目标。（上述经营目标并不代表公司对2017年度的盈利预测，能否实现取决于市场状况变化、经营团队的努力程度等多种因素，存在很大的不确定性）
23,公司2016年度利润分配方案已经董事会审议通过，不会重新调整?21号不用讨论了吗？,尚需4月21日的年度股东大会审议批准。
24,公司近期是否有机构进行调研？,如有，公司会及时披露。
25,公司的股价持续下跌，是不是公司出了什么不为人知的问题,公司业务运营完全正常，不存在未公告的重大异常事项
26,过去几年那么多的收购，是否达到了预期目标？,在过去几年的收购重组中，公司都与标的公司原股东签署了业绩对赌协议，从标的公司实际实现的业绩指标来看，都达到了协议约定的承诺值。
27,请问公司高管在公布高送转后一段时间内是否有减持计划？,"请查阅公司公告
"
28,国家监管高送转，公司是否考虑更改高送转降低转股增加分红现金数量来提振股价，公司该考虑下了,您好，公司2016年度利润分配方案已经董事会审议通过，不会重新调整。谢谢。
29,鉴于现在加强高送转股的监管，公司是否会调整已公布的送转股计划？,您好，公司2016年度利润分配方案已经董事会审议通过，不会重新调整。谢谢。
