,Question,Answer
0,请问一季度业绩中  生物识别模组贴合机和高速点胶机增长情况是怎样的 谢谢,有关2017年一季度的情况请大家关注公司2017年一季报，谢谢！
1,请问公司准备在人工智能领域有哪些研发突破 谢谢,公司未来以专用装备制造结合智能化作为发展方向，拓展公司的产品结构和应用领域，提高下游客户自动化制造的渗透率，谢谢。
2,请问公司移动重载平台  市场开发取得订单了吗  谢谢,尚未取得订单，谢谢!
3,请问公司2017年财务预算是怎样的 谢谢,公司的经营业绩受多种因素影响，无法准确预测，谢谢！
4,请问公司今年是否有对外扩张的打算？在环渤海地区是否有意向？今年公司在市场开拓方面有什么计划？能否详细谈谈？谢谢,公司是专用装备制造企业，会根据下游客户的需求做出相应调整，以更好的适应市场的需求。
5,公司对新疆、内蒙、宁夏等西部同行竞争对手怎样的考量？你们的成本、管理、市场等优势体现在哪些方面？,公司处于中国电子工业的集聚区之一，深圳。与西部竞争对手相比，我们更贴近市场和客户，有着天然的地理区位优势。
6,请及时关注公司发布的定期报告，谢谢！,请及时关注公司发布的定期报告，谢谢！
7,关于2017年一季度的现金流情况敬请关注公司将于2017年4月26日披露的2017年第一季度报告全文。谢谢！,关于2017年一季度的现金流情况敬请关注公司将于2017年4月26日披露的2017年第一季度报告全文。谢谢！
8,公司目前面临的最大问题是什么？,公司面临的风险已在2016年年报中详细列出，请详阅，谢谢 
9,您认为目前公司面临的最大问题是什么？,公司面临的风险已在2016年年报中详细列出，请详阅，谢谢
10,在做项目之前是否对项目进行严谨的可行性研究？,是的。
11,请问公司目前产能多少？,公司为装备制造企业，产能瓶颈主要来源于生产场所面积等。公司通过租赁经营场所等来解决产能不足问题，谢谢！
12,截至目前公司的同比销售额有增长吗？,敬请关注公司将于2017年4月26日披露的2017年第一季度报告全文。谢谢！
13,请问净利润的增长率和销售收入增长同步吗？,"公司2016年实现营业收入人民币32,849.85万元，较上年同期增长27.60% ；实现净利润人民币5,216.61万元，较上年同期增长64.24%；其中归属于上市公司股东的净利润为人民币5,210.82万元，较上年同期增长62.64%，谢谢。"
14,请问今年的营销额，公司给的任务是多少？去年的有没有完成？,公司2016年的业绩完成情况，已在2016年报告中给予了说明，谢谢！
15,对公司未来有前景吗？,我们对公司未来的发展充满信心，谢谢！
16,"请问董事长,关于公司最新项目今年或以后有什么战略规划吗,如果有今年能进展到什么程度?",关于公司的未来发展规划，已经在公司年报中做了说明，请参考公司的2016年度报告，谢谢！
17,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,公司目前无金融机构贷款，谢谢！
18,一季度业绩怎么样？有没有机构来调查？,请关注公司发布的一季度业绩公告，另机构的调研公司已经形成相关记录公告，谢谢。
19,请问公司以后每年都会用现金分红的形式回馈股东吗？,公司会根据经营情况，发展战略，以及现金流情况等来制订利润分配政策，谢谢！
20,公司历次新增产能均能及时消化，公司一直保持了较高的产能利用率与产销率   这是过去，将来还会是这样吗？,未来公司的生产经营决策会根据市场等因素的变化来定，谢谢！
21,将来公司下属会有上市公司吗?,未来会根据实际情况做出决策，谢谢
22,董事长，您好！作为股民，我支持公司尽量在不扩大股本的情况下做大做强！,谢谢您的建议。
23,公司有没有股权激励计划？,目前没有时间表，谢谢！
24,公司新项目何时能对公司贡献利润？预计每年可实现净利润多少？,请及时关注公司披露的定期报告，谢谢
25,公司领导怎么看现在公司的股价，对我们这些看好公司的小散有什么忠告。谢谢,股价受宏观经济等多种因素影响，我们会努力把公司做好，以提升公司的价值。
26,请问公司股票上市时期价格多少，现在多少，还具有投资价值吗？,关于公司股票价格的历史情况，大家可以从各种股票软件中取得详细信息，谢谢！
27,公司每次投资项目的可行性报告是否有详细说明公告？,公司会按照证监会相关规定及时披露相关信息，谢谢。
28,我对贵公司是长期投资的，请问预计今年上半年会盈利多少？,公司盈利受多种因素影响，目前暂无法做出准确判断，谢谢！
