,Question,Answer
0,公司16年成立的公司会在17年产生利润吗,您好，公司有信心成立的公司将会产生积极的作用，谢谢。
1,截至一季度.贵公司新增加订单同比16年增幅多少？,您好，具体请关注公司未来在指定信批媒体发布的公告。
2,请问董事长17年能否放飞业绩呢？贵公司16年动作不断.会给17年报表产生多大影响？,谢谢您的关注。
3,公司17年有信心上亿元大关吗？上市那么多年.业绩相比以前没多大增长.不要着眼于2015年的基数.要相比以前！,谢谢您的关注。
4,请问2017年全年预计销售目标是多少？实现净利润的目标是多少？,您好，请关注年报的相关阐述，相关具体数据请关注届时报告。
5,请问张董事长，贵公司成立了诸多配售电公司，现在这些公司中哪些取得了相应的配售电业务许可证，哪些公司已开展了实质性的配售电业务。谢谢,您好，公司正在积极参与投资配售电业务，包括贵安新区配售电有限公司、宁夏生态纺织城配电项目等，并且投资成立了四家售电公司并取得售电资质，公司相关新业务团队在积极努力，以取得更好的效果，也请关注后续具体披露情况。
6,雄安贵公司有没有想法成立公司参与政策的红利呢？,您好！公司会积极关注雄安新区成立给电力设备行业及公司带来的发展机会，谢谢您的关注。
7,公司有没有想法在雄安千年大计分一杯羹？,您好！公司会积极关注雄安新区成立给电力设备行业及公司带来的发展机会，谢谢您的关注。
8,贵公司有没有中标国网产品.15年被通报了.国网订单同比增长还是下降？,您好，公司2016年中标国网产品同比2015年为增长。
9,截止今天贵公司新签订合同同比增长多少,2016年，公司新签合同21.52亿元，同比增长11.62%。公司后续将定期披露相关订单合同情况，谢谢。
10,公司未来五年的目标是多少？能够实现吗？,"您好，公司将继续发挥事业部的中心职能，强化利润目标，在新的市场形势下，继续发挥 “要成功、自身硬”的精神，在“升级转型、双轨并进”的指引下，以破孤岛、优流程、提速度、上台阶为指导思想做好新一年的经营工作，以公司业务发展需求为驱动，以公司信息化建设为切入点，优化公司业务流程、加强公司业务单元和职能单元的组织建设，坚决推进公司战略转型------高质量、低成本、市场响应速度快、持续改进。
在电力设备制造业务方面，继续稳固现有两网市场，加大招投标力度，确保公司未来合同的进一步增长，并积极进行郑州生产基地的建设，为后续提升产能做好准备；同时进一步积极拓展电网外市场，加强用户工程销售队伍建设、强化绩效考核、加大奖罚力度，为公司未来更全面的发展奠定基础；在电改机遇下，公司将积极拓展配电网电力运维、电力服务等多方面业务，为未来成为领先的智慧能源服务商做好铺垫。
在智慧能源与电力服务方面，能源服务争当第一，工程设备保短期效益，技术手段提升门槛，大力开拓售电业务，有选择的投资增量配网项目和新能源项目。
公司将持续开源节流，一方面公司将继续加强成本管控，提升管理效率，加大供应商管控，降低成本，一方面通过加大渠道开拓、充分利用公司资质优势以及一二次设备配套齐全的优势，获取优质订单，提升公司毛利水平，保证公司运营目标的实现。
"
11,贵公司有没有并购标的？或者收购一些公司增加业绩呢？,您好，通过并购来提升公司规模和利润，也是公司重点的方向，公司目标能找到具有协同效应的标的，创造一加一大于二的效果，谢谢。
12,请问张董事长，公司为适应电力体制改革要求，自去年起在全国成立诸多能源管理公司，拟从事配售电业务，请问这些公司有哪些取得了主管部门的配售电业务许可证，哪些公司开展了相应的配售电业务，能否为公司2017年贡献利润。,您好，公司正在积极开展配售电业务，包括贵安新区配售电有限公司、宁夏生态纺织城配电项目等，并且投资成立了四家售电公司并取得售电资质，公司相关新业务团队在积极努力，争取为2017年贡献利润。
13,请问净利润的增长率和销售收入增长同步吗？,您好，收入增长会带动利润的增长，但利润变化将受到成本、费用等其他因素的影响。
14,17年的股权激励费用1600w的话会不会大幅影响当年利润？,"1600万元股权激励费用摊销确实是公司2017年比较大的一笔费用，但公司有信心通过业务量的增加来消化该部分费用。谢谢您的提问。
"
15,公司目前面临的最大问题是什么？,您好，随着新业务的不断开展，公司亟待补充高层次的专业人才。
16,请问公司今年营收的增长能超过行业的平均水平吗？,您好，公司目前合同和收入均保持了良好的增长势头，公司有信心让营收保持增长势头，由于不确认行业未来增长速度，因此暂时不好比较，但是和公司以往相比，公司近几年一直保持了高于行业发展的收入增速的势头。
17,公司是否会计划多元化发展？,您好，公司在立足于电力设备制造和智慧能源电力服务外，也会寻求与主营相关的外延并购机会，增加协同效应，提高公司毛利水平，谢谢。
18,请问公司的分配预案达到承诺的分红比例吗？,您好！公司2016年度利润分配预案中现金分红金额占当年实现的可供分配利润的比例为56.14%，已超过《公司章程》及《未来三年股东回报规划（2015-2017年）》中的承诺比例。谢谢您的关注。
19,公司预计2017年业绩较去年同期是上升还是下降？若上升，则增幅是多少？,您好，公司《2016年限制性股票激励计划》中已披露公司2017年、2018年相比2015年，净利润增长率分别不低于80%和100%。公司管理层有信心以此增长率为起点，继续发挥事业部的中心职能，强化利润目标，在新的市场形势下，继续发挥 “要成功、自身硬”的精神，在“升级转型、双轨并进”的指引下，向着更高的目前前进！
20,请问老总公司今年净利润同比增长多少？,您好，公司《2016年限制性股票激励计划》中已披露公司2017年、2018年相比2015年，净利润增长率分别不低于80%和100%。公司管理层有信心以此增长率为起点，继续发挥事业部的中心职能，强化利润目标，在新的市场形势下，继续发挥 “要成功、自身硬”的精神，在“升级转型、双轨并进”的指引下，向着更高的目前前进！
21,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,您好，公司有专门的技术研发中心，公司自创立以来一直非常重视研发和技术创新，公司年报也具体阐述了目前的部分研发成果，敬请关注，公司未来也将继续推动原有产品的技术升级、新产品研发、一二次融合等多方面的发展，确保公司在配电设备领域的技术领先，谢谢。
22,公司去年主打产品的销量是多少？,您好！请参见公司2016年度报告第16页中占公司营业收入或营业利润10%以上的行业、产品或地区情况。谢谢。
23,与丰年资本合作一年了.贵公司有没有进入军用市场？,您好，公司通过和丰年的战略合作，跟进了相关军工项目，公司将根据相关信批要求进行相关披露，请届时关注。
24,贵公司一季度摊薄费用这么点为啥亏损500-1000w.一季报开门不利.预期全年2016年同比增长有信心吗？,"谢谢您的提问。
除了费用摊销增加外，公司所处行业存在明显的季节性，一季度实现收入通常偏少。公司2107年正在上线实施SAP管理系统也影响了发货和收入的确认。"
25,能简单的介绍下新项目的情况吗？,您好，相关项目情况公司将按照信披要求进行披露，请届时关注，谢谢。
26,公司截至目前为止都有哪些子公司和参股公司？,您好，公司具体控股参股公司请查阅已披露的《2016年度报告》第39~44页。
27,公司智能配电网技术研发中心与公司项目总部投资1.8个亿有效果吗？,您好！该项目作为总部基地，同时也为公司技术研发提供了必要的硬件条件及设施，其效益将会在未来经营中间接体现。
28,公司截止至今的产品有多少个种类？,目前，公司的产品基本涵盖了配电系统的一次设备，并形成了四大系列产品，如中低压开关系列产品（中置柜、柱上开关等）、配电变压器系列产品（美式箱变、欧式箱变、硅钢变压器以及非晶变压器等）、配电网自动化系列产品（环网柜、重合器、模块化变电站等）、配电设备元器件系列产品（GRC外壳、电缆附件等）；也涵盖了部分二次设备，如故障定位类系列产品（故障指示器等）、电力电子系列产品（无功补偿、超级电容等）。
29,公司今年有新投资的项目吗？如果有，当年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,您好，公司也在不断寻找、接洽、谈判、跟进一些新的项目，具体的进度会按照相关披露准则进行披露，敬请关注，利润贡献则取决于项目本身的利润情况以及相关项目操作的时间节点情况，谢谢。
30,贵公司16年成立了那么多公司.请问现在开始生产的或者17年会合并报表的有哪些企业？,"谢谢您的提问。
公司2016年成立的拥有控股权的公司均会纳入公司2017年的合并报表范围。"
