,Question,Answer
0,请问公司今年营收的增长能超过行业的平均水平吗？,你好，公司2017年度计划实现营业收入13.39亿元，详见2016年年度报告。谢谢！
1,公司去年财务费用和管理费用怎样？同财务费用相比呢？今年有没有折旧？请问管理费用今年会能稳定吗？,您好！相关详细信息请查阅披露的公司年报。公司通过加强管理，控制费用支出。谢谢！
2,公司今年有新投资的项目吗？如果有，当年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,您好，公司已披露2017年投资计划，敬请查阅相关公告，谢谢！
3,杜叔叔好，公司的主营业务是什么？,主营业务：生产硝化棉、硫酸；销售危险化学品（以上经营项目和期限以许可证为准）；进出口业；通用设备制造业；专用设备制造业；黑色金属冶炼及压延加工业；有色金属冶炼及压延加工业；金属制品；机械设备修理业；商品批发与零售；技术推广服务；废弃资源综合利用业。
4,郭叔叔好，公司是什么时候上市的？,您好，公司股票于2008年6月在深交所上市，谢谢！
5,公司每次投资项目的可行性报告是否有详细说明公告？,您好，项目可行性研究是实施项目投资的依据及基础，公司严格遵照相关监管规则积极履行信息披露义务，谢谢！
6,请问公司明年净利润能做到多少？,您好！请关注公司公告信息。谢谢！
7,请描述一下公司未来的发展前景，谢谢！,您好，公司未来将继续巩固硝化棉行业全球领先和特种工业泵细分领域国内领先的地位，坚持创新驱动发展，着力实施“国际化、高端化”品牌经营战略，借力于资本市场平台，推动产业发展和结构调整，立志打造全球领先的纤维素产业和环保装备产业集团。谢谢！
8,请问公司今年是否有对外扩张的打算？今年公司在市场开拓方面有什么计划？能否详细谈谈？谢谢,您好，公司将优化产品结构调整，充分挖掘生产组织内生动力，持续深化“国际化、高端化”经营战略，提升市场运作实力。谢谢！
9,请问具体联系证券代表的电话是多少？,您好！证券部电话08302796924。谢谢！
10,如果我想对贵公司长期投资，能给我一个长期持有的理由吗？,我们尊重您的价值判断与选择，谢谢！
11,公司对同行竞争对手有怎样的考量？你们的成本、管理、市场等优势体现在哪些方面？,您好！公司自成立时就处于一个完全竞争的市场环境，通过竞争，更加有利于公司技术进步和管理创新。公司通过集中采购管理、建立严格的内部激励约束机制、构建全球性经的营销网络，已经具有较强的竞争优势地位。谢谢！
12,公司是否具备长期投资的价值？你是怎么看的？ 如果有机会，你会增持吗？,您好，公司是否具备长期投资的价值需投资者自行判断，同时公司也会努力做好各项经营工作以提升长期投资价值。
13,请问公司以后每年会用什么形式回馈股东？,您好，我们将加快公司发展，提高经济效益，积极回投资者，谢谢！
14,请问公司股票上市时期价格多少，现在多少，还具有投资价值吗？,我们尊重您的价值判断，谢谢！
15,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,"您好，2017年，公司计划投资项目50项，本年计划投资额6,827.30万元，主要包括西安分公司废酸处理升级技术改造工程、西安分公司硝基漆片技术改造项目、中压锅炉废气治理及新建固废堆积场，泸州分公司配酸环境治理、新建废水站污泥转运场等。上述项目资金来源均为自筹。谢谢！"
16,业绩说明会本来应该是恳谈会，将企业目前的处境，面临的困难，预计的风险和相应应措施清晰告诉股东。,感谢您的建议，公司希望通过业绩说明会与投资者形成良性互动，增进投资者对公司的了解，谢谢！
