,Question,Answer
0,请问剔除阶段性投入四季度业绩增长如何？谢谢！,您好！公司第四季度经营情况已于《2017年度报告中披露》，对九味镇心颗粒加大投入是公司实现经营目标的必要手段。
1,公司一直支持京津冀协调发展战略，请问有无在雄安布局的计划？,您好！公司已在河北省沧州市设立分公司，并在渤海新区生物医药产业园内建设原材料生产基地。
2,王叔叔好，王旭总经理，公司地处北京吗？我怎么觉得像是重庆的公司,您好！公司注册地址在北京市密云区水源西路3号，办公地址在北京市海淀区西直门北大街32号枫蓝国际写字楼A座7层，欢迎莅临指导。
3,请问参股公司芝友医疗与同行业艾德生物有无可比性？能否达到艾德生物的高度？ 世和基因是否已取得基因测序试点资格？,"您好！芝友医疗致力于肿瘤个体化诊断与心血管基因检测产品的研发与产业化，大力推动个体化医学在临床上的应用，并在该领域内处于领先地位，并已取得基因测序试点资格。
"
4,请问公司是否发起设立产业并购基金，增强行业整合力度？谢谢！,您好！公司将视业务整合等情况，适时推进产业并购基金的发展与运作。
5,请问出口量较小的原因是什么？国外的都进来了，也应该走出去？未来公司国际业务有没有继续扩大的对策措施？谢谢！,您好！对比剂出口需要经各国认证和审评，公司已取得部分国家的资格许可，尚有部分国家的资格许可等正在申请和办理中。公司将在努力扩大在国内的市场规模的同时，积极扩大国际出口业务数量。
6,总经理您好，陈圆圆为您的配偶，请问陈圆圆女士拍得的股权有何考虑？是否认为公司估价过于低估？ 有无减持计划,您好！陈园园所持公司股份为首发后限售股，目前仍处限售期。
7,请问董事长，对比剂国际业务开展情况如何？谢谢！,您好！公司对比剂产品已开展国际业务，但目前出口量较小。
8,请问国内对比剂行业发展如何？是否存在行业进一步整合的机会？比如和其他国内外竞争对手之间，谢谢,您好！IMS数据显示，国内对比剂的市场规模持续稳定增长；恒瑞医药、扬子江、GE、拜耳、博莱科和北陆药业六家市场参与者共占有90%以上市场份额。
9,公司估计持续下跌，远远跌破董事长的增持价格，请问董事长有继续增持的计划吗？提升公司形象，增强股东信心，有利于品牌和并购。谢谢！,您好！感谢您的建议。公司将持续关注持股5%以上股东及董事、监事和高管的持股变动和计划，并及时披露。
10,今年有啥新计划吗？有新收购标的吗？,您好！公司《2017年年度报告》中已披露2018年度工作计划，请参见巨潮资讯网。
11,贵公司为南京世和基因科技有限技术公司大股东，南京世和基因科技有限技术公司是否有上市计划，具体估值多少？,您好！公司是世和基因仅次于其创始团队的第二大股东，该公司发展规划等信息，请以该公司的披露为准。
12,在新闻上看到王旭总经理积极参加投资届的交流会，并且公司在精准医疗的产业链上有持续布局意愿，这个方向非常好，不知是否公司有自己组建研发团队的想法，如外延式发展，是否有看中的标的，进展如何，希望总经理能在不涉密的前提下透漏一些进展给投资者，不要只是说将持续布局，具体布局进展请告知一二。祝元宵节愉快,您好！报告期内，公司受让芝友医疗股东所持该公司15%的股权，持股比例增至25%。公司将继续加强在精准医疗领域内的战略布局，并将根据《深圳证券交易所创业板上市规则》等规定披露信息。元宵节快乐！
13,布局精准医疗是非常有前景且造福百姓的事业，精神类药物也很有前景，公司的思路非常好，且关注到总经理王旭先生参加过投资界的交流活动，请王总在外延式布局方面能透漏一些发展状况，给投资者一些信心，不要只是说将持续布局，在不涉密的前提下，尽可能多透漏一些布局的具体进展,您好！报告期内，公司受让芝友医疗股东所持该公司15%的股权，持股比例增至25%。公司将继续加强在精准医疗领域内的战略布局，并将根据《深圳证券交易所创业板上市规则》等规定披露信息。
14,公司四季度利润下滑，在年报中指出是由于增加支出，请问增加的支出具体用于哪个方面？,您好！公司阶段性资源投入增大，导致公司第四季度业绩受到一定影响，净利润不及前三季度。精神类产品九味镇心颗粒报告年度被列入《国家基本医疗保险、工伤保险和生育保险药品目录》（2017年版），IV期临床结果进一步验证了该产品在广泛性焦虑症治疗中的安全性和有效性，为该产品的推广带来信心和机遇，公司在整合资源挖掘该品种的市场潜力，以此为契机积极调整销售策略，第四季度公司对该产品的营销团队、市场人员进行整合扩充，配备专业管理团队，为尽快提升该产品销售规模奠定基础，尽快提升销售收入和该产品在广泛性焦虑症治疗方面的专业品牌形象和影响力，力争未来几年内九味镇心颗粒成为公司未来的主要收入来源之一。
15,请问公司九味镇心颗粒的专利保护方面何时到期，是否有被其他公司仿造的风险？,您好！公司九味镇心颗粒的专利保护期至2026年，是国内第一个、也是目前唯一一个通过国家食品药品监督管理总局批准治疗焦虑障碍的纯中药制剂。
16,是汪旭吗？叔叔还是女士？请问什么是对比剂,"您好！WANG XU，男。
对比剂，又称造影剂，是为增强影像观察效果而注入（或服用）到人体组织或器官的化学制品。这些制品的密度高于或低于周围组织，形成的对比用某些器械显示图像。"
17,对比剂业务未来继续保持高于行业发展速度，维持较快增长20%以上，公司有信心吗？九味四季度销售模式优化，这次是否有信心把销售提高到新的台阶？谢谢！,"您好！公司对比剂产品多年来保持稳定增长，随着碘帕醇注射液和碘克沙醇注射液的逐步放量，对比剂产品有望实现快速增长。
报告期内，九味镇心颗粒被列入《国家基本医疗保险、工伤保险和生育保险药品目录》；同时，九味镇心颗粒完成IV期临床，结果进一步验证了该产品在广泛性焦虑症治疗中的安全性和有效性。以此为契机，公司坚持自营与代理相结合的销售模式，积极调整销售策略，重新打造自营销售团队、遴选富有开拓力的代理商，以期在未来几年迅速提升销售收入，树立公司在广泛性焦虑症治疗方面的专业品牌形象和影响力。"
18,您好，公司的董秘是招商地产的吗？谢谢，介绍一下公司的主营业务，虽然公司是创业板首批公司，其中有几只来自医药企业，除了中元华电，红日药业、莱美生物、爱尔眼科、北陆药业都是医疗或者医药企业,您好！公司董秘是北陆药业的。
19,请问公司业务拓展未来计划如何？近三年有没有继续并购计划？,您好！公司将继续围绕医学影像、精神神经、精准医疗领域，在主营业务良好持续发展的同时不断寻找产业整合机会并积极培育新的利润增长点，以此不断巩固和提升公司核心竞争力。
20,请问公司业务拓展未来计划如何？近三年有没有继续并购计划？,您好！公司将继续围绕医学影像、精神神经、精准医疗领域，在主营业务良好持续发展的同时不断寻找产业整合机会并积极培育新的利润增长点，以此不断巩固和提升公司核心竞争力。
21,公司的产品格列美脲片和瑞格列奈片一致性评级工作均已进入临床研究阶段了吗？公司未来有何打算？,您好！。报告期内，格列美脲片和瑞格列奈片一致性评级工作均已进入临床研究阶段。降糖类产品是公司重要的业务领域之一，公司将保持目前的销售策略和方式，努力提升产品销售规模。
22,贵司在近期公司完成的IV期临床试验中，证明了九味镇心颗粒治疗广泛性焦虑症的安全性及有效性。请问贵司九味镇心颗粒是否可以申请非处方药，需要满足什么样的要求才可以？,您好！根据相关法规制度，九味镇心颗粒可以申请转为非处方药。
23,请问法院接下来何时进行拍卖处置，强制执行并购赔偿事宜？对公司严重影响。希望公司尽快处置维护股东利益。谢谢！,您好！公司将积极配合法院推进强制执行事宜，全力维护公司及全体股东的权益，并及时相关披露相关进展，敬请留意。
24,世和基因是癌症个体化医疗诊断的先行者，由2008年末一批开始致力于高通量全景癌症基因测序研究的北美华人科学家创立，北美总部坐落在加拿大多伦多，此外世和在美国斯坦福大学设有生物信息学分部。经过近10年的积淀，世和基因已发展成为国内肿瘤NGS和ctDNA领域的领军企业。作为研发驱动型企业，世和基因致力于通过技术创新，为临床提供切实需求的肿瘤精准检测方案。 希望公司能够研究更多更好的成果。看好公司哦,谢谢您！我们继续努力，争取更好的业绩回馈广大投资者。祝您元宵节快乐！
25,董事长您好，我想请问下，你们今年会进行一个工厂的扩张吗？对于现在的订单情况，处于饱和状态吗？,"您好！公司在沧州分公司建设的二期工程正有序推进，预计年内实现钆喷酸葡胺原料药生产基地正式投产，保障钆喷酸葡胺注射液的生产与销售。
公司目前的产能可充分满足产品的市场需求。"
26,“两票制”的实施，对公司的业绩和业务造成了哪些影响？公司将如何应对？,您好！“两票制”对公司降糖类产品有一定的影响。公司将加强营销管理，通过扩大销售规模等手段降低该因素的影响。
27,总经理您好，证监会鼓励生物科技独角兽公司上市，请问世和基因与芝友医疗是否有上市计划？世和基因与芝友医疗是否属于独角兽公司？,您好！世和基因和芝友医疗在各自的细分领域中均处于领先地位，具有明显的竞争优势。关于其发展规划等信息，请以上述两家公司各自的披露为准。
28,请问总经理，公司在精准医疗持续布局，尤其在靶向药和免疫治疗领域，是否有意向公司在谈判或交涉，进展如何？,您好！精准医疗是公司的重要战略方向，公司将在此领域持续布局，并将根据《深圳证券交易所创业板上市规则》等及时披露相关信息。
29,是否计划增加对武汉友芝友医疗的投资？,您好！精准医疗是公司的重要战略方向，公司将在此领域持续布局，并将根据《深圳证券交易所创业板上市规则》等及时披露相关信息。
30,请问王旭总经理，公司布局精准医疗，对于靶向药，细胞免疫治疗方面，是否已经有意向标的在谈判？,您好！精准医疗是公司的重要战略方向，公司将在此领域持续布局，并将根据《深圳证券交易所创业板上市规则》等及时披露相关信息。
