,Question,Answer
0,李总，你好！请问公司到底是干啥的，为什么油价涨跌对公司经营没太大影响，人民币贬值对公司经营也没太大影响,尊敬的投资者您好！感谢您对公司的关注。国际油价的涨跌、人民币汇率波动等对相关行业均会产生一定程度的影响，公司将利用在行业积累的相关资源和各项风险应对措施，防范由于国际油价的涨跌、人民币汇率波动给公司带来的影响，按照既定的发展战略，推进公司经营的稳定发展，实现投资者利益最大化。谢谢。
1,控股股东百分之60多的股份，现在有没有质押？如果有质押的情况是什么？,"感谢您的提问，控股股东方目前质押的股数为387,660,420，若需了解详情，请查阅年报公告。"
2,总得来说，中国华信是不错的公司！我也相信李董事长是会兑现对投资者的承诺。就算华信国际再跌一半，我也会坚持持有。用时间换空间。等到你们认为股价定增能够满足中国华信的利益时再注入的时候。小散发点牢骚，不要介意。主要是和你们高管直接聊天的平台太少。信息方面也没有。公司网站没建立，互动平台和今天一样也是冠冕堂皇的话为主。公司大了，一言一行都不是随意能够发表的，表示理解！,答：感谢您长期以来对公司的信任与支持，公司管理层一定努力经营，勤勉尽职，为公司的发展奉献自己的力量。公司将利用各种沟通平台保持与广大投者的有效沟通。谢谢您的参与！
3,最后再说一次，希望明年的说明会我们都能看到管理层的能力，而不是一直抱怨，同时也对今天有些恼火的发言向你们道歉,答：感谢您对公司的支持与理解，公司会利用各种沟通平台与广大中小投资者保持良好的沟通机制，谢谢您今天的参与！
4,请问李董事长，大股东上海华信持有百分之60多的股票，2016年公告与今年解禁，这是悬在投资者头上的一把剑，请问今年准备解禁吗？,答：公司控股股东所持公司股份解禁并不代表即将减持，公司全体股东利益是一致的，公司控股股东会遵守相关承诺，不会损害公司以及广大中小投资者的利益。谢谢！
5,我非常关心公司之前发出的并购基金，想问一下董秘 现在基金进展如何了？,现阶段，公司发起设立的并购基金正稳步推进当中。公司与上海实业集团有限公司下属子公司上海国际创投股权投资基金管理有限公司于2016年4月14日签署《合作备忘录》，公司拟出资人民币400万元人民币参与设立上海格胜股权投资基金管理有限公司，并由基金管理公司发起设立并购基金。截止2016年12月31日，上海格胜股权投资基金管理有限公司已完成工商登记，但双方尚未出资。公司将严格按照相关法律法规以及监管要求，根据基金的运作情况按规定严格履行信息披露义务，敬请关注公司发布相关公告。
6,不是投资者不满意，你们自己看看股价和市场，也不知道你们怎么经营管理的,答：公司近年来积极进行资产整合及产业转型，并取得良好的成效，公司管理层勤勉尽职，为公司的发展做出的卓越的贡献。谢谢！
7,赵叔叔好，公司的上市时间是？当然，此前的名字叫华星化工，目前华星化工是否处于正常运营的状态,"你好。2004年6月10日，经中国证券监督管理委员会证监发行字[2004]93号文批准，公司向社会公开发行社会公众股2,000万股，并于2004年7月13日在深圳证券交易所挂牌交易。安徽华星化工有限公司已于2015年完成剥离，目前已不在上市公司体系内。"
8,李总您好，公司作为深港通标的，上市公司是否有引进境外投资者的计划？,答：公司欢迎各类投资机构对我公司的关注，为公司的发展提供帮助。谢谢！
9,被华信已经磨的没脾气了。你们说业绩支撑市值。那华信的市值最多值80个亿，为什么现在还有近200个亿。这是泡沫，大股东资产不注入，市净率那么高。两年了，说好的重组说外国央行流程慢，当时启动的时候应该考虑到吧。一个有国际视野的公司连最基本的国情都不知道吗？这个不说了，从去年到现在又快一年了，难道一点进展都没有？不公告。并购基金也是摆设，以前注入金融资产国内阻力很大吗？还是内部意见不统一？画了个大饼把散户忽悠进入，然后就一个中止重组的公告。业绩是在增长，但是就连现在的市值都支撑不住有什么用？希望李勇董事长将精力多放到上市公司一点。或者让实际间接持股的人来管理公司。在中国就一个上市公司弄得跟后妈生的……,答：感谢您的关注与提问，公司利益与广大投资者利益是一致的，非常理解投资者的心情。公司管理层勤勉尽职，努力经营，争取以良好的业绩回报广大投资者。谢谢！
10,崔总，你好！请问目前公司正逐步推进金融业务，但看年报，公司金融业务收入仅体现在保理收入，请问公司未来金融业务将会向那个方向拓展？,未来公司在金融领域一方面将继续夯实现有的金融板块业务，深耕公司能源产业链，沿着能源产业链开展保理、融资租赁等一系列服务，与公司产业链实现深度协同互动，另一方面公司将在现有金融业务的基础上继续寻求机会通过投资并购等手段进一步拓展金融板块的业务领域，最终形成完整的金融业务布局。
11,面对这样的股价，以及公司积极乐观的心态，形成了强烈的反差，2年了，我一直认为做价值投资，相反带来的却是投资失败，如果真的如公司所说的那样保护中小投资者的利益的话，为什么两年了，公司都没有相关举措应对公司喋喋不休的股价,答：股价波动受多种因素影响。公司近两年来积极进行资产整合以及业务转型，并已取得良好的成效。感谢广大投资者对于公司价值的认可。谢谢！
12,李总您好，上市公司层面除了哈萨克斯坦dgt之外，还有其他有关“一带一路”的业务或者规划吗？,答：关于公司的发展规划请参见2016年度报告中相关说明。谢谢您的关注！
13,管理层都是号称精英，管理这样一个有价值的公司，可是公司在资本市场的股价确是如此糟糕，难道投资机构都是傻子没有发现贵司的投资价值?只有我们这些散户傻子相信了你们公司，相信了你们的管理能力！,答：公司利益与广大投资者的利益是一致的，公司致力于做好经营管理，提升盈利水平，以良好业绩回报投资者。谢谢您对公司的信任！
14,请问解释一下公司经营活动现金净流量增长率为-6122.4752%是什么原因？,感谢您的提问，公司经营活动产生的现金流量净额比同期减少，主要系本报告期保理业务增长较多，业务投放保理款的资金主要来源于对外融资及化工板块出售收回的股权款。
15,3月24日公司发出公告变更公司经营范围，增加了“天然橡胶及橡胶制品”，开始发展橡胶业务，而现公司主营业务为油气能源和金融，请问公司新增该项业务是基于何种考虑？,答：公司坚持自身的发展战略，不断拓展业务规模，提升盈利能力，以良好的业绩回报广大投资者。谢谢您的关注！
16,赵总，你好！请问对于公司股价走势，公司有什么看法呢？另外，近阶段公司是否会有开展市值管理的计划？请回答，谢谢,您好。感谢您对公司的关注。公司股价受多方面因素影响，公司方面无法预测。公司致力于开拓经营，提升盈利能力，保护中小投资者利益，管理层对公司的发展和未来二级市场的表现充满信心。
17,两年了，重组什么时候能进行？,答：公司如择机重大资产重组事项，将严格履行信息披露义务。谢谢您的关注！
18,能说明一下公司资产负债比率为什么在逐渐增加？,感谢您的提问，公司围绕着战略定位，业务规模增长较快。
19,股价是市场行为，更是公司价值的体现,伴随着公司的发展，公司价值将有更好的体现。
