,Question,Answer
0,请问公司对汇金公司近年来持有公司股份有何看法？作为流通股第二大股东汇金公司是否到公司来调研，查看了解公司生产情况，或参加公司股东大会或董事会？,汇金公司持有较多公司股份，但未到公司进行过调研，也未参加过公司股东大会。
1,您是否认为公司有核心竞争力？公司的核心竞争力是什么呢？,您好，请参照之前同类问题的答复。
2,1、感觉公司与投资机构的交流不活跃，近3个月有哪些投资机构来调研过，是否多增加些宣传，这样交易会活跃些？2、近一年公司在环保方面有没有被处罚的经历，未来一年环保风险如何？3、公司有申请什么政府补贴吗，一年政府补贴收入有多大？,公司本着开门办企业的原则，欢迎投资者前来公司交流。公司在环保领域一直走在行业前列，重视环保投入，努力推行清洁生产。
3,请问总经理你对你们公司现在的股价满意吗？,股价受到多种因素影响，我们经营团队本着扎实经营的态度，努力做好各项工作。
4,请问公司1季度预计的收入是多少，同比，环比增减多少？,你好，公司1季度季报已经披露。
5,贵公司产品与行业第一的晓星氨纶差距在哪里,晓星是氨纶行业知名企业，在研发水平、品质管理、国际化布局等方面都有很多值得我们学习借鉴的地方。
6,独立董事对公司的内部控制有怎样的意见呢？,我们认为：公司已建立了较为完善的与财务报告和信息披露事务相关的内部控制制度并能得到有效的执行。公司内部控制的自我评价报告真实、客观地反映了公司内部控制制度的建设及运行情况。
7,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,公司会根据发展需要做出合理安排。
8,请问公司以后每年会用什么形式回馈股东？,公司会坚持做好各项经营活动，不断做强做大，用良好的业绩回馈股东。
9,请问公司是品牌为先还是品质为先？谢谢！,没有良好的品质，品牌无从谈起。公司高度重视产品品质，用优秀的品质打造产品美誉度，提高品牌形象。
10,公司去年有没有新产品，请问新产品的推出是什么原因？2017将会实现多少的销售收入？,公司每年都会推出新产品，主要是为了满足不断变化的市场需求。今后，公司将进一步加大研发投入，提高产品多样性和附加值。
11,你好董事长，贵公司的主打产品是什么，市场占有率如何。你们公司靠什么来不断提高自己的产值，发展前景如何。,公司主要产品是氨纶，包括普通氨纶和差异化氨纶，目前市场占有率超过20%。未来公司将进一步扩大氨纶产能，提高产品附加值，提升市场占有率。
12,公司投资建设 90000t/a 差别化氨纶的钱需要多少？钱从哪里来？什么时候开始有产出？淘汰6000t/a 氨纶产能会给半年报额外新增多少设备资源折旧费用？,你好，9万吨项目将分两期建设。为确保公司扩产项目顺利实施，公司将通过多途径确保项目建设所需资金。 淘汰6000t/a 氨纶产能对半年度不会产生重大影响。
13,请问公司对中央汇金近年来持有公司股份有何看法？作为流通股第二大股东汇金公司是否到公司来调研，查看了解公司生产情况，或参加公司股东大会或董事会？,汇金持有公司较多股份，但未来公司进行过实地调研，也未参加过公司股东大会。
14,请问公司对于中央汇金近年来一直持有本公司有何看法？中央汇金是否有对本公司进行实地调研或参加公司董事会或股东大会呢？,汇金公司持有公司较多股份，但未来公司进行过调研，也未参加公司股东大会。
15,你们把哪些公司做为竞争对手？据你们自己了解有哪些公司把你们做为目标对手？,公司会认真学习吸收其他优秀企业的成功经验，取长补短。
16,代投资者问：公司旗下的辽阳化工目前处于停产状态，贵公司有什么措施来盘活该资产？,辽阳项目依然处于停产状态，仲裁案件仍在进行中，目前仍没有明确的复产计划。
17,公司有没有计划在适当的时侯推出激励计划来聚集和挽留人才，保持公司的竞争力？,公司会根据实际需要作出相应安排，但目前尚未有明确的股权激励计划。
18,辽宁华峰的亏损，致使华峰氨纶业绩大降。作为最终决策者，实施者你们不应把责任摊在广大散户股东身上。,辽阳项目出现当前的经营困境存在多方面原因，公司也根据项目进展进行了如实披露。公司经营团队将一如既往地做好各项工作。
19,管理方面是否有不到位的地方？,管理是一项长期工作，没有最好只有更好，我们坚持进无止境。
20,公司的前5大客户是哪些？,具体客户涉及公司保密经营信息。
21,"国家要求实行经济节约型政策,公司具体是怎么做的?",公司持续投入节能改造、废水循环利用、淘汰落后产能、发展先进产能，大力推行清洁生产。
