,Question,Answer
0,听说华斯股份闲置的老厂区要拆除盖高档小区，请问是否属实？,你好，到目前为止，您所说的“在闲置老厂区盖高档小区”说法不属实。谢谢
1,很多人说裘皮行业是夕阳产业，没有未来，董事长怎么看这个问题？裘皮产业真的过时了吗？,你好，裘皮行业在国内发展的历史并不长，行业发展周期影响，目前处于发展的低谷期，并不能认为行业为夕阳产业，通过不断研发新产品，我认为行业发展随着整体经济发展进入新时代！
2,请问贵公司有无市值管理计划？,你好，公司关注市值管理，目前暂无需要披露的市值管理计划。谢谢关注
3,华斯裘皮特色小镇未来的盈利点在哪里？300亿元的投资是要通过增发股票来解决吗？,你好，裘皮特色小镇盈利点主要是引进裘皮行业及其行业周边的企业，为其提供有偿平台服务、金融服务等。小镇投资将会分区分步分项目进行，资金来源根据不同项目的实际情况采取相应的融资方式进行，谢谢！
4,据称蠡县与恒大合作也要建裘皮小镇，号称投资500亿元，对公司有什么影响？公司有什么应对考虑？,你好，华斯裘皮特色小镇是河北省首批创建类特色小镇，公司目前已经建设了华斯裘皮城A、B座，电商孵化园以及裘皮小镇配套暨裘皮服装加工扩建项目。谢谢
5,公司发展电子商务的同时有没有找实力机构合作？, 你好，由于裘皮服装产品的特殊属性公司目前没有找到新的合作机构，谢谢关注。
6,公司是否考虑第二主业？裘皮行业是否带有季节性质?,你好，公司围绕裘皮行业，始终以做强做大行业为己任，引领行业发展，为行业搭建服务平台。裘皮行业具有一定的季节性。谢谢！
7,公司设立房地产公司是战略转型吗？,你好，投资设立房地产公司是华斯裘皮特色小镇及配套建设的需要，能够提高公司的盈利能力，进一步增加公司的利润增长点，有利于进一步完善和提升公司产业发展布局。谢谢
8,裘皮服装尤其是高端的裘皮服装，是否只适合线下销售？,你好！目前公司裘皮服装销售以线下销售为主。谢谢关注。
9,尚村附近有哪些皮草企业，是不是以后都要迁入华斯皮草产业园内？,你好，肃宁尚村是中国裘皮之都，这里汇集了大大小小的裘皮企业近千家，目前已经在华斯产业园入驻的已经有400多家，谢谢！
10,请问公司未来的规划是否有跨界发展的打算?,你好，公司目前积极响应国家设立雄安新区的政策，集中建设华斯裘皮特色小镇，随着公司的发展，根据实际情况有跨界发展的可能。
11,贵公司2017年推进河北第一个特色小镇，总投资大约300亿元，目前为止项目进展顺利吗？,你好，特色裘皮小镇建设目前正在进一步推进，待相关问题取得进展会及时公告，谢谢关注。
12,请问今年裘皮有涨价的可能吗？,你好，裘皮行业皮张价格受整体经济发展周期、行业发展规律以及天气冷暖等多种因素的影响较大，因此价格会随着经济向好，冷冬等条件具备而上涨，谢谢！
13,请问贵司京南裘皮城的9万平米商铺，以及华斯裘皮城剩余的12万平米商铺，出租率为多少？,你好，京南裘皮城及华斯裘皮城出租率约为百分之百。
14,公司与法智金的合作签订协议后就没有音讯，还在正常推进吗？,你好，公司与法智金与2017年8月签订了战略合作框架协议，具体合作方式以后续签订的具体项目合作协议为准。谢谢
15,请问电商孵化园目前进展如何？投入使用了吗？,你好，目前电商孵化园土建工程部分完工已投入使用。谢谢您的关注。
16,新拍70年商业用地1.9亿元是用的上市公司的资金还是控股股东的自有资金？,你好，新拍土地资金为公司自有资金，谢谢！
17,电商是发展趋势，为何贵公司天猫商城成交量这么少？,你好，由于裘皮服装的特殊属性在传统的互联网电商模式下已经不能满足。谢谢您的关注
18,你好，作为华斯股份的3年股东，一直希望华斯股份快速成长，给股东以回报。请问华斯股份未来的业绩增长点在哪里？公司对回报股东有什么规划，拿什么让股东对公司坚定信心？,你好，谢谢您一直以来对公司的关注。公司响应国家建设雄安新区的政策，积极集中建设华斯裘皮特色小镇，谢谢!
19,请问京南裘皮城占地多少亩？已销售多少平米商铺 ？, 你好，京南裘皮城占地189亩，已售出约3万平商铺。谢谢您的关注。
20,据新闻报道，近期红星美凯龙等公司先后到公司调研，公司未来会与这些公司合作吗？,你好，截至目前，公司还没有与红星美凯龙进行合作，谢谢！
21,请问华斯生活购物广场是公司资产吗？如果是，公司占股多少？,你好，华斯生活购物广场是公司资产，是公司的全子子公司，公司持股100%。
22,请问董事长对公司当前的股价怎么看？近期董事长有增持股份的计划吗？16年参与定增的机构对公司目前的运营情况有什么意见吗？,你好，公司目前股价未完全反应公司的价值。对于投资者提出的良好的建议和意见，公司管理层也都会考虑或者借鉴。谢谢！如果有增持的计划，会提前15个交易日向广大投资者公告，谢谢！
23,你好，公司这次全额计提，对投资者信心打击很大。公司有没有反思这次投资的失败原因？未来还会考虑向战略新兴行业转型，继续并购新的公司吗？, 你好，本次投资失败管理层进行了反思，原因主要还是参股公司和微博在整个体系内的行业政策有关系。公司未来在集中建设好裘皮小镇与响应雄安新区的发展需要的同时，有可能会考虑参与并购新型公司实现战略转型。谢谢您的关注
24,今年公司的出租的商铺收入同比增长多少？,你好，公司出租的商铺收入本期较去年同期基本持平。
25,请问微卖与微博实施战略合作以来的进展情况？,你好，微卖作为我们参股30%的公司与微博签署的战略合作协议今年7月份即将到期。谢谢您的关注。
