,Question,Answer
0,能请赵总详细解说一下华策在“影视2.0时代”的发展策略是什么吗,您好！中国影视产业升级到2.0时代，产业集聚化、内容互联网化、资本多元化、生态泛娱乐化，以及国际合作纵深化成为影视产业发展的新趋势。公司在影视2.0时代将继续深化转型升级，围绕SIP进行契合网生世代消费特效的爆款内容开发，进一步提升头部剧市场份额，向集成、稳定、专业的爆款平台转变，进而连接大文化行业、跨行业领域，拓展娱乐边界和流量变现渠道，打造中国影视产业2.0时代的华策2.0。谢谢！
1,您说全网剧业务毛利率暴跌是跑马圈地的结果，那请问这是因为公司花费了比市场价更高的价格来雇佣演员并购买剧本吗？另外请问公司2016年影院票房业务毛利率下跌的原因又是什么？,您好，毛利率的问题已作解释，还请查看之前的回复。2016年度新开影院数量继续增长，票房收入下降，公司影院票房毛利也收到一定影响，但非票房收入取得了较快的增长，影院团队将继续通过精细化管理，提升影院营运水平，谢谢！
2,营业收入同比增长67.27%，但净利润只增长了0.63%，请解释原因,"您好！
1）公司2016年在电视收视和网络点击排名前十的剧集榜单中占比均达到30%，其中，在电视收视榜单中，如果考虑《锦绣未央》在东方卫视和北京卫视双平台播出均进入前十名的因素，在电视收视前十名的榜单中，华策克顿生产的剧集有4部次。这个成绩充分显示了公司在内部内容市场占有率上的强势。未来，娱乐行业的马太效应将更趋明显，公司在头部内容的“跑马圈地”的关键时期，将主动加大投入，为公司在中长期市场占有率建立绝对优势创造条件。
2）“近年来，影视文化行业发展迅猛，市场对于高水准、大投入的精品内容需求旺盛，带动了优质 IP 版权费用、节目模式价格、剧本费用、演职人员劳务报酬、场景、道具、租赁等费用的上升，促使内容提供商制作成本不断抬升。影视作品预售模式和周播剧的兴起，一方面使得作品的定价产生了时滞，另一方面拉长了影视作品的回款周期，而影视作品收入多元化目前仍在探索期，成功商业模式的确认仍需时日。
3）公司处于向华策2.0转型期，加大了各方面的投入，并聘请了波士顿咨询团队为公司从组织体系、战略梳理、国际化等方面着力为持续发展做专业规划。
目前，公司充分利用资源和运营优势，以合理成本聚拢行业内优质创作资源，开发多种变现模式，分摊成本。谢谢！"
3,赵总你好，赵总这次获得本届戛纳电视节“荣誉勋章”，成为首位获得该奖项的中国影视传媒人，也说明了中国电视剧开始走向海外，请问国外采购商对内容偏好与国内采购商有何不同？未来华策会专门针对海外市场制作电视剧内容吗？,您好！如内容偏好上，国外采购商还是更倾向于符合当地价值观的影视内容。华策非常重视国际交流与合作，并一直致力于国际间创意内容的交流、整合与升级，目前主要拓展海外渠道布局，精选华语优质内容对外输出，加强影视节目从华语地区向非华语地区的传播覆盖，加快“华剧场”的海外频道落地。采购商对作品的采购有众多考量因素，国外采购商尤其重视作品内容，这恰恰是华策一直强调和倾力打造的。去年，以电视剧为代表的文化走出去出现了海内外同频共振的新趋势，在中国大陆热播的《微微一笑很倾城》、《亲爱的翻译官》、《我的奇妙男友》等青春题材都市剧也在华纳兄弟旗下的Dramafever等海外市场获得了很好的播出效果。华策克顿出品的《何以笙箫默》导演剪辑版还成为迄今唯一一部登陆Netflix的中国大陆时装剧。未来，公司将继续以内容为核心，当好华流出海的先锋，华语文化的传播者的角色，加强国际合作，加快海外渠道布局。谢谢！
4,电视剧的价格明显上涨接近1倍，为什么公司的毛利率却下滑了呢,您好！公司在2015年确定了SIP战略，启动业务全面转型升级，加大项目投入力度，集聚行业顶级资源，聚焦爆品内容制作。2016年公司SIP爆品战略取得明显成效，单集平均销售价格迅速提升，带动公司收入高速增长。为集聚行业头部资源，公司适当向合作方释放了一定投资份额，由于会计确认问题，公司负责发行项目按照发行收入全额确认收入，但根据投资份额比例确认项目毛利，该等原因导致公司全网剧业务毛利率收到较大影响。同时，公司在业务转型升级过程中，项目投入力度显著加大，为合理控制投资风险，公司加大项目预售环节力度，部分项目在2015年和2016年初以当时市场头部价格完成预售，因此该等项目售价未能享受到2016年度售价上涨红利，该等因素也在一定程度上影响公司2016年度全网剧业务毛利率水平。今后公司将在聚焦爆品生产，全力实现“华策质造”目标的同时，通过规模化优势进一步构筑工业化、赋能型生产平台，逐步提升全网剧业务毛利率水平。
5,请问公司广告类收入模式，未来会不会增加广告营销业务占比,您好！包括植入、中插、衍生品等多种模式；公司将充分利用在头部内容上已有的市场占有优势和打造头部内容的确定性优势，加强广告营销与内容资源的深度协同，通过多种方式实现广告内容多变现、强变现，实现制作公司、播出平台、广告主、消费者多方共赢。谢谢！
6,综艺节目的竞争已趋于白热化，存在数量繁多、题材撞车、制作成本高企、存在版权纠纷等问题，公司在保质的情况下是如何控制成本的？,您好！公司将继续推出《谁是大歌神》、《我们十七岁》等综艺的第二季，得益于第一季节目的良好表现，第二季将在内容及娱乐形态方面推陈出新，在第一季积累的经验上成本更加可控，招商更加便利。而在版权模式节目的基础上，公司将深化自主研发，探索原创模式的落地。谢谢！
7,请问高远总，华策影视收入和利润规模在行业内领先，但受传媒板块的大环境影响，华策影视的股价长期处于低迷态势，您如何看待这个问题,您好！从09年开始，影视专业和资本市场是一对个性很强的恋人，一开始不理解，到后来热恋发生了泡沫，再到现在趋于冷静，行业内都需要沉淀要思考，彼此如何互相支持。文化产业是国家战略，也被十三五规划列为国民经济支柱型产业，不仅是国家各项政策鼓励的产业方向，而且还是一种代表国家软实力的新型实体经济。德勤2016年发布的《中国文化娱乐产业前瞻》报告显示，文化娱乐产业2015年总体规模将达到4500亿元，在2020年更有望达到一万亿元。作为上市公司，我们将抓住这样的历史机遇期，以发展实业为基石，华策将一如既往的坚定信念、全力奋斗，以良好的业绩回报股东和投资者，在做好业务的同时全力维护股东尤其是中小股东利益。我们相信，公司的价值终将获得市场的认可。谢谢！
8,年报显示游戏业务的毛利率100%，请问是指授权收入吗？,是的。谢谢！
9,公司对优质的电视剧，电影项目，主投比例是多少，投资比例低是公司的资金缺乏吗,您好，剧的投资比例一般在60%-80%，公司的资金安排能满足日常生产的需要，但随着单部剧的制作成本不断高企，公司主控的项目在综合评估之后会适当分出部分比例，以聚合行业内优质的创作资源或发行渠道，实现风险控制和发行保证。谢谢！
