,Question,Answer
0,《我爱喵星人》什么时候能上映？是给小朋友看的吗？,您好！该片为爱情轻喜剧，敬请期待！谢谢！
1,请问公司同业竞争对手都有哪些？公司现在有没有新的利润增长点？或新的盈利模式来增加收益呢？,您好！随着我国经济的持续稳定发展，人民群众的文化消费需求进一步释放，预计文化产业将也保持长期、稳定发展。行业的增长将为公司的持续发展营造良好的外部条件。当前，技术发展日新月异，为文化消费的形式和商业模式创新提供了更多的可能性。公司将把握发展机遇，积极关注行业动态，保持业务稳定提升。谢谢！
2,能否说明安徽卫视应收账款形成的原因，账龄。17年采用个别认定法计提减值，16.年采用组合法。17年提减值准备是否充分。安徽卫视应收账款是否涉及前高管吴涛贿赂而导致相关款项回收困难？,您好！应收账款形成原因为公司版权售卖，经审计，减值准备计提充分。
3,公司对外延扩张的计划？公司外延考虑独立研发还是购买团队？,您好！公司目前处于行业大发展的机遇期，公司将根据实际业务发展需要，采取必要的发展措施，包括内生发展和外延发展等手段。谢谢！
4,请问财务总监:贵公司对于合作主控项目收入采用净额法还是总额法确认收入！,您好！对于公司与其他方联合拍摄的电视剧，当本公司负责发行时，按签约发行收入确认营业收入，向合拍方支付的分成款确认营业成本；当合拍方负责发行时，本公司按协议约定应取得的结算收入确认营业收入。详见公司披露在巨潮资讯网上的《2017年年度报告》之第十一节财务报告之附注。谢谢！
5,请问财务总监:贵公司对于合作主控项目收入是采用净额法还是总额法确认？,您好！对于公司与其他方联合拍摄的电视剧，当本公司负责发行时，按签约发行收入确认营业收入，向合拍方支付的分成款确认营业成本；当合拍方负责发行时，本公司按协议约定应取得的结算收入确认营业收入。详见公司披露在巨潮资讯网上的《2017年年度报告》之第十一节财务报告之附注。谢谢！
6,请问目前公司业绩受哪方面影响较大？,您好！具体内容，请详见公司在巨潮资讯网披露的《2017年年度报告》的风险因素部分。谢谢！
7,影视行业最重要的竞争力是什么？公司处于一个什么样的竞争位置？,您好，中国影视行业经过多年发展，已经进入高度产业化阶段，影视企业间的竞争为包含专业人才、组织体系、工业化制作管理、投融资能力等核心要素的全方位综合性竞争，任何短板都可能对企业的竞争能力造成重要影响。公司已经建立了成熟的人才体系和管理体系，并打造了国内独一无二的工业化制作体系，具备了核心竞争力（详见公司在巨潮资讯网披露的《2017年年度报告》之第三节公司业务概要之“核心竞争力分析”）。2017年度，公司营收和净利润继续保持高速增长，在业内建立了牢固的龙头地位。谢谢！
8,一季度是否有哪方面有比较大的投入，对管理费用有多大影响？,您好！2018年第一季度，公司费用的支出主要在新项目的开机、股权激励的股份支付确认以及年终奖发放。谢谢！
9,今年内公司有并购重组或者资产注入计划吗？,您好，请关注公司在法定信息披露媒体披露的相关公告内容。谢谢！
10,网剧是不是太没有营养了，公司怎么看待？,您好！近年来网生内容快速发展，也出现了一些高口碑、高点击量的精品网剧。公司面对行业发展趋势，将坚持“内容为王、品质第一”，努力实现头部市场份额、产品形态、题材内容的升级，力争为网络用户提供更多优质网生内容。谢谢！
11,华策是如何看待监管层面对影视行业的态度？未来会更加开放还是收缩？,您好！在新时代背景下，公司对国家的文化自信和文化繁荣以及进一步的改革开放抱有坚定的信心。监管部门对行业的指导，有利于全行业的健康、稳定、可持续发展。华策影视作为行业龙头企业，将坚定不移的响应党和政府号召，创作播出更多思想精深、艺术精湛、制作精良的优秀作品，努力开创新时代中国电视剧繁荣发展新局面。谢谢！
12,请问公司判断并投资参股独角兽企业的标准什么吗？2018年具体经营目标及计划是什么？,您好！公司对外投资围绕公司主营业务展开。公司2018年经营目标请参见公司披露在巨潮资讯网上的《2017年年度报告》之第四节经营情况讨论与分析之公司未来发展的展望。谢谢！
13,公司如何建立自己推广销售网络？每年公司的公关和广告费用大概是多少？,您好，公司电影业务建立了专业发行团队，电视剧业务各团队配备专业发行人员。公司销售费用数据，请详见公司披露在巨潮资讯网上的《2017年年度报告》中财务报告相关内容。谢谢！
14,随着外部环境激烈变化，是否会将发力点瞄准网剧？,您好！全网剧业务为公司核心业务之一。面对行业发展趋势，公司将坚持“内容为王、品质第一”，努力实现头部市场份额、产品形态、题材内容的升级，力争建立会员剧龙头地位，推动网生内容快速发展。谢谢！
15,公司现在的主要竞争对手是谁？如何把握他们的动态？,您好，公司将致力于进一步巩固公司的行业龙头地位。谢谢！
16,请问公司在2018年将如何进一步推动SIP战略？,您好！公司将积极响应党和国家的号召，引领行业发展趋势，坚持“内容为王、品质第一”，发挥自身优势，弘扬社会主义正能量，努力实现头部市场份额、产品形态、题材内容的升级。公司认为反映人民生活的现实主义题材创作才是未来精品创作主流。此外，公司还积极参与国际合作，推动华流出海，进一步发扬中华文化。谢谢！
17,公司及管理层是否鼓励员工长期持股？会不会任由员工和大小非减持？,您好！董事会及管理层看好公司长期发展。在合法合规的前提下，公司股东拥有自由买卖股票的权利。谢谢！
18,长期有增收不增利现象，接下来公司计划如何改善？,您好！公司2017年度的利润增速高于营收增速。谢谢！
19,电影营业收入同期减少83. 13%，发生这么大下降的原因？,您好！2017年度电影营收下降主要是当年度公司投资的电影上映较少所致。谢谢！
20,随着政策的收紧，古风是否遇冷？电视剧积压问题如何解决？,您好！影视文化行业是具有意识形态特殊属性的行业。公司作为行业龙头企业，将根据党和国家号召，加强规划、繁荣创作、打造精品，在题材、内容选择上既要有体现现实主义的深度广度，又要有弘扬历史精神的气质风骨，既要再现英雄史诗，也要表现普通生活，打造弘扬新时代正能量的精品力作。谢谢！
21,网络剧、网络综艺和电影那一块的盈利空间最大呢？,你好，恐怕不能一概而论，更重要的项目的具体情况和作品质量。谢谢！
22,你们独特竞争优势是什么？,您好！详见公司披露在巨潮资讯网上的《2017年年度报告》之第三节公司业务概要之“核心竞争力分析”。谢谢！
23,请问公司管理费用及现金流情况如何？费用控制情况如何？,公司各项费用随业务拓展，较去年同期 总额有所上升，但上升幅度均低于收入增幅，故费用率均有下降。凭借工业化体系+优势资源+作品高口碑，公司龙头地位不断巩固，净经营性现金流改善明显。
24,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,您好！公司已根据相关法规要求，针对公司业务特点和风险特性，建立了并持续完善现代企业制度，并不断地完善公司治理结构，健全公司内部控制制度，升级内部控制体系，进一步提高公司规范运作水平。谢谢！
25,请问公司的主要合作客户分布在哪些行业？能否举例几家合作商？公司2018的业绩目标是怎样的？,公司的主要合作客户涵盖了各大卫视和视频网站。公司2018年继续保持各项业务的稳健发展。
26,《后来的我们》取得了较大成功？公司受益很大吗？有没有什么心得体会？,您好！公司未参与该项目的投资、发行。谢谢！
27,请问:截止2018年4月27日，公司股东总户数是多少？,"您好！截至2018年4月30日，公司股东人数35,943户。谢谢！"
