,Question,Answer
0,请问公司目前有哪些对外担保？担保资金是否安全？子公司的融资是否到位？,公司不存在对外担保。公司担保资金用于集团内的业务经营，资金安全可控。子公司的融资规模是根据经营需要配置的。
1,去年重组停牌的近半年，重组无果，今年重组又停牌近半年了，进展如何？复牌有时间表吗？不会又失败了吧？,已有相应回复
2,请问公司今年理财资金规模有多少？收益情况如何？为什么不拿钱去做大做强而是去理财市场炒一把？,公司年报中披露的理财资金金额不大，现已赎回。
3,公司在海外有没有业务，占比多少？,公司已开始海外布局，未来还将沿着既有战略继续拓展海外市场。
4,柴总，您好！我想问一下2017年度公司业绩四季度发生巨额亏损，相关的资产减值损失计提是否应以2016年度或2017年1-3季度就应该计提？另外公司的员工平均薪酬水平很高在沪深上市公司排名靠前，公司薪酬管理制度是否公司业绩挂钩？,2017年度公司业绩四季度因大额计提资产减值损失发生巨额亏损，公司于年末对各项资产进行减值测试， 17年1-3季度按会计准则要求对应收款项使用账龄分析法计提坏账准备；2017年末公司对各项资产进行减值测试后，发现部分应收款项存在减值迹象，对该部分减值资产做了特殊计提。我公司的员工平均薪酬处于市场平均水平，员工薪酬与公司业绩挂钩，严格按公司薪酬考核制度执行。
5,柴总，您好！我想问一下2017年度公司业绩四季度发生巨额亏损，相关的资产减值损失计提是否在2016年度或2017年1-3季度以前就应当计提？另外公司的员工平均薪酬水平在沪深上市公司排名靠前，公司薪酬管理制度是否与业绩挂钩？,2017年度公司业绩四季度因大额计提资产减值损失发生巨额亏损，公司于年末对各项资产进行减值测试， 17年1-3季度按会计准则要求对应收款项使用账龄分析法计提坏账准备；2017年末公司对各项资产进行减值测试后，发现部分应收款项存在减值迹象，对该部分减值资产做了特殊计提。我公司的员工平均薪酬处于市场平均水平，员工薪酬与公司业绩挂钩，严格按公司薪酬考核制度执行。
6,首先恭喜黄总任董事长，姚总任总经理，其次，希望新领导层今年能把公司治理好，别的不说，先扭亏，毕竟去年公司还亏4000多万，今年不要让股民失望。,目前公司经营稳定，董事长黄小川、总经理姚晓洁上任后将加强业务开拓和内控管理、提升投资成功率。
7,创业板都大涨了，很多创业板股都提前走出底部了。贵公司如何解释？难道你们不应该采取什么队股价积极的措施？最起码的维稳的办法应该很多把,投资者您好，公司目前由于重大重组事项停牌，将按照证监会及深交所的规定推进工作、及时履行复牌工作。同时，公司在2018年将在剔除2017年不利业绩因素的基础上，争取较好的业绩。感谢您的关注。
8,去年停了半年的牌重组不成功，今年又快半年，重组进展如何？不会又无功而返，复牌有时间表吗？,公司2017年上半年未停牌，且本次重组停牌自2017年11月30日起，直至目前尚在停牌中，停牌时间自停牌首日起累计不超过6个月。目前各方都在积极推进本次重组的各项工作，交易双方正在商讨重组方案细节。待相关工作完成后，公司将由董事会、股东大会审议重大资产重组方案，并及时公告复牌。
9,公司前董事长、总经理刘伟先生因个人原因提出辞职，“个人原因”不明确是否影响小股东或潜在投资者对公司未来发展的担忧，能否在把刘伟辞职的真实原因公布？,目前公司已到新的发展阶段，刘总作为创始人希望公司在新的管理层带领下，轻装上阵，获得长足发展，业绩更上一层楼，为投资者带来更佳的回报。作为大股东，刘总近期无股票减持计划。
