,Question,Answer
0,请问相对于公司未来的发展前景，公司现在的股票价格估值合理吗，是低估还是高估，有无上升空间,您好！股票价格会受到市场等多方面因素影响，公司将根据发展规划，大力拓展业务，努力实现业务增长，提升公司价值。谢谢！
1,您好，请问，公司大股东对上市公司有何支持吗？,您好！公司在资产、人员、机构、财务、业务等方面完全独立于控股股东及实际控制人。公司大股东认可并支持公司的战略规划。谢谢！
2,公司是否具备长期投资的价值？你是怎么看的？ 如果有机会，你会增持吗？,您好！我们对公司未来发展充满信心，但股票价格是有多方面因素形成的，请谨慎投资。谢谢！
3,请问贵公司中药配方颗粒产品的进展如何？,您好！自2015年12月公司子公司景岳堂药业的中药配方颗粒项目被列入浙江省科研专项后，公司抓住发展机遇，全方位开展品种研发、市场布局，目前备案品种已达600多个，并完成了相应的质量标准与生产工艺规程，为扩大生产打下了基础。同时及时组建营销队伍，积极参与全省相关医院招标，全面启动医院配方室的装修、设备安装调试。通过努力，目前已基本建立起杭州、绍兴、丽水、衢州等地区的市场布点，完成了与包括省中医院在内的多家医疗机构的供应合作，但总体上尚处于初级发展阶段，相关业务收入增速较快但总量还比较小。谢谢！
4,公司的在建工程项目主要有哪些？,您好！公司的在建工程项目主要有医药物流二期建设项目及全资子公司景岳堂药业的中药饮片生产加工建设相关项目。谢谢！
5,贵公司2017年一季度经营业绩会增长吗?,您好！公司2017年一季度的经营情况请留意公司在指定信息披露媒体《证券时报》和巨潮资讯网（www.cninfo.com.cn）披露的《2016年第一季度报告》。谢谢！
6,公司2016年经营性现金流量减少幅度较大的主要原因是什么？,您好！公司2016年经营活动产生的现金流量净额较去年同期减少幅度较大，其原因主要是随着公司业务规模逐步扩大应收款增加；另外公司为保障业务经营的需要，库存量逐步增加，同时公司倡导诚信经营，对供应厂商支付货款更为及时，形成存货增加大于应付账款增加的情况。谢谢！
7,钱总，本地市场能消化公司1000吨的项目的产量吗？,您好！1000吨的中药配方颗粒项目是基于对公司未来发展而制定的，2016年2月，国务院发布了关《中医药发展战略规划纲要（2016—2030年）》，明确了未来十五年我国中医药发展方向和工作重点。2015年12月24日，《中药配方颗粒管理办法（征求意见稿）》在国家食品药品监督管理局官网发布，中药配方颗粒得到国家前所未有的重视和认可，其发展前景值得期待。谢谢！
8,贵公司2017年的主要经营规划有哪些？,您好！公司2017年主要抓好以下几方面工作：大力推进中药配方颗粒业务的发展；继续提升药品配送业务；着力拓展连锁经营；积极推进非公开发行股票项目；不断完善企业运行机制。详细情况请见公司2016年年度报告第四节“经营情况讨论与分析”中“公司未来发展的展望”的相关内容。谢谢！
9,公司主要生产哪些产品？,您好！公司全资子公司景岳堂药业主要生产外用药制剂及中药饮片（包括中药配方颗粒）的生产。谢谢！
