,Question,Answer
0,请问公司如何看待“一带一路”对公司的影响？,司非常重视“一带一路”等战略带来的机遇，作为地处长江中下游重要位置的南京港，公司将利用自身的资源优势，抢抓机遇，获得发展。谢谢
1,我们中小股民到贵公司调研你们也接待吗？,我们对所有投资者的来访接待一视同仁。谢谢。
2,请问公司如何如何给中小投资者信心和回报？,努力做好生产经营，提高业绩。谢谢。
3,公司今年的营业收入目标是多少？,公司会继续专注经营，在2017年实现的主营业务收入的基础上，实现稳定的增长。谢谢！
4,请问熊总：公司大股东南京港（集团）有限公司报告期内公司股票的变动情况，未来有减持公司股票计划吗？,公司尚没有明确的公司股票减持计划，公司将根据股票市场变动情况，在适当的时候决定增持或减持公司股票，最终请以公告信息为准。
5,请问熊总：能否给我们小股东一些建议？,股市有风险，投资需谨慎。公司将做好信息的及时披露，保证股东公开、公平、公正获得投资信息。
6,请问公司未来的发展目标？,通过深化发展、优化业务模式，构造持续的利润增长空间，为投资者带来良好回报。谢谢！
7,2017年公司前五名客户合计销售金额占年度销售总额比例？,2017年公司前五名客户合计销售金额占年度销售总额比例为25.66%。谢谢！
8,请问公司的总股数是多少？,"截止2017年12月31日公司的总股数为372,282,154股。谢谢！"
9,贵公司业绩增长，每股收益越来越低，股价跌跌不休，股东人数不断减少，公司对未来发展有什么规划？能大概回答下吗？让股民心里有个底,"1、对接长江经济带和一带一路国家战略，进一步增
强海陆双向国际运输服务能力和整体竞争力，为国家战略实施提供更好的运输物流保障。
2、服务于区域港口资源整合，在全省港口一体化改革中争当排头兵；
3、提升绿色安全发展能力，提升经营品质，推动集装箱和油品双主业协调发展，提升效益。谢谢。"
10,请问公司如何进行市值管理？,我们认为公司最好的市值管理就是做好经营，取得良好的业绩，实现公司的价值最大化。谢谢。
11,公司的主营业务？,提供原油、成品油、液体化工产品及普通货物的装卸、仓储服务；在港区内从事集装箱的堆存、门到门运输、相关配件销售 集装箱的拆装、拼箱、修理、清洗；电子数据交换服务及信息咨询服务； 为船舶提供码头、在港区内提供物流服务。谢谢。
12,公司每股收益大幅下降，是否说明公司资金利用率不足，公司前景不明朗，，面对公司股价大幅下跌，公司为何不采取增持公司股票增强股民信心，不增持是否说明公司也认同现价较公司股价偏高，面对恶劣的竞争环境公司确利用定增资金大幅买入银行理财，不在资本市场进行运作，是否说明公司能力有所欠缺,"2017年，公司合并报表共实现营业收入67,784万元，比上年同期增加204.32%；实现利润总额17,249万元，比上年同期增加76.35%；净利润13,034万元，扣除少数股东损益2,401万元后，实现归属于上市公司股东的净利润为10,633万元，比上年同期增加25.66%。从以上数据可以看出，公司主业经营较为稳定，而且随着公司市场占有率和影响力的增强，公司单位吞吐量的收入在逐步增加，这客观反映了公司经营层深化“三前三后”的经营模式，充分发挥整体资源优势，形成区域集聚效应，提升港口枢纽功能，以集约化、专业化、大货主、大货源为发展目标的工作成果。公司利用定增资金购买理财产品是按照募集资金专款专用的要求，确保龙潭集装箱公司后续生产能力的提升。资本市场是公司双轮驱动的另一个轮子，公司将努力寻找港口产业并购扩张的市场机遇，努力探索港口产业转型升级的创新模式，用优良的业绩回报股东。"
13,请问2017年公司主要在建工程进展情况如何？,2017年度，公司在建工程期初余额为2120万元，本年新增工程支出4284万元，更新改造原资产净值转入414万元，本年转入固定资产3565万元，在建工程期末余额3254万元。谢谢。
14,公司类似栖霞港区的面临整治的还有多少,公司栖霞区水水中转锚地整治是根据江苏省长江水上过驳专项整治要求进行的，目前公司其它没有类似港口设施列入该专项整治范围。但随着长江绿色安全发展理念的深入，不排除有其它设施纳入新整治方案的可能性。如有相关信息，公司将及时予以披露。
